adjective,noun,article,adj_article,llama_405b_base_judgment
baby,penguin,a,a,rarely
dress,piece,a,a,sometimes
smiley,guy,a,a,rarely
hot,pepper,a,a,often
farm,tractor,a,a,always
curly,tail,a,a,always
oatmeal,pie,a,an,never
green,jacket,a,a,often
back,porch,a,a,about half the time
thick,canopy,a,a,almost always
green,vegetable,a,a,always
purple,cat,a,a,never
dead,mommy,a,a,rarely
baby,elephant,an,a,never
bottom,lip,a,a,never
bird,cage,a,a,almost always
thick,clip,a,a,never
kitty,cat,a,a,always
office,phone,a,an,rarely
bottom,row,a,a,always
brown,spot,a,a,never
sun,lotion,,,never
yellow,bill,a,a,never
brown,bear,a,a,often
garbage,can,a,a,almost always
rice,cake,a,a,about half the time
dancing,bud,a,a,about half the time
hot,air,,,rarely
wooden,puzzle,a,a,rarely
piano,piece,a,a,always
yellow,hair,,,rarely
bear,mama,a,a,about half the time
pink,eyeball,an,a,never
smiley,girl,a,a,often
quarter,cup,a,a,rarely
cum,store,a,a,almost always
marine,tank,a,a,almost always
teacher,day,a,a,sometimes
green,edge,an,a,about half the time
paint,can,a,a,about half the time
night,gown,a,a,about half the time
cartoon,ring,a,a,always
ski,pants,,,rarely
green,beard,a,a,never
sugar,snack,a,a,often
soup,kitchen,a,a,never
queen,crab,a,a,never
snow,book,a,a,never
hot,bowl,a,a,sometimes
turtle,shell,a,a,never
night,dress,a,a,about half the time
snow,dog,a,a,never
dish,cloth,a,a,never
cylinder,gas,,,often
baby,stroller,a,a,always
cursive,letter,a,a,sometimes
yellow,dragon,a,a,rarely
grape,fruit,a,a,almost always
red,sweet,a,a,sometimes
green,scooter,a,a,rarely
yellow,duckling,a,a,never
orange,sticker,a,an,rarely
dirty,crayon,a,a,rarely
stone,cup,a,a,never
gold,ticket,a,a,almost always
girl,hood,a,a,often
giant,shadow,a,a,never
concrete,driveway,a,a,rarely
purple,dinosaur,a,a,never
cereal,box,a,a,always
moon,game,a,a,rarely
girl,colors,a,a,never
burnt,charcoal,,,never
train,station,a,a,almost always
boy,sock,a,a,sometimes
wood,window,a,a,never
green,triceratops,a,a,about half the time
thick,model,a,a,sometimes
bottom,stair,a,a,never
kettle,drum,a,a,rarely
baby,bunny,a,a,always
closet,door,a,a,about half the time
brown,bread,,,almost always
corn,fan,a,a,almost always
pink,noodle,a,a,rarely
purple,bunny,a,a,never
chip,cookie,a,a,about half the time
green,airplane,an,a,never
corner,house,a,a,sometimes
bottom,cupboard,a,a,never
poison,berry,a,a,rarely
plastic,bottle,a,a,almost always
pink,bubblegum,,,always
yellow,pants,,,rarely
cell,phone,a,a,almost always
yellow,overalls,,,rarely
fruit,sherry,,,often
cellar,key,a,a,rarely
tire,swing,a,a,sometimes
mommy,squirrel,a,a,never
round,case,a,a,never
baby,food,,,never
night,armadillo,an,a,often
orange,box,a,an,never
back,alley,an,a,almost always
paper,cup,a,a,rarely
pound,note,a,a,almost always
vegetable,salad,a,a,about half the time
college,lecturer,a,a,almost always
yellow,submarine,a,a,always
bunny,rabbit,a,a,always
water,board,a,a,never
ear,infection,an,an,almost always
baby,piggy,a,a,rarely
pecan,cluster,a,a,never
yellow,man,a,a,never
green,jungle,a,a,always
broken,bag,a,a,always
nail,polish,,,always
dead,fish,a,a,almost always
pregnant,person,a,a,rarely
thick,wood,,,sometimes
sea,green,,,often
carrot,peel,a,a,never
yarn,basket,a,a,sometimes
walk,path,a,a,often
purple,star,a,a,never
eight,piece,a,an,never
bed,sheet,a,a,often
pill,box,a,a,never
blackberry,patch,a,a,never
fuzzy,teddy,a,a,almost always
red,color,a,a,always
hind,leg,a,a,often
jungle,gym,a,a,never
dirty,player,a,a,never
curtain,window,a,a,always
cigar,smoke,,,rarely
baby,boy,a,a,always
orange,sweater,a,an,rarely
fudge,sundae,a,a,often
knitting,basket,a,a,rarely
water,melon,a,a,almost always
garlic,bread,,,rarely
pole,light,a,a,never
brown,syrup,,,always
crispy,patty,a,a,never
crescent,moon,a,a,about half the time
gun,guard,a,a,never
bingo,game,a,a,sometimes
marble,arch,an,a,almost always
toy,train,a,a,sometimes
dead,puppy,a,a,never
red,clay,,,rarely
silky,blanket,a,a,never
door,valve,a,a,rarely
plant,root,a,a,always
mommy,fish,a,a,rarely
pirate,flag,a,a,rarely
broken,balloon,a,a,never
bright,orange,an,a,always
red,scissors,,,rarely
egg,soup,,,never
fish,aquarium,an,a,often
clothes,basket,a,a,never
garden,tool,a,a,sometimes
sleep,walk,a,a,never
blood,cell,a,a,always
baby,ostrich,an,a,always
dinner,table,a,a,often
purple,noodle,a,a,never
cast,iron,an,a,always
cry,baby,a,a,always
baby,sheep,a,a,never
green,room,a,a,sometimes
grey,boot,a,a,often
pink,yogurt,,,never
pirate,movie,a,a,rarely
pink,shoe,a,a,rarely
wooden,hammer,a,a,never
pet,toy,a,a,rarely
frozen,bean,a,a,never
fat,elephant,an,a,never
dogs,biscuit,a,a,sometimes
hot,coffee,,,almost always
purple,lipstick,,,rarely
stew,pot,a,a,sometimes
brown,table,a,a,often
jellyfish,family,a,a,never
sleeping,bag,a,a,sometimes
hot,piggy,a,a,always
multicolored,sign,a,a,never
dog,poop,,,about half the time
farm,movie,a,a,never
green,hat,a,a,rarely
green,flag,a,a,never
navy,coat,a,a,often
microwave,lid,a,a,always
flat,roof,a,a,sometimes
green,park,a,a,always
red,stair,a,a,never
path,hedge,a,a,often
plastic,track,a,a,never
dirty,banana,a,a,always
alphabet,block,a,an,always
baby,parrot,a,a,always
train,car,a,a,never
purple,snail,a,a,never
green,zebra,a,a,always
horse,manure,,,never
yellow,cake,a,a,often
music,book,a,a,never
carrot,cake,a,a,rarely
rolling,pin,a,a,often
yellow,top,a,a,rarely
giant,frog,a,a,about half the time
wooden,stick,a,a,almost always
dark,flower,a,a,never
home,county,a,a,rarely
green,book,a,a,never
dirty,cave,a,a,always
pink,skirt,a,a,rarely
fat,mama,a,a,never
green,dog,a,a,never
cookie,bake,a,a,rarely
alphabet,puzzle,a,an,rarely
garden,shed,a,a,about half the time
night,crawler,a,a,sometimes
orange,pop,a,an,never
pop,corn,a,a,never
ox,tail,a,an,never
pound,hammer,a,a,always
heart,attack,an,a,rarely
brown,shoe,a,a,sometimes
jaw,bone,a,a,rarely
red,lobster,a,a,always
cracker,box,a,a,rarely
green,thumb,a,a,rarely
wig,hair,,,never
caramel,sauce,,,rarely
curly,head,a,a,rarely
wet,grandpa,a,a,almost always
slope,test,a,a,sometimes
baby,panda,a,a,always
gas,fire,,,often
boy,tooth,a,a,never
yellow,handle,a,a,never
marble,roll,a,a,never
twin,deck,a,a,never
potty,sticker,a,a,never
orange,plant,a,an,almost always
coffee,machine,a,a,sometimes
jelly,container,a,a,about half the time
round,pumpkin,a,a,never
body,puppet,a,a,never
daddy,waffle,a,a,never
giant,dump,a,a,never
lobster,hat,a,a,never
outside,world,a,an,always
yellow,chicken,a,a,always
bean,ball,a,a,rarely
red,ice,,,never
farm,shop,a,a,rarely
garlic,salt,,,never
pink,honey,,,never
weenie,firefly,a,a,sometimes
fat,tummy,a,a,always
cloud,smoke,,,never
car,boot,a,a,always
phone,line,a,a,never
art,advisor,an,an,sometimes
top,molar,a,a,about half the time
wrapping,paper,a,a,never
road,sign,a,a,about half the time
hand,drive,a,a,about half the time
bloody,nose,a,a,rarely
baby,bottle,a,a,rarely
yellow,lip,a,a,sometimes
pink,shorts,,,rarely
fire,alarm,an,a,rarely
north,pole,a,a,always
dog,mama,a,a,always
wiggle,dancing,,,never
examination,board,a,an,about half the time
bull,ant,an,a,never
brown,cap,a,a,never
kid,ride,a,a,almost always
yellow,ball,a,a,never
man,book,a,a,almost always
door,bell,a,a,often
dart,board,a,a,almost always
puppet,baby,a,a,rarely
dinner,break,a,a,about half the time
granite,horse,a,a,always
chest,plate,a,a,never
record,case,a,a,almost always
whale,hat,a,a,never
mommy,daddy,a,a,almost always
dinosaur,skull,a,a,never
tree,farm,a,a,rarely
orange,kitty,a,an,sometimes
clown,nose,a,a,never
potty,break,a,a,never
bread,basket,a,a,often
giraffe,leg,a,a,never
fat,squirrel,a,a,rarely
fish,guts,,,almost always
bubble,soap,,,never
fuzzy,creature,a,a,always
basket,ball,a,a,sometimes
red,wagon,a,a,often
matchbox,car,a,a,sometimes
jungle,ride,a,a,never
quiz,game,a,a,rarely
colored,green,,,always
gold,ring,a,a,rarely
paint,drip,a,a,never
wet,slab,a,a,never
green,blanket,a,a,never
oil,filter,a,an,never
tan,car,a,a,never
green,grasshopper,a,a,never
bowling,ball,a,a,rarely
hot,tap,a,a,about half the time
onion,ring,a,an,rarely
petrol,account,an,a,about half the time
thistle,patch,a,a,almost always
dirty,mommy,a,a,never
bright,picture,a,a,always
picture,book,a,a,never
step,stool,a,a,almost always
tree,branch,a,a,never
apple,cookie,a,an,never
bar,staff,,,about half the time
rock,crowd,a,a,always
dirty,bottom,a,a,always
bug,lift,a,a,rarely
onion,gravy,,,never
skirt,stain,a,a,never
green,grape,a,a,sometimes
night,sky,a,a,about half the time
solid,feed,,,always
sky,diving,,,always
pirate,hat,a,a,rarely
giant,pillow,a,a,sometimes
green,side,a,a,always
green,shirt,a,a,sometimes
pink,mirror,a,a,never
red,ear,an,a,never
blowing,bubble,a,a,never
grey,coat,a,a,never
giant,octopus,an,a,rarely
dwarf,tree,a,a,never
slippery,balloon,a,a,always
baby,pumpkin,a,a,never
jelly,sandwich,a,a,sometimes
octopus,video,a,an,always
hill,track,a,a,about half the time
fuzzy,pants,,,almost always
spider,web,a,a,almost always
pony,ride,a,a,rarely
card,table,a,a,about half the time
giant,bean,a,a,almost always
song,book,a,a,rarely
art,school,a,an,never
head,office,an,a,rarely
tire,mold,a,a,rarely
bear,sleeping,,,about half the time
ice,cube,a,an,never
dead,fly,a,a,often
dog,sticker,a,a,never
food,coloring,,,rarely
apple,farm,a,an,never
bedroom,bathroom,a,a,never
sweet,drink,a,a,never
hot,egg,an,a,rarely
beach,token,a,a,almost always
brown,basket,a,a,often
candy,corn,a,a,sometimes
library,book,a,a,never
train,track,a,a,about half the time
orange,wall,a,an,never
nylon,shirt,a,a,sometimes
purple,pepperoni,,,never
muscle,tissue,a,a,almost always
outside,line,a,an,often
blind,mouse,a,a,never
coral,piece,a,a,never
key,board,a,a,never
water,filter,a,a,often
root,beer,a,a,never
turkey,chip,a,a,never
grocery,store,a,a,almost always
back,seat,a,a,almost always
lemon,skin,,,never
fly,ball,a,a,always
purple,baby,a,a,never
plastic,piece,a,a,never
elephant,parade,a,an,rarely
purple,collar,a,a,never
brown,shirt,a,a,never
outside,lane,a,an,never
elephant,ear,an,an,never
paper,plate,a,a,sometimes
solar,shop,a,a,never
coat,hanger,a,a,never
comb,brooch,a,a,rarely
lighter,purple,,,sometimes
metal,plate,a,a,never
country,mansion,a,a,often
dolly,house,a,a,never
elephant,fly,a,an,never
green,bird,a,a,never
red,squirrel,a,a,often
candy,cane,a,a,rarely
fat,man,a,a,sometimes
sewing,machine,a,a,about half the time
tobacco,tin,a,a,about half the time
fuzzy,hair,,,never
green,man,a,a,never
green,ear,an,a,never
ground,floor,a,a,always
red,dress,a,a,rarely
stair,carpet,a,a,never
chicken,wing,a,a,often
dancing,shoe,a,a,sometimes
yellow,helicopter,a,a,never
wet,ball,a,a,never
pink,oval,an,a,never
mommy,lion,a,a,about half the time
green,guy,a,a,never
bank,note,a,a,about half the time
mulberry,tree,a,a,rarely
orange,corner,a,an,about half the time
dog,person,a,a,almost always
furry,tail,a,a,often
dead,one,a,a,sometimes
red,crayon,a,a,sometimes
bright,shirt,a,a,never
dark,eye,an,a,almost always
fish,puzzle,a,a,never
hot,shit,,,never
green,crayon,a,a,sometimes
circus,train,a,a,never
loaf,pan,a,a,rarely
brown,hill,a,a,never
blond,boy,a,a,sometimes
stone,letter,a,a,never
dirty,basement,a,a,about half the time
burnt,cookie,a,a,never
star,sticker,a,a,never
bedroom,house,a,a,always
cloth,mum,a,a,rarely
pea,pod,a,a,rarely
cargo,car,a,a,sometimes
clothes,furnishing,,,never
dish,washer,a,a,almost always
cut,apple,an,a,rarely
tape,measure,a,a,never
red,bin,a,a,never
yellow,skull,a,a,never
thick,piece,a,a,never
potato,pie,a,a,often
explorer,guy,a,an,almost always
red,coat,a,a,always
plastic,toy,a,a,often
quarry,tile,a,a,almost always
puppet,stage,a,a,never
thick,mud,,,about half the time
table,cloth,a,a,about half the time
baby,blanket,a,a,sometimes
square,face,a,a,never
fruit,machine,a,a,rarely
smooch,dance,a,a,about half the time
outside,house,a,an,always
hair,cap,a,a,never
purple,dog,a,a,never
tooth,fairy,a,a,about half the time
wet,pants,,,rarely
flat,side,a,a,always
green,lawn,a,a,almost always
salty,egg,an,a,never
peach,material,a,a,never
thick,loaf,a,a,never
fat,lady,a,a,never
letter,puzzle,a,a,often
chocolate,chip,a,a,never
pink,tongue,a,a,often
red,nose,a,a,rarely
green,ball,a,a,rarely
hot,tub,a,a,sometimes
gingerbread,recipe,a,a,never
drawing,table,a,a,rarely
red,marker,a,a,about half the time
gas,pipe,a,a,rarely
giant,present,a,a,rarely
dark,forest,a,a,always
purple,block,a,a,almost always
orange,suit,a,an,never
yellow,guitar,a,a,rarely
shoe,room,a,a,never
grey,suite,a,a,about half the time
chocolate,eclair,an,a,never
stamp,pad,a,a,never
bagel,dog,a,a,never
tree,frog,a,a,rarely
sugar,bowl,a,a,never
moist,soil,,,never
kitchen,floor,a,a,never
jelly,doughnut,a,a,rarely
hot,bath,a,a,almost always
pink,square,a,a,never
hot,fry,a,a,rarely
color,sand,,,sometimes
rock,music,,,about half the time
flower,stem,a,a,often
yellow,ring,a,a,rarely
north,king,a,a,never
baby,room,a,a,rarely
pirate,sword,a,a,almost always
pencil,sharpener,a,a,always
oval,face,a,an,almost always
door,grill,a,a,never
navy,shorts,,,always
children,adult,an,a,never
building,downtown,a,a,about half the time
town,dump,a,a,always
yellow,barrel,a,a,never
stall,light,a,a,almost always
elephant,ride,a,an,often
pink,rake,a,a,rarely
sheet,side,a,a,never
breast,lump,a,a,about half the time
red,house,a,a,rarely
bottom,piece,a,a,never
tooth,paste,a,a,often
carpet,shampoo,,,never
grease,mark,a,a,sometimes
orange,frosting,,,rarely
camera,eye,an,a,rarely
hot,lava,,,always
butterfly,catcher,a,a,often
metal,bath,a,a,rarely
rubber,band,a,a,never
leaf,cake,a,a,never
green,bug,a,a,sometimes
green,airship,an,a,never
green,ring,a,a,never
wooden,board,a,a,almost always
lacing,piece,a,a,never
rabbit,hole,a,a,rarely
broken,ride,a,a,never
purple,raindrop,a,a,never
hot,tray,a,a,rarely
letter,block,a,a,almost always
plastic,ball,a,a,often
fly,swatter,a,a,always
toy,lizard,a,a,never
daddy,crown,a,a,sometimes
green,marble,a,a,always
wet,kiss,a,a,never
lunch,box,a,a,about half the time
sweet,tooth,a,a,never
bottom,bunk,a,a,about half the time
dinosaur,foot,a,a,never
elephant,trunk,a,an,always
pink,kitty,a,a,never
apple,butter,,,rarely
green,flower,a,a,never
bed,room,a,a,sometimes
building,block,a,a,almost always
ball,tent,a,a,never
daddy,hand,a,a,always
street,lighting,,,always
yellow,stripe,a,a,rarely
pink,chair,a,a,never
grocery,cart,a,a,often
gingerbread,man,a,a,often
food,container,a,a,sometimes
flower,pants,,,never
wheat,flour,,,often
brown,penny,a,a,never
purple,animal,an,a,never
flower,tree,a,a,never
lemon,juice,,,about half the time
yellow,room,a,a,rarely
daddy,hippo,a,a,never
road,license,a,a,never
juice,drop,a,a,never
washing,line,a,a,rarely
purple,present,a,a,never
girl,mommy,a,a,always
hair,dryer,a,a,almost always
mommy,goat,a,a,almost always
sweet,tasting,a,a,never
red,controller,a,a,almost always
juicy,pear,a,a,never
brown,cow,a,a,often
garden,chair,a,a,rarely
broken,toenail,a,a,rarely
saucepan,spoon,a,a,never
animal,fat,,,often
page,moderator,a,a,always
icecream,maker,a,an,about half the time
snow,seal,a,a,often
paper,model,a,a,never
king,man,a,a,rarely
monkey,bar,a,a,rarely
curly,string,a,a,almost always
bubble,wand,a,a,almost always
pink,color,a,a,never
purple,diamond,a,a,rarely
tightrope,walker,a,a,rarely
attic,room,a,an,never
red,flower,a,a,often
thick,hair,,,sometimes
burnt,toast,,,sometimes
red,heart,a,a,never
color,marker,a,a,sometimes
screen,door,a,a,never
baby,piglet,a,a,never
popsicle,stick,a,a,almost always
pet,store,a,a,rarely
hotel,breakfast,a,a,always
light,saber,a,a,about half the time
world,sea,a,a,never
violet,light,a,a,never
ice,hockey,,,always
brass,wire,a,a,rarely
purple,bag,a,a,rarely
purple,sock,a,a,never
country,air,,,almost always
meatball,dinner,a,a,often
back,door,a,a,sometimes
mommy,shoe,a,a,never
round,pond,a,a,almost always
fax,machine,a,a,never
wax,paper,a,a,rarely
daddy,bug,a,a,sometimes
sweat,pants,,,sometimes
plastic,cupboard,a,a,never
drawing,board,a,a,never
red,cup,a,a,never
baby,toy,a,a,often
air,plane,a,an,always
dragon,boy,a,a,about half the time
picnic,food,,,rarely
green,worktop,a,a,never
tom,cat,a,a,about half the time
barn,door,a,a,rarely
dirty,clothes,,,often
sea,food,,,sometimes
pile,driver,a,a,never
dirty,basket,a,a,about half the time
plastic,train,a,a,always
square,net,a,a,never
fax,phone,a,a,never
music,instrument,an,a,always
timber,fencing,,,almost always
green,color,a,a,never
apple,snack,a,an,never
chocolate,raisin,a,a,never
goldfish,soup,,,never
flaming,shake,a,a,never
cherry,popsicle,a,a,rarely
top,corner,a,a,never
crocodile,dinner,a,a,never
sweet,violet,a,a,never
toilet,handle,a,a,never
karate,kick,a,a,always
red,panda,a,a,never
bunny,sleeping,,,about half the time
baby,exercise,an,a,never
purple,trunk,a,a,never
brown,circle,a,a,never
petrol,station,a,a,rarely
sweet,hay,,,always
fish,pond,a,a,often
pop,guns,a,a,never
caravan,season,a,a,rarely
kids,dance,a,a,never
holly,wreath,a,a,almost always
thistle,spud,a,a,sometimes
student,bar,a,a,sometimes
hot,oven,an,a,always
clothes,line,a,a,rarely
pumpkin,bear,a,a,never
garden,toolbox,a,a,rarely
green,line,a,a,never
back,ride,a,a,never
cut,tree,a,a,never
chicken,nugget,a,a,sometimes
dirty,dish,a,a,almost always
oval,ball,a,an,rarely
roof,ventilation,,,never
cod,oil,,,never
bat,file,a,a,never
wooden,door,a,a,often
flat,timber,,,never
plaid,coat,a,a,never
pop,star,a,a,always
lilac,jade,,,about half the time
world,cup,a,a,never
smoke,machine,a,a,rarely
purple,dolphin,a,a,never
hot,pickle,a,a,never
pink,star,a,a,never
radio,repair,a,a,always
purple,pillow,a,a,rarely
basketball,hoop,a,a,almost always
swimming,teacher,a,a,never
round,field,a,a,almost always
taxi,driver,a,a,rarely
yellow,squash,a,a,sometimes
blind,corner,a,a,never
pink,spider,a,a,never
red,worm,a,a,rarely
baby,game,a,a,almost always
chief,advisor,an,a,almost always
round,table,a,a,rarely
star,command,a,a,always
giant,worm,a,a,never
dirty,panty,a,a,sometimes
chip,pan,a,a,almost always
skittle,gum,a,a,rarely
singing,dog,a,a,never
dirty,slide,a,a,always
honey,bunny,a,a,rarely
gift,shop,a,a,always
house,pig,a,a,never
coral,bed,a,a,never
puddle,boot,a,a,sometimes
green,bowl,a,a,never
wash,basin,a,a,about half the time
tar,pit,a,a,never
orange,cake,a,an,never
red,meat,,,almost always
bronze,sword,a,a,always
yellow,egg,an,a,sometimes
circus,car,a,a,never
wet,rain,,,always
bedroom,bungalow,a,a,about half the time
pirate,girl,a,a,never
wrist,watch,a,a,always
guy,scream,a,a,sometimes
snow,clothes,,,almost always
bottom,edge,an,a,never
pirate,show,a,a,never
purple,card,a,a,never
toy,car,a,a,often
pink,phone,a,a,never
square,knot,a,a,never
worker,man,a,a,about half the time
dragon,attack,an,a,never
apple,sauce,,,never
cataract,operation,an,a,sometimes
plastic,bowl,a,a,sometimes
panda,bear,a,a,rarely
green,dinosaur,a,a,always
dinner,bowl,a,a,sometimes
leather,coat,a,a,never
entrance,hall,a,an,sometimes
fruit,juice,,,always
ocean,floor,a,an,never
hot,muffin,a,a,almost always
dark,cloud,a,a,about half the time
vitamin,drop,a,a,about half the time
body,shop,a,a,rarely
pig,boil,a,a,never
garage,door,a,a,often
paddle,game,a,a,rarely
hot,spice,a,a,rarely
heart,plate,a,a,never
brake,light,a,a,rarely
purple,spider,a,a,never
giant,meteor,a,a,never
yellow,puppy,a,a,rarely
library,picture,a,a,never
sister,elephant,an,a,almost always
motor,caravan,a,a,never
dark,ceiling,a,a,rarely
red,basket,a,a,never
purple,hat,a,a,never
lip,stick,a,a,sometimes
green,card,a,a,never
bus,ride,a,a,always
bug,bite,a,a,often
dog,dish,a,a,never
hot,body,a,a,rarely
baby,sweater,a,a,never
triceratops,sand,,,never
fare,crossing,a,a,never
coral,snake,a,a,never
fat,piece,a,a,about half the time
green,cat,a,a,never
stone,wall,a,a,almost always
furry,caterpillar,a,a,sometimes
phone,bill,a,a,about half the time
red,light,a,a,almost always
money,tree,a,a,never
red,balloon,a,a,sometimes
sunny,day,a,a,about half the time
wall,tiling,,,always
wet,hair,,,often
cock,eye,an,a,never
foot,lounge,a,a,rarely
wedding,dress,a,a,rarely
nap,video,a,a,never
red,knight,a,a,almost always
book,paperback,a,a,almost always
bedroom,window,a,a,about half the time
hillbilly,baby,a,a,never
quarter,past,a,a,never
red,tie,a,a,rarely
skunk,burger,a,a,never
blueberry,pie,a,a,sometimes
chalk,board,a,a,sometimes
baby,lion,a,a,never
yellow,snow,,,never
carp,family,a,a,never
herb,garden,a,an,rarely
alcove,bedroom,a,an,about half the time
swimming,suit,a,a,about half the time
fruit,tree,a,a,sometimes
note,card,a,a,always
yellow,screw,a,a,rarely
hash,brown,,,almost always
sugar,plum,a,a,never
potato,skin,,,never
chamber,pot,a,a,rarely
orange,beak,a,an,about half the time
fairy,lady,a,a,never
rice,milk,,,rarely
grape,juice,,,sometimes
round,edge,an,a,rarely
water,fountain,a,a,never
office,chair,a,an,often
foot,pool,a,a,never
yellow,tube,a,a,rarely
yellow,knight,a,a,rarely
day,pastor,a,a,never
whale,squirt,a,a,always
pink,paint,,,rarely
cookie,sandwich,a,a,never
giant,truck,a,a,sometimes
flower,bed,a,a,never
yellow,wheel,a,a,almost always
dark,side,a,a,never
gold,balloon,a,a,never
lemon,soda,,,never
purple,stage,a,a,never
cream,cake,a,a,sometimes
puppy,food,,,never
baby,heart,a,a,never
smiley,ball,a,a,never
gold,guy,a,a,rarely
varnish,stripper,a,a,almost always
purple,square,a,a,never
red,phone,a,a,never
brown,pumpkin,a,a,rarely
flower,petal,a,a,never
instrument,panel,a,an,almost always
giant,saucer,a,a,never
face,painting,a,a,never
curve,piece,a,a,sometimes
raisin,bun,a,a,never
milk,bar,a,a,almost always
pink,diamond,a,a,never
back,window,a,a,never
apple,green,,,always
outside,edge,an,an,always
string,puppet,a,a,never
green,tower,a,a,always
rolling,ball,a,a,often
rain,storm,a,a,almost always
green,popsicle,a,a,sometimes
hot,pants,,,about half the time
light,lunch,a,a,sometimes
