adjective,noun,article,adj_article,gpt3_judgment
puppy,guy,a,a,Sometimes
pink,sandal,a,a,Rarely
kitty,litter,,,Often
frown,face,a,a,Often
grey,beard,a,a,Often
gold,cap,a,a,Rarely
dead,brain,a,a,Never
stand,point,a,a,Never
bear,pants,,,Never
lunch,plate,a,a,Often
candy,dish,a,a,Rarely
bunny,mama,a,a,Often
green,paper,a,a,Rarely
mommy,baby,a,a,Never
octopus,tentacle,a,an,Almost always
slide,honey,,,Almost always
yellow,bin,a,a,Rarely
fat,girl,a,a,Sometimes
draw,prize,a,a,Rarely.
round,hole,a,a,Almost always
fire,side,a,a,Almost Always
grilled,sandwich,a,a,Often
purple,screw,a,a,Never
flat,one,a,a,Almost always
rain,shower,a,a,Often
wooden,trough,a,a,Rarely
road,racing,,,Often
orange,grey,,,Never
daddy,dinosaur,a,a,Never
shop,floor,a,a,Often
potato,salad,a,a,Sometimes
gold,necklace,a,a,Often
family,day,a,a,Often
mommy,talk,a,a,Sometimes
throw,pillow,a,a,Often
baby,powder,,,Almost always
spray,bubble,a,a,Rarely
pink,purse,a,a,Sometimes
onion,sandwich,a,an,Rarely
rum,truffle,a,a,Rarely
pink,leg,a,a,Never
kid,book,a,a,Often
leather,case,a,a,Sometimes
orange,hand,a,an,Never
green,tea,,,Often
giant,fire,,,Never
book,sticker,a,a,Often
lollipop,wand,a,a,Never
forty,eight,an,a,Never
gram,jar,a,a,Never
coffee,pot,a,a,Often
tile,pattern,a,a,Sometimes
green,truck,a,a,Sometimes
baby,dish,a,a,Rarely
cloth,heart,a,a,Never
fruit,punch,a,a,Often
dark,ring,a,a,Rarely.
green,eel,an,a,Rarely
hamburger,meat,,,Often
back,hoe,a,a,Almost always
hot,tank,a,a,Never
yellow,shelf,a,a,Rarely
purple,pear,a,a,Rarely
sweet,shrimp,,,Often
mud,pot,a,a,Rarely
bell,sticker,a,a,Rarely
brandy,butter,,,Rarely
pink,car,a,a,Rarely
spanking,spot,a,a,Never
yellow,grey,,,Never
ball,player,a,a,Often
checkout,girl,a,a,Sometimes
cut,bread,,,Often
plastic,wrap,a,a,Often
cooking,chocolate,,,Often
orange,belt,a,an,Rarely
purple,pickle,a,a,Rarely
yellow,fat,,,Never
wheat,cookie,a,a,Sometimes
oyster,cracker,a,an,Rarely
elephant,scale,a,an,Never
yellow,cap,a,a,Sometimes
oval,piece,a,an,Sometimes
flag,drawer,a,a,Never
elephant,toy,a,an,Sometimes
grocery,list,a,a,Often
red,diamond,a,a,Rarely
outside,wind,,,Often
sail,boat,a,a,Often
round,wheel,a,a,Almost always
bunny,slipper,a,a,Rarely
hot,sandwich,a,a,Sometimes
cub,group,a,a,Sometimes
gym,shoe,a,a,Often
brother,bunny,a,a,Rarely
orange,car,a,an,Sometimes
banana,sundae,a,a,Often
ladies,mother,a,a,Almost always
pirate,land,,,Never
beetle,family,a,a,Never
door,casing,a,a,Often
mauve,ring,a,a,Rarely
hot,book,a,a,Sometimes
nut,juice,,,Rarely
octopus,talon,a,an,Never
cash,book,a,a,Never
motor,bridge,a,a,Rarely
oatmeal,raisin,a,an,Almost always
red,digger,a,a,Sometimes
page,boy,a,a,Rarely
metal,edge,an,a,Sometimes
top,butter,,,Almost Always
bright,boy,a,a,Often
round,sun,,,Always
car,tire,a,a,Always
gas,man,a,a,Rarely
green,spoon,a,a,Rarely
hail,storm,a,a,Often
yellow,noodle,a,a,Rarely
taller,tower,a,a,Almost always
uniform,skirt,a,a,Rarely
sunset,sky,a,a,Often
firework,factory,a,a,Rarely.
naked,girl,a,a,Never
fish,stick,a,a,Never
red,cow,a,a,Rarely
pink,nose,a,a,Never
fat,bird,a,a,Rarely.
red,corner,a,a,Rarely
green,hand,a,a,Never
yellow,coat,a,a,Rarely.
forty,inch,an,a,Never
pink,eye,an,a,Never
pink,hippo,a,a,Never
stain,varnish,,,Often
hot,blanket,a,a,Sometimes
house,spider,a,a,Often
swimming,pool,a,a,Almost always
mama,hat,a,a,Rarely
taller,ceiling,a,a,Almost always
police,guard,a,a,Often
giant,sundial,a,a,Rarely
putty,hand,a,a,Never
mud,trail,a,a,Sometimes
circus,baby,a,a,Never
furry,guy,a,a,Rarely
oatmeal,bowl,a,an,Sometimes
green,heart,a,a,Never
sugar,fat,,,Never
orange,structure,a,an,Rarely
hot,whisky,,,Never
outside,theater,a,an,Rarely
grey,snow,,,Rarely
phone,call,a,a,Almost always
bug,book,a,a,Rarely
charcoal,grill,a,a,Often
stairs,toy,a,a,Sometimes
purple,sandbox,a,a,Rarely
frog,hat,a,a,Rarely
yellow,radiator,a,a,Rarely
purple,chalk,,,Rarely
green,turtle,a,a,Often
chocolate,dough,,,Rarely
pink,edge,an,a,Never
girl,bunny,a,a,Almost always.
tennis,shoe,a,a,Often
pork,chop,a,a,Often
pillar,box,a,a,Never
orange,juice,,,Often
plastic,wateringcan,a,a,Often
pink,shirt,a,a,Often
muffin,man,a,a,Rarely
dragon,piece,a,a,Rarely
bar,lounge,a,a,Often
baby,carrot,a,a,Sometimes
corn,cookie,a,a,Rarely
cream,cone,a,a,Almost always
mama,lion,a,a,Often
plant,house,a,a,Rarely
light,weight,a,a,Often
bear,costume,a,a,Often
cheese,bag,a,a,Rarely
dirty,floor,a,a,Sometimes
yellow,crayon,a,a,Almost always
fish,seafood,,,Often
picture,window,a,a,Often
goldfish,jumping,,,Never
bowler,hat,a,a,Rarely
draw,ticket,a,a,Rarely
hive,bee,a,a,Often
smoke,tablet,a,a,Never
baby,puppy,a,a,Almost always
picture,card,a,a,Almost always
child,person,a,a,Never
green,tree,a,a,Almost always
cheese,stick,a,a,Never
fork,lift,a,a,Never
peach,cobbler,a,a,Almost always
toast,cheese,,,Almost always
purple,grey,,,Never
shoe,shop,a,a,Often
orange,tractor,a,an,Rarely.
flat,box,a,a,Almost always
yellow,lemon,a,a,Almost always
toy,house,a,a,Never
red,gravy,,,Rarely
grill,pan,a,a,Often
toy,block,a,a,Often
bear,face,a,a,Rarely.
terrace,house,a,a,Often
red,plate,a,a,Sometimes
apple,pie,a,an,Often
hot,food,,,Often
wooden,box,a,a,Often
daddy,tiger,a,a,Rarely
green,sword,a,a,Rarely
fatty,lady,a,a,Never
rain,forest,a,a,Often
jelly,bean,a,a,Rarely.
casserole,dish,a,a,Often
baby,seat,a,a,Rarely
butt,cheek,a,a,Never
licorice,snack,a,a,Sometimes
green,box,a,a,Sometimes
hot,cream,,,Never
wood,chip,a,a,Rarely
cooking,meal,a,a,Often
round,puzzle,a,a,Rarely
magnet,toy,a,a,Sometimes
sketchbook,pad,a,a,Often
slippery,bug,a,a,Rarely
phone,card,a,a,Rarely
puzzle,game,a,a,Sometimes
sleeveless,suit,a,a,Never
dark,orange,an,a,Sometimes
camping,school,a,a,Rarely.
daddy,bear,a,a,Rarely
fish,dinner,a,a,Sometimes
room,closet,a,a,Almost always
purple,arm,an,a,Never
calendar,date,a,a,Almost always
pink,cookie,a,a,Rarely
trash,bin,a,a,Almost Always
honey,bee,a,a,Often
yellow,honey,,,Almost always
pinky,toe,a,a,Almost always
bright,colors,a,a,Often
red,truck,a,a,Often
rail,road,a,a,Rarely.
hot,date,a,a,Sometimes
light,grate,a,a,Rarely
dead,cereal,,,Never
letter,factory,a,a,Rarely
baby,animal,an,a,Almost always.
yellow,lemonade,,,Almost always.
green,paint,,,Often
lawn,mower,a,a,Always
tape,head,a,a,Never
dill,pickle,a,a,Almost always
chocolate,frog,a,a,Never
mud,pit,a,a,Rarely
green,grey,,,Never
rusty,nail,a,a,Rarely
text,book,a,a,Rarely
sunny,road,a,a,Often
hand,motor,a,a,Never
machine,smock,a,a,Rarely
lego,boy,a,a,Rarely
film,star,a,a,Sometimes
sugar,mama,a,a,Rarely
baby,ice,,,Almost always
red,shirt,a,a,Often
paint,tray,a,a,Rarely
fat,finger,a,a,Rarely
umbrella,stick,a,an,Rarely
orange,apple,an,an,Never
toddler,toy,a,a,Often
mama,bear,a,a,Often
sugar,cookie,a,a,Often
pink,limousine,a,a,Rarely
yellow,butterfly,a,a,Often
round,side,a,a,Almost always.
turtle,brown,,,Sometimes
ball,bat,a,a,Never
pussy,hair,,,Never
puppy,blanket,a,a,Rarely
dead,bug,a,a,Never
color,circle,a,a,Almost always
hot,oil,,,Never
rope,walker,a,a,Rarely
walking,boot,a,a,Often
bird,bath,a,a,Never
family,exercise,an,a,Sometimes
key,chain,a,a,Often
dressing,room,a,a,Sometimes
round,egg,an,a,Almost always
meat,sandwich,a,a,Often
kissing,hand,a,a,Never
fish,bowl,a,a,Often
bubble,flavor,a,a,Sometimes
spider,leg,a,a,Never
lego,person,a,a,Never
railway,line,a,a,Often
marble,flooring,,,Rarely
veggie,cheese,,,Sometimes
mail,box,a,a,Sometimes
gum,drop,a,a,Almost always
fish,eye,an,a,Rarely
bear,hunter,a,a,Sometimes
mutant,toy,a,a,Rarely
birth,month,a,a,Almost always
purple,balloon,a,a,Sometimes
purple,phone,a,a,Rarely
floor,board,a,a,Rarely
brother,chick,a,a,Never
hot,bag,a,a,Rarely
record,player,a,a,Rarely
pink,whale,a,a,Rarely
dirty,milk,,,Never
frog,girl,a,a,Never
cream,truck,a,a,Rarely
feather,painting,a,a,Rarely
outside,shoe,a,an,Often
red,piece,a,a,Often
strawberry,chocolate,,,Often
braid,hair,,,Often
orange,sugar,,,Never
face,cake,a,a,Sometimes
net,curtain,a,a,Rarely.
lady,toy,a,a,Sometimes
pink,cap,a,a,Rarely
breaking,limb,a,a,Never
red,tree,a,a,Rarely
daddy,cow,a,a,Never
painting,bib,a,a,Never
broken,tool,a,a,Rarely.
circus,police,,,Never
silky,thread,a,a,Sometimes
pink,dress,a,a,Often.
crusty,top,a,a,Rarely.
brown,shorts,,,Sometimes
baby,goat,a,a,Sometimes
fat,milk,,,Often
foil,tray,a,a,Often
prize,game,a,a,Sometimes
vitamin,pill,a,a,Often
dark,lollipop,a,a,Rarely.
sea,picture,a,a,Sometimes
purple,pepper,a,a,Rarely
breakfast,cereal,,,Almost always
milk,mustache,a,a,Rarely
red,wine,,,Often
red,milk,,,Never
fruit,stall,a,a,Sometimes
fuzzy,flower,a,a,Rarely
hot,cloth,a,a,Rarely
junction,box,a,a,Never
yellow,bus,a,a,Sometimes
music,hall,a,a,Sometimes
cooking,breakfast,a,a,Often
fish,game,a,a,Rarely
girl,deer,a,a,Often
purple,puppy,a,a,Never
brake,drum,a,a,Rarely
yogurt,juice,,,Rarely
baby,owl,an,a,Sometimes
bakery,bread,,,Often
cheese,slice,a,a,Often
table,leg,a,a,Almost Always.
turtle,orange,an,a,Never
conveyor,belt,a,a,Never
fat,marker,a,a,Rarely
snow,fight,a,a,Rarely
fishing,hole,a,a,Rarely
burnt,rubber,,,Never
hot,honey,,,Never
snow,night,a,a,Almost always.
hot,sausage,a,a,Often
round,clock,a,a,Often
pear,tree,a,a,Almost always.
green,stool,a,a,Rarely.
pink,stair,a,a,Never
carat,ring,a,a,Often
fur,coat,a,a,Rarely
skate,boarding,,,Sometimes
fold,laundry,,,Often
closet,chair,a,a,Rarely.
giant,belt,a,a,Rarely
library,tray,a,a,Rarely
pink,tool,a,a,Rarely
magazine,rack,a,a,Often
car,station,a,a,Almost always
sea,turtle,a,a,Often
material,flower,a,a,Rarely
baby,seal,a,a,Rarely.
pirate,costume,a,a,Often
cow,boy,a,a,Rarely.
yellow,paint,,,Often
toy,baby,a,a,Never
solid,tape,a,a,Never
yellow,balloon,a,a,Often
wet,face,a,a,Often
orange,hamster,a,an,Rarely
green,hair,,,Rarely
water,kitty,a,a,Rarely.
hot,pattern,a,a,Sometimes
purple,dude,a,a,Never
hot,fan,a,a,Almost always
bottom,jaw,a,a,Almost always
gold,bag,a,a,Rarely
stud,dog,a,a,Rarely
purple,wiggle,a,a,Rarely
bright,tomato,a,a,Often
night,raccoon,a,a,Often
marmalade,fish,a,a,Never
wedding,ring,a,a,Almost always
twin,room,a,a,Sometimes
wiggle,worm,a,a,Often
breakfast,egg,an,a,Often
fishing,rod,a,a,Often
yellow,cup,a,a,Rarely
foam,piece,a,a,Sometimes
aluminum,rod,a,an,Sometimes
plastic,tray,a,a,Almost Always
gas,mask,a,a,Rarely
yellow,wing,a,a,Rarely
hot,ice,,,Never
paint,shirt,a,a,Rarely
red,shoe,a,a,Sometimes
coffee,break,a,a,Often
cuckoo,clock,a,a,Sometimes
girl,cup,a,a,Never
toucan,bird,a,a,Often
green,pencil,a,a,Rarely
family,feast,a,a,Often
circus,bus,a,a,Rarely
money,machine,a,a,Almost always
elephant,brooch,a,an,Rarely
elephant,crying,,,Almost always
spiral,grip,a,a,Rarely
furry,cat,a,a,Almost always
baby,cup,a,a,Sometimes
paper,cut,a,a,Often
toy,bag,a,a,Sometimes
car,carrier,a,a,Often
tree,top,a,a,Rarely
fat,cat,a,a,Often
suction,cup,a,a,Rarely
red,licorice,,,Almost always
wet,suit,a,a,Rarely
hot,car,a,a,Rarely
outside,piece,a,an,Rarely
pink,suit,a,a,Rarely
tennis,racket,a,a,Almost always
green,cookie,a,a,Rarely
flying,dragon,a,a,Almost always.
dog,dance,a,a,Never
bunny,jumping,,,Rarely
ultrasound,picture,a,an,Almost always
sliced,potato,a,a,Sometimes
giant,tower,a,a,Almost always.
male,lead,a,a,About half the time.
velvet,slipper,a,a,Rarely
frog,jump,a,a,Sometimes
push,bike,a,a,Often
face,guy,a,a,Rarely.
ant,block,a,an,Rarely
tile,floor,a,a,Often
bouncing,spot,a,a,Sometimes
turtle,hat,a,a,Rarely.
plastic,truck,a,a,Never
baby,eagle,an,a,Rarely
red,ocean,an,a,Never
ball,man,a,a,Rarely
wet,road,a,a,Often
furry,coach,a,a,Never
red,bracelet,a,a,Sometimes
red,candy,,,Often
shower,curtain,a,a,Almost always
jacket,top,a,a,Sometimes
cough,drop,a,a,Almost always
fish,egg,an,a,Never
picnic,table,a,a,Sometimes
elf,talk,a,an,Rarely
one,piece,a,a,Almost always
yellow,ribbon,a,a,Sometimes
yellow,feather,a,a,Sometimes
red,juice,,,Sometimes
worm,poop,,,Never
home,page,a,a,Almost always
strawberry,yogurt,,,Sometimes
triangle,toast,,,Rarely
sperm,cell,a,a,Almost always
puppy,print,a,a,Sometimes
bottom,light,a,a,Rarely.
red,gym,a,a,Rarely
green,carrot,a,a,Never
yellow,knee,a,a,Never
purple,footprint,a,a,Never
hot,shake,a,a,Never
teddy,home,a,a,Never
twin,tub,a,a,Rarely
diaper,baby,a,a,Almost always
back,plate,a,a,Never
hot,piece,a,a,Sometimes
red,bottom,a,a,Sometimes
red,tongue,a,a,Almost always.
ball,bunny,a,a,Rarely
red,green,,,Never
bear,growl,a,a,Often
door,speaker,a,a,Almost always
purple,room,a,a,Rarely
prawn,cocktail,a,a,Rarely.
boy,bed,a,a,Never
brown,sweater,a,a,Often
chocolate,cookie,a,a,Often
surface,dwelling,a,a,Rarely
purple,jacket,a,a,Sometimes
red,snake,a,a,Rarely
mommy,cup,a,a,Never
octopus,spying,,,Never
