adjective,noun,article,adj_article,gpt3_judgment
mother,alligator,an,a,Almost always
oval,triangle,a,an,Never
green,tomato,a,a,Rarely
red,horse,a,a,Rarely
light,switch,a,a,Often
dead,ornament,an,a,Rarely
pigeon,shit,,,Never
apple,slice,a,an,Often
wet,girl,a,a,Rarely.
candy,machine,a,a,Almost always
jam,pot,a,a,Rarely
lighting,hallway,a,a,Sometimes
music,toy,a,a,Often
kitchen,counter,a,a,Almost always
green,slide,a,a,Sometimes
steam,shovel,a,a,Never
baby,hippo,a,a,Almost always
carrot,stick,a,a,Never
sleeve,shirt,a,a,Almost Always
goods,shop,a,a,Often
file,drawer,a,a,Sometimes
dirty,daddy,a,a,Rarely
solid,smack,a,a,Almost always
balloon,streamer,a,a,Rarely
foot,length,a,a,Almost always.
dead,skin,,,Often
sidewalk,chalk,,,Often
fat,bunny,a,a,Rarely.
apple,tea,,,Sometimes
dirty,foot,a,a,Often
record,run,a,a,Almost always
seaside,cart,a,a,Rarely
round,globe,a,a,Almost always
purple,onion,an,a,Rarely
red,cookie,a,a,Never
school,teacher,a,a,Almost always.
dirty,water,,,Rarely.
curling,brush,a,a,Sometimes
girl,kiss,a,a,Often
brown,dirt,,,Almost always
circus,tent,a,a,Rarely
hot,macaroni,,,Almost Always
dark,green,,,Often
cinnamon,stick,a,a,Rarely
ham,salad,a,a,Rarely
roast,lamb,a,a,Often
school,girl,a,a,Sometimes
crispy,worm,a,a,Never
gold,weaver,a,a,Rarely
yellow,hoop,a,a,Rarely
honey,pie,a,a,Rarely
pencil,show,a,a,Never
arrow,sign,a,an,Often
track,suit,a,a,Never
train,gate,a,a,Sometimes
red,notebook,a,a,Rarely
oak,chest,a,an,Often
navy,skirt,a,a,Often
pink,robe,a,a,Rarely
thick,eyelash,an,a,Sometimes
slide,leg,a,a,Never
cellar,door,a,a,Rarely
maple,bar,a,a,Rarely
motorway,bridge,a,a,Often
cardboard,box,a,a,Almost always
freezing,road,a,a,Never
orange,tea,,,Rarely.
statue,toy,a,a,Rarely.
crispy,brown,,,Often
web,shooter,a,a,Rarely
purple,bed,a,a,Rarely
wastepaper,basket,a,a,Often
snow,leopard,a,a,Never
back,flip,a,a,Almost Always
purple,cup,a,a,Rarely
peach,juice,,,Sometimes
sweet,chocolate,,,Almost always
dark,line,a,a,Rarely
brown,egg,an,a,Often
train,ride,a,a,Sometimes
red,room,a,a,Rarely.
red,coral,,,Often
dirty,tissue,a,a,Never
orange,glasses,,,Rarely.
orange,tube,a,an,Rarely
explorer,suit,a,an,Rarely
glass,table,a,a,Rarely.
colored,paper,a,a,Rarely.
trash,truck,a,a,Often
fuzzy,slipper,a,a,Often
bottom,tooth,a,a,Almost always
girl,bed,a,a,Never
tennis,court,a,a,Almost always
boxing,glove,a,a,Sometimes
hot,mom,a,a,Sometimes
feather,mattress,a,a,Rarely
jelly,fish,a,a,Rarely
tonic,water,,,Never
dirty,bowl,a,a,Sometimes
dolphin,family,a,a,Never
stroller,toy,a,a,Sometimes
green,tail,a,a,Never
silver,bell,a,a,Often
red,flag,a,a,Often
tattoo,heart,a,a,Rarely
hot,water,,,Never
baby,penguin,a,a,Almost always
dress,piece,a,a,Sometimes
smiley,guy,a,a,Often
hot,pepper,a,a,Often
farm,tractor,a,a,Almost always.
curly,tail,a,a,Rarely
oatmeal,pie,a,an,Rarely
green,jacket,a,a,Sometimes
back,porch,a,a,Often
thick,canopy,a,a,Often
green,vegetable,a,a,Almost always
purple,cat,a,a,Never
dead,mommy,a,a,Never
baby,elephant,an,a,Almost always
bottom,lip,a,a,Almost always.
bird,cage,a,a,Almost always
thick,clip,a,a,Often
kitty,cat,a,a,Almost always
office,phone,a,an,Sometimes
bottom,row,a,a,Almost Always
brown,spot,a,a,Sometimes
sun,lotion,,,Often
yellow,bill,a,a,Never
brown,bear,a,a,Almost always
garbage,can,a,a,Almost always
rice,cake,a,a,Rarely
dancing,bud,a,a,Never
hot,air,,,Rarely
wooden,puzzle,a,a,Often
piano,piece,a,a,Often
yellow,hair,,,Rarely
bear,mama,a,a,Almost always.
pink,eyeball,an,a,Never
smiley,girl,a,a,Often
quarter,cup,a,a,Rarely
cum,store,a,a,Never
marine,tank,a,a,Almost always
teacher,day,a,a,Rarely
green,edge,an,a,Rarely
paint,can,a,a,Rarely
night,gown,a,a,Almost always
cartoon,ring,a,a,Rarely
ski,pants,,,Rarely
green,beard,a,a,Never
sugar,snack,a,a,Often
soup,kitchen,a,a,Rarely
queen,crab,a,a,Rarely
snow,book,a,a,Rarely.
hot,bowl,a,a,Rarely
turtle,shell,a,a,Almost always
night,dress,a,a,Often
snow,dog,a,a,Often
dish,cloth,a,a,Often
cylinder,gas,,,Almost always
baby,stroller,a,a,Almost always
cursive,letter,a,a,Rarely
yellow,dragon,a,a,Rarely
grape,fruit,a,a,Often
red,sweet,a,a,Sometimes
green,scooter,a,a,Rarely
yellow,duckling,a,a,Often
orange,sticker,a,an,Sometimes
dirty,crayon,a,a,Rarely
stone,cup,a,a,Rarely
gold,ticket,a,a,Rarely.
girl,hood,a,a,Sometimes
giant,shadow,a,a,Rarely
concrete,driveway,a,a,Often
purple,dinosaur,a,a,Never
cereal,box,a,a,Often
moon,game,a,a,Rarely
girl,colors,a,a,Never
burnt,charcoal,,,Almost always
train,station,a,a,Often
boy,sock,a,a,Often
wood,window,a,a,Often
green,triceratops,a,a,Never
thick,model,a,a,Sometimes
bottom,stair,a,a,Almost Always
kettle,drum,a,a,Rarely
baby,bunny,a,a,Often
closet,door,a,a,Often
brown,bread,,,Often
corn,fan,a,a,Never
pink,noodle,a,a,Rarely
purple,bunny,a,a,Rarely
chip,cookie,a,a,Often
green,airplane,an,a,Rarely
corner,house,a,a,Sometimes
bottom,cupboard,a,a,Almost always
poison,berry,a,a,Rarely
plastic,bottle,a,a,Almost always
pink,bubblegum,,,Almost always
yellow,pants,,,Rarely
cell,phone,a,a,Almost always
yellow,overalls,,,Sometimes
fruit,sherry,,,Rarely
cellar,key,a,a,Rarely.
tire,swing,a,a,Often
mommy,squirrel,a,a,Often
round,case,a,a,Sometimes
baby,food,,,Sometimes
night,armadillo,an,a,Rarely
orange,box,a,an,Rarely
back,alley,an,a,Rarely
paper,cup,a,a,Often
pound,note,a,a,Almost always
vegetable,salad,a,a,Often
college,lecturer,a,a,Almost always
yellow,submarine,a,a,Rarely
bunny,rabbit,a,a,Almost always
water,board,a,a,Never
ear,infection,an,an,Often
baby,piggy,a,a,Almost always
pecan,cluster,a,a,Rarely
yellow,man,a,a,Never
green,jungle,a,a,Almost Always.
broken,bag,a,a,Rarely
nail,polish,,,Almost Always
dead,fish,a,a,Never
pregnant,person,a,a,Almost always.
thick,wood,,,Often
sea,green,,,Sometimes
carrot,peel,a,a,Almost always
yarn,basket,a,a,Sometimes
walk,path,a,a,Often
purple,star,a,a,Rarely
eight,piece,a,an,Almost Always
bed,sheet,a,a,Almost always
pill,box,a,a,Often
blackberry,patch,a,a,Rarely
fuzzy,teddy,a,a,Almost always
red,color,a,a,Almost always.
hind,leg,a,a,Almost Always
jungle,gym,a,a,Never
dirty,player,a,a,Rarely.
curtain,window,a,a,Sometimes.
cigar,smoke,,,Rarely
baby,boy,a,a,Almost always
orange,sweater,a,an,Sometimes
fudge,sundae,a,a,Often
knitting,basket,a,a,Rarely
water,melon,a,a,Almost Always
garlic,bread,,,Sometimes
pole,light,a,a,Often
brown,syrup,,,Almost always
crispy,patty,a,a,Often
crescent,moon,a,a,Often
gun,guard,a,a,Often
bingo,game,a,a,Sometimes
marble,arch,an,a,Rarely
toy,train,a,a,Rarely
dead,puppy,a,a,Never
red,clay,,,Sometimes
silky,blanket,a,a,Rarely
door,valve,a,a,Sometimes
plant,root,a,a,Almost always.
mommy,fish,a,a,Often
pirate,flag,a,a,Rarely
broken,balloon,a,a,Rarely
bright,orange,an,a,Often
red,scissors,,,Rarely
egg,soup,,,Rarely
fish,aquarium,an,a,Almost always.
clothes,basket,a,a,Rarely
garden,tool,a,a,Often
sleep,walk,a,a,Rarely
blood,cell,a,a,Almost always
baby,ostrich,an,a,Always
dinner,table,a,a,Often
purple,noodle,a,a,Rarely
cast,iron,an,a,Almost always
cry,baby,a,a,Often
baby,sheep,a,a,Often
green,room,a,a,Rarely.
grey,boot,a,a,Sometimes
pink,yogurt,,,Never
pirate,movie,a,a,Rarely
pink,shoe,a,a,Rarely
wooden,hammer,a,a,Rarely
pet,toy,a,a,Sometimes
frozen,bean,a,a,Rarely
fat,elephant,an,a,Rarely.
dogs,biscuit,a,a,Never
hot,coffee,,,Almost always
purple,lipstick,,,Rarely
stew,pot,a,a,Often
brown,table,a,a,Often
jellyfish,family,a,a,Never
sleeping,bag,a,a,Never
hot,piggy,a,a,Rarely
multicolored,sign,a,a,Sometimes
dog,poop,,,Never
farm,movie,a,a,Rarely
green,hat,a,a,Sometimes
green,flag,a,a,Sometimes
navy,coat,a,a,Often
microwave,lid,a,a,Almost always
flat,roof,a,a,Often
green,park,a,a,Often
red,stair,a,a,Never
path,hedge,a,a,Rarely
plastic,track,a,a,Rarely
dirty,banana,a,a,Rarely.
alphabet,block,a,an,Rarely
baby,parrot,a,a,Rarely
train,car,a,a,Never
purple,snail,a,a,Rarely
green,zebra,a,a,Never
horse,manure,,,Often
yellow,cake,a,a,Often
music,book,a,a,Sometimes
carrot,cake,a,a,Sometimes
rolling,pin,a,a,Rarely
yellow,top,a,a,Sometimes
giant,frog,a,a,Rarely
wooden,stick,a,a,Often
dark,flower,a,a,Rarely
home,county,a,a,Almost always
green,book,a,a,Rarely
dirty,cave,a,a,Rarely
pink,skirt,a,a,Sometimes
fat,mama,a,a,Rarely
green,dog,a,a,Never
cookie,bake,a,a,Often
alphabet,puzzle,a,an,Sometimes
garden,shed,a,a,Often
night,crawler,a,a,Rarely
orange,pop,a,an,Often
pop,corn,a,a,Almost always.
ox,tail,a,an,Rarely
pound,hammer,a,a,Almost always
heart,attack,an,a,Sometimes
brown,shoe,a,a,Often
jaw,bone,a,a,Almost always
red,lobster,a,a,Rarely
cracker,box,a,a,Rarely
green,thumb,a,a,Never
wig,hair,,,Rarely
caramel,sauce,,,Rarely
curly,head,a,a,Sometimes
wet,grandpa,a,a,Rarely
slope,test,a,a,Rarely
baby,panda,a,a,Often
gas,fire,,,Rarely
boy,tooth,a,a,Never
yellow,handle,a,a,Rarely
marble,roll,a,a,Rarely
twin,deck,a,a,Rarely
potty,sticker,a,a,Rarely
orange,plant,a,an,Rarely
coffee,machine,a,a,Often
jelly,container,a,a,Often
round,pumpkin,a,a,Almost always
body,puppet,a,a,Rarely
daddy,waffle,a,a,Never
giant,dump,a,a,Never
lobster,hat,a,a,Rarely
outside,world,a,an,Sometimes
yellow,chicken,a,a,Often
bean,ball,a,a,Rarely
red,ice,,,Never
farm,shop,a,a,Sometimes
garlic,salt,,,Often
pink,honey,,,Rarely
weenie,firefly,a,a,Rarely
fat,tummy,a,a,Sometimes
cloud,smoke,,,Almost always
car,boot,a,a,Rarely
phone,line,a,a,Almost always.
art,advisor,an,an,Sometimes
top,molar,a,a,Almost always
wrapping,paper,a,a,Rarely
road,sign,a,a,Almost always.
hand,drive,a,a,Rarely.
bloody,nose,a,a,Never
baby,bottle,a,a,Almost always
yellow,lip,a,a,Never
pink,shorts,,,Sometimes
fire,alarm,an,a,Often
north,pole,a,a,Never
dog,mama,a,a,Often
wiggle,dancing,,,Often
examination,board,a,an,Often
bull,ant,an,a,Rarely
brown,cap,a,a,Sometimes
kid,ride,a,a,Often
yellow,ball,a,a,Often
man,book,a,a,Rarely
door,bell,a,a,Often
dart,board,a,a,Almost always
puppet,baby,a,a,Never
dinner,break,a,a,Often
granite,horse,a,a,Rarely
chest,plate,a,a,Never
record,case,a,a,Almost always
whale,hat,a,a,Rarely
mommy,daddy,a,a,Never
dinosaur,skull,a,a,Rarely
tree,farm,a,a,Often
orange,kitty,a,an,Often
clown,nose,a,a,Never
potty,break,a,a,Sometimes
bread,basket,a,a,Often.
giraffe,leg,a,a,Never
fat,squirrel,a,a,Sometimes
fish,guts,,,Rarely
bubble,soap,,,Often
fuzzy,creature,a,a,Often
basket,ball,a,a,Often
red,wagon,a,a,Rarely
matchbox,car,a,a,Never
jungle,ride,a,a,Sometimes
quiz,game,a,a,Sometimes
colored,green,,,Always
gold,ring,a,a,Often
paint,drip,a,a,Rarely
wet,slab,a,a,Never
green,blanket,a,a,Sometimes
oil,filter,a,an,Often
tan,car,a,a,Often
green,grasshopper,a,a,Often
bowling,ball,a,a,Almost always
hot,tap,a,a,Almost always
onion,ring,a,an,Never
petrol,account,an,a,Rarely
thistle,patch,a,a,Rarely
dirty,mommy,a,a,Never
bright,picture,a,a,Often
picture,book,a,a,Often
step,stool,a,a,Often
tree,branch,a,a,Often
apple,cookie,a,an,Rarely
bar,staff,,,Often
rock,crowd,a,a,Sometimes
dirty,bottom,a,a,Rarely.
bug,lift,a,a,Never
onion,gravy,,,Sometimes
skirt,stain,a,a,Sometimes
green,grape,a,a,Often
night,sky,a,a,Almost always.
solid,feed,,,Rarely
sky,diving,,,Never
pirate,hat,a,a,Rarely
giant,pillow,a,a,Rarely
green,side,a,a,Often
green,shirt,a,a,Often.
pink,mirror,a,a,Rarely
red,ear,an,a,Never
blowing,bubble,a,a,Sometimes
grey,coat,a,a,Often
giant,octopus,an,a,Rarely
dwarf,tree,a,a,Rarely
slippery,balloon,a,a,Rarely
baby,pumpkin,a,a,Rarely
jelly,sandwich,a,a,Often
octopus,video,a,an,Never
hill,track,a,a,Sometimes
fuzzy,pants,,,Rarely
spider,web,a,a,Often
pony,ride,a,a,Rarely.
card,table,a,a,Rarely
giant,bean,a,a,Never
song,book,a,a,Often
art,school,a,an,Sometimes
head,office,an,a,Almost Always
tire,mold,a,a,Rarely
bear,sleeping,,,Almost always
ice,cube,a,an,Never
dead,fly,a,a,Never
dog,sticker,a,a,Often
food,coloring,,,Sometimes
apple,farm,a,an,Often
bedroom,bathroom,a,a,Sometimes
sweet,drink,a,a,Often
hot,egg,an,a,Never
beach,token,a,a,Rarely
brown,basket,a,a,Sometimes
candy,corn,a,a,Never
library,book,a,a,Often
train,track,a,a,Often
orange,wall,a,an,Rarely
nylon,shirt,a,a,Sometimes
purple,pepperoni,,,Never
muscle,tissue,a,a,Almost always
outside,line,a,an,Rarely
blind,mouse,a,a,Rarely
coral,piece,a,a,Rarely
key,board,a,a,Never
water,filter,a,a,Often
root,beer,a,a,Almost always
turkey,chip,a,a,Never
grocery,store,a,a,Almost always
back,seat,a,a,Almost always
lemon,skin,,,Never
fly,ball,a,a,Rarely
purple,baby,a,a,Never
plastic,piece,a,a,Almost always
elephant,parade,a,an,Rarely
purple,collar,a,a,Rarely.
brown,shirt,a,a,Often
outside,lane,a,an,Often
elephant,ear,an,an,Rarely
paper,plate,a,a,Almost always
solar,shop,a,a,Rarely
coat,hanger,a,a,Almost always.
comb,brooch,a,a,Rarely
lighter,purple,,,Rarely
metal,plate,a,a,Rarely
country,mansion,a,a,Often
dolly,house,a,a,Never
elephant,fly,a,an,Never
green,bird,a,a,Often
red,squirrel,a,a,Rarely.
candy,cane,a,a,Almost always
fat,man,a,a,Rarely.
sewing,machine,a,a,Almost Always
tobacco,tin,a,a,Rarely
fuzzy,hair,,,Sometimes
green,man,a,a,Never
green,ear,an,a,Never
ground,floor,a,a,Almost Always
red,dress,a,a,Often
stair,carpet,a,a,Often
chicken,wing,a,a,Often
dancing,shoe,a,a,Sometimes
yellow,helicopter,a,a,Rarely
wet,ball,a,a,Usually Rarely
pink,oval,an,a,Sometimes
mommy,lion,a,a,Often
green,guy,a,a,Never
bank,note,a,a,Almost Always.
mulberry,tree,a,a,Rarely
orange,corner,a,an,Rarely.
dog,person,a,a,Often
furry,tail,a,a,Often
dead,one,a,a,Never
red,crayon,a,a,Almost always
bright,shirt,a,a,Sometimes
dark,eye,an,a,Often
fish,puzzle,a,a,Sometimes
hot,shit,,,Never
green,crayon,a,a,Almost always
circus,train,a,a,Rarely
loaf,pan,a,a,Often
brown,hill,a,a,Sometimes
blond,boy,a,a,Rarely.
stone,letter,a,a,Never
dirty,basement,a,a,Sometimes
burnt,cookie,a,a,Rarely
star,sticker,a,a,Often
bedroom,house,a,a,Often
cloth,mum,a,a,Often
pea,pod,a,a,Almost always.
cargo,car,a,a,Rarely
clothes,furnishing,,,Rarely
dish,washer,a,a,Never
cut,apple,an,a,Sometimes
tape,measure,a,a,Almost always.
red,bin,a,a,Rarely
yellow,skull,a,a,Never
thick,piece,a,a,Often
potato,pie,a,a,Sometimes
explorer,guy,a,an,Sometimes
red,coat,a,a,Often
plastic,toy,a,a,Almost always
quarry,tile,a,a,Often
puppet,stage,a,a,Rarely
thick,mud,,,Often
table,cloth,a,a,Often
baby,blanket,a,a,Often
square,face,a,a,Rarely
fruit,machine,a,a,Never
smooch,dance,a,a,Sometimes
outside,house,a,an,Rarely
hair,cap,a,a,Sometimes
purple,dog,a,a,Never
tooth,fairy,a,a,Almost Always
wet,pants,,,Never
flat,side,a,a,Almost always
green,lawn,a,a,Often
salty,egg,an,a,Never
peach,material,a,a,Rarely
thick,loaf,a,a,Sometimes
fat,lady,a,a,Never
letter,puzzle,a,a,Sometimes
chocolate,chip,a,a,Often
pink,tongue,a,a,Almost always
red,nose,a,a,Never
green,ball,a,a,Sometimes
hot,tub,a,a,Rarely
gingerbread,recipe,a,a,Rarely
drawing,table,a,a,Rarely
red,marker,a,a,Often
gas,pipe,a,a,Rarely
giant,present,a,a,Rarely
dark,forest,a,a,Rarely
purple,block,a,a,Rarely
orange,suit,a,an,Rarely
yellow,guitar,a,a,Rarely
shoe,room,a,a,Never
grey,suite,a,a,Rarely.
chocolate,eclair,an,a,Often
stamp,pad,a,a,Rarely
bagel,dog,a,a,Rarely
tree,frog,a,a,Often
sugar,bowl,a,a,Often
moist,soil,,,Often
kitchen,floor,a,a,Often
jelly,doughnut,a,a,Often
hot,bath,a,a,Often
pink,square,a,a,Rarely
hot,fry,a,a,Almost always
color,sand,,,Rarely.
rock,music,,,Often
flower,stem,a,a,Often
yellow,ring,a,a,Sometimes
north,king,a,a,Rarely
baby,room,a,a,Often
pirate,sword,a,a,Rarely.
pencil,sharpener,a,a,Almost always
oval,face,a,an,Often
door,grill,a,a,Rarely.
navy,shorts,,,Sometimes
children,adult,an,a,Never
building,downtown,a,a,Never
town,dump,a,a,Rarely
yellow,barrel,a,a,Never
stall,light,a,a,Almost always
elephant,ride,a,an,Rarely
pink,rake,a,a,Rarely
sheet,side,a,a,Almost always.
breast,lump,a,a,Often
red,house,a,a,Rarely
bottom,piece,a,a,Almost always
tooth,paste,a,a,Almost Always
carpet,shampoo,,,Never
grease,mark,a,a,Sometimes
orange,frosting,,,Rarely
camera,eye,an,a,Never
hot,lava,,,Always
butterfly,catcher,a,a,Rarely
metal,bath,a,a,Rarely
rubber,band,a,a,Never
leaf,cake,a,a,Sometimes
green,bug,a,a,Sometimes
green,airship,an,a,Rarely
green,ring,a,a,Rarely.
wooden,board,a,a,Often
lacing,piece,a,a,Rarely
rabbit,hole,a,a,Rarely
broken,ride,a,a,Rarely
purple,raindrop,a,a,Never
hot,tray,a,a,Sometimes
letter,block,a,a,Never
plastic,ball,a,a,Often
fly,swatter,a,a,Almost always
toy,lizard,a,a,Rarely
daddy,crown,a,a,Never
green,marble,a,a,Sometimes
wet,kiss,a,a,Often
lunch,box,a,a,Often
sweet,tooth,a,a,Never
bottom,bunk,a,a,Often
dinosaur,foot,a,a,Never
elephant,trunk,a,an,Almost always
pink,kitty,a,a,Rarely
apple,butter,,,Rarely
green,flower,a,a,Often
bed,room,a,a,Almost always.
building,block,a,a,Almost always
ball,tent,a,a,Rarely
daddy,hand,a,a,Never
street,lighting,,,Often
yellow,stripe,a,a,Sometimes
pink,chair,a,a,Rarely.
grocery,cart,a,a,Often.
gingerbread,man,a,a,Never
food,container,a,a,Often
flower,pants,,,Rarely
wheat,flour,,,Almost always
brown,penny,a,a,Almost always
purple,animal,an,a,Never
flower,tree,a,a,Rarely.
lemon,juice,,,Often
yellow,room,a,a,Sometimes
daddy,hippo,a,a,Rarely
road,license,a,a,Almost always.
juice,drop,a,a,Often
washing,line,a,a,Often
purple,present,a,a,Rarely.
girl,mommy,a,a,Almost always
hair,dryer,a,a,Never
mommy,goat,a,a,Often
sweet,tasting,a,a,Often
red,controller,a,a,Often
juicy,pear,a,a,Often
brown,cow,a,a,Almost always
garden,chair,a,a,Rarely
broken,toenail,a,a,Rarely.
saucepan,spoon,a,a,Rarely
animal,fat,,,Rarely
page,moderator,a,a,Often
icecream,maker,a,an,Sometimes
snow,seal,a,a,Rarely
paper,model,a,a,Rarely
king,man,a,a,Almost always
monkey,bar,a,a,Rarely
curly,string,a,a,Often
bubble,wand,a,a,Rarely
pink,color,a,a,Almost Always
purple,diamond,a,a,Rarely
tightrope,walker,a,a,Never
attic,room,a,an,Rarely
red,flower,a,a,Often
thick,hair,,,Often
burnt,toast,,,Often
red,heart,a,a,Almost always
color,marker,a,a,Often
screen,door,a,a,Rarely
baby,piglet,a,a,Almost always
popsicle,stick,a,a,Often
pet,store,a,a,Often
hotel,breakfast,a,a,Sometimes
light,saber,a,a,Almost always
world,sea,a,a,Almost always.
violet,light,a,a,Rarely
ice,hockey,,,Almost Always
brass,wire,a,a,Rarely
purple,bag,a,a,Sometimes
purple,sock,a,a,Sometimes
country,air,,,Almost always
meatball,dinner,a,a,Often
back,door,a,a,Sometimes
mommy,shoe,a,a,Rarely
round,pond,a,a,Rarely
fax,machine,a,a,Almost Always
wax,paper,a,a,Rarely
daddy,bug,a,a,Never
sweat,pants,,,Sometimes
plastic,cupboard,a,a,Rarely
drawing,board,a,a,Sometimes
red,cup,a,a,Often
baby,toy,a,a,Often
air,plane,a,an,Almost always
dragon,boy,a,a,Never
picnic,food,,,Sometimes
green,worktop,a,a,Rarely
tom,cat,a,a,Often
barn,door,a,a,Rarely.
dirty,clothes,,,Rarely.
sea,food,,,Sometimes
pile,driver,a,a,Never
dirty,basket,a,a,Rarely
plastic,train,a,a,Never
square,net,a,a,Sometimes
fax,phone,a,a,Rarely
music,instrument,an,a,Almost Always
timber,fencing,,,Often
green,color,a,a,Almost always
apple,snack,a,an,Often
chocolate,raisin,a,a,Rarely
goldfish,soup,,,Rarely
flaming,shake,a,a,Rarely
cherry,popsicle,a,a,Often
top,corner,a,a,Rarely
crocodile,dinner,a,a,Never
sweet,violet,a,a,Sometimes
toilet,handle,a,a,Almost always.
karate,kick,a,a,Often
red,panda,a,a,Rarely
bunny,sleeping,,,Rarely
baby,exercise,an,a,Never
purple,trunk,a,a,Rarely
brown,circle,a,a,Rarely
petrol,station,a,a,Almost Always
sweet,hay,,,Rarely
fish,pond,a,a,Often
pop,guns,a,a,Never
caravan,season,a,a,Rarely
kids,dance,a,a,Often
holly,wreath,a,a,Often
thistle,spud,a,a,Never
student,bar,a,a,Sometimes
hot,oven,an,a,Almost always.
clothes,line,a,a,Often
pumpkin,bear,a,a,Never
garden,toolbox,a,a,Rarely
green,line,a,a,Sometimes
back,ride,a,a,Almost Always
cut,tree,a,a,Never
chicken,nugget,a,a,Almost always
dirty,dish,a,a,Rarely.
oval,ball,a,an,Rarely
roof,ventilation,,,Often
cod,oil,,,Never
bat,file,a,a,Rarely
wooden,door,a,a,Often
flat,timber,,,Rarely
plaid,coat,a,a,Sometimes
pop,star,a,a,Sometimes
lilac,jade,,,Rarely
world,cup,a,a,Never
smoke,machine,a,a,Rarely
purple,dolphin,a,a,Never
hot,pickle,a,a,Rarely
pink,star,a,a,Rarely
radio,repair,a,a,Sometimes
purple,pillow,a,a,Sometimes
basketball,hoop,a,a,Almost always
swimming,teacher,a,a,Sometimes
round,field,a,a,Almost Always
taxi,driver,a,a,Sometimes
yellow,squash,a,a,Often
blind,corner,a,a,Rarely.
pink,spider,a,a,Rarely
red,worm,a,a,Often
baby,game,a,a,Rarely.
chief,advisor,an,a,Often
round,table,a,a,Sometimes
star,command,a,a,Almost always
giant,worm,a,a,Rarely
dirty,panty,a,a,Never
chip,pan,a,a,Often
skittle,gum,a,a,Rarely
singing,dog,a,a,Rarely
dirty,slide,a,a,Often
honey,bunny,a,a,Rarely
gift,shop,a,a,Often
house,pig,a,a,Rarely
coral,bed,a,a,Never
puddle,boot,a,a,Rarely
green,bowl,a,a,Sometimes
wash,basin,a,a,Often
tar,pit,a,a,Rarely
orange,cake,a,an,Sometimes
red,meat,,,Often
bronze,sword,a,a,Sometimes
yellow,egg,an,a,Often
circus,car,a,a,Never
wet,rain,,,Almost always
bedroom,bungalow,a,a,Often
pirate,girl,a,a,Rarely
wrist,watch,a,a,Almost always
guy,scream,a,a,Sometimes
snow,clothes,,,Rarely
bottom,edge,an,a,Almost always
pirate,show,a,a,Rarely
purple,card,a,a,Rarely
toy,car,a,a,Never
pink,phone,a,a,Rarely
square,knot,a,a,Almost always
worker,man,a,a,Sometimes
dragon,attack,an,a,Rarely
apple,sauce,,,Often
cataract,operation,an,a,Almost always
plastic,bowl,a,a,Often
panda,bear,a,a,Almost always
green,dinosaur,a,a,Rarely.
dinner,bowl,a,a,Often
leather,coat,a,a,Sometimes
entrance,hall,a,an,Often
fruit,juice,,,Often
ocean,floor,a,an,Never
hot,muffin,a,a,Sometimes
dark,cloud,a,a,Often
vitamin,drop,a,a,Rarely
body,shop,a,a,Often
pig,boil,a,a,Never
garage,door,a,a,Often
paddle,game,a,a,Sometimes
hot,spice,a,a,Often
heart,plate,a,a,Sometimes
brake,light,a,a,Almost always
purple,spider,a,a,Rarely
