adjective,noun,most_common_feature,most_common_feature_rating
train,gate,fence,4
,,,
red,notebook,brown,5
,,,
oak,chest,wooden,4
,,,
navy,skirt,blue,5
,,,
pink,robe,white,5
,,,
thick,eyelash,medium,5
,,,
slide,leg,slide,2
,,,
cellar,door,room,7
,,,
maple,bar,iron,6
,,,
motorway,bridge,foot,5
,,,
cardboard,box,cardboard,5
,,,
freezing,road,normal,5
,,,
orange,tea,lemon,5
,,,
statue,toy,animal,3
,,,
crispy,brown,toasted,5
,,,
web,shooter,web,3
,,,
purple,bed,grey,4
,,,
wastepaper,basket,trash,5
,,,
snow,leopard,african,5
,,,
back,flip,back,5
,,,
purple,cup,clear,5
,,,
peach,juice,apple,4
,,,
sweet,chocolate,sweet,5
,,,
dark,line,dark,4
,,,
brown,egg,white,5
,,,
train,ride,car,5
,,,
red,room,grey,4
,,,
red,coral,white,5
,,,
dirty,tissue,clean,6
,,,
orange,glasses,NA,NA
,,,
orange,tube,toothpaste,4
,,,
explorer,suit,space,4
,,,
glass,table,wooden,6
,,,
colored,paper,white,6
,,,
trash,truck,transport,5
,,,
fuzzy,slipper,fuzzy,5
,,,
bottom,tooth,NA,NA
,,,
girl,bed,NA,NA
,,,
tennis,court,basketball,5
,,,
boxing,glove,ski,5
,,,
hot,mom,cool,5
,,,
feather,mattress,spring,5
,,,
jelly,fish,sea,6
,,,
tonic,water,soda,5
,,,
dirty,bowl,clean,6
,,,
dolphin,family,dolphin,5
,,,
stroller,toy,indoor,5
,,,
green,tail,brown,5
,,,
silver,bell,silver,4
,,,
red,flag,red,5
,,,
tattoo,heart,human,4
,,,
hot,water,cold,5
,,,
baby,penguin,adult,5
,,,
dress,piece,chess,4
,,,
smiley,guy,normal,5
,,,
hot,pepper,hot,6
,,,
farm,tractor,farm,7
,,,
curly,tail,straight,6
,,,
oatmeal,pie,apple,6
,,,
green,jacket,black,5
,,,
back,porch,front,5
,,,
thick,canopy,average,4
,,,
green,vegetable,green,5
,,,
purple,cat,white,5
,,,
dead,mommy,dead,5
,,,
baby,elephant,adult,5
,,,
bottom,lip,NA,NA
,,,
bird,cage,bird,4
,,,
thick,clip,medium,4
,,,
kitty,cat,adult,5
,,,
office,phone,mobile,6
,,,
bottom,row,NA,NA
,,,
brown,spot,brown,5
,,,
sun,lotion,skin,4
,,,
yellow,bill,green,6
,,,
brown,bear,black,5
,,,
garbage,can,garbage,5
,,,
rice,cake,vanilla,5
,,,
dancing,bud,NA,NA
,,,
hot,air,temperate,5
,,,
wooden,puzzle,wooden,5
,,,
piano,piece,chess,4
,,,
yellow,hair,brown,5
,,,
bear,mama,human,6
,,,
pink,eyeball,white,5
,,,
smiley,girl,normal,6
,,,
quarter,cup,empty,5
,,,
cum,store,NA,NA
,,,
marine,tank,army,5
,,,
teacher,day,normal,6
,,,
green,edge,black,5
,,,
paint,can,NA,NA
,,,
night,gown,night,4
,,,
cartoon,ring,real,6
,,,
ski,pants,daily,5
,,,
green,beard,brown,6
,,,
sugar,snack,savory,5
,,,
soup,kitchen,home,4
,,,
queen,crab,king,6
,,,
snow,book,NA,NA
,,,
hot,bowl,cool,5
,,,
turtle,shell,turtle,4
,,,
night,dress,day,5
,,,
snow,dog,NA,NA
,,,
dish,cloth,dish,4
,,,
cylinder,gas,cylinder,4
,,,
baby,stroller,baby,5
,,,
cursive,letter,print,6
,,,
yellow,dragon,red,5
,,,
grape,fruit,grape,5
,,,
red,sweet,red,4
,,,
green,scooter,silver,5
,,,
yellow,duckling,yellow,6
,,,
orange,sticker,white,4
,,,
dirty,crayon,clean,5
,,,
stone,cup,plastic,6
,,,
gold,ticket,paper,6
,,,
girl,hood,boy,5
,,,
giant,shadow,medium,4
,,,
concrete,driveway,concrete,5
,,,
purple,dinosaur,green,5
,,,
cereal,box,cardboard,4
,,,
moon,game,earth,7
,,,
girl,colors,boy,6
,,,
burnt,charcoal,burnt,7
,,,
train,station,train,6
,,,
boy,sock,man,5
,,,
wood,window,glass,6
,,,
green,triceratops,green,5
,,,
thick,model,thin,6
,,,
bottom,stair,NA,NA
,,,
kettle,drum,NA,NA
,,,
baby,bunny,adult,5
,,,
closet,door,room,6
,,,
brown,bread,white,5
,,,
corn,fan,NA,NA
,,,
pink,noodle,brown,5
,,,
purple,bunny,white,5
,,,
chip,cookie,chip,5
,,,
green,airplane,white,4
,,,
corner,house,NA,NA
,,,
bottom,cupboard,top,5
,,,
poison,berry,normal,5
,,,
plastic,bottle,plastic,6
,,,
pink,bubblegum,pink,6
,,,
yellow,pants,brown,5
,,,
cell,phone,cell,5
,,,
yellow,overalls,blue,4
,,,
fruit,sherry,fruit,5
,,,
cellar,key,car,5
,,,
tire,swing,rope,5
,,,
mommy,squirrel,mommy,5
,,,
round,case,rectangle,6
,,,
baby,food,adult,5
,,,
night,armadillo,day,5
,,,
orange,box,brown,6
,,,
back,alley,back,6
,,,
paper,cup,plastic,6
,,,
pound,note,dollar,5
,,,
vegetable,salad,chicken,4
,,,
college,lecturer,college,5
,,,
yellow,submarine,black,6
,,,
bunny,rabbit,adult,5
,,,
water,board,dry,6
,,,
ear,infection,ear,5
,,,
baby,piggy,baby,6
,,,
pecan,cluster,grape,6
,,,
yellow,man,yellow,5
,,,
green,jungle,green,7
,,,
broken,bag,working,6
,,,
nail,polish,nail,5
,,,
dead,fish,dead,4
,,,
pregnant,person,normal,5
,,,
thick,wood,medium,5
,,,
sea,green,sea,2
,,,
carrot,peel,banana,5
,,,
yarn,basket,NA,NA
,,,
walk,path,walk,5
,,,
purple,star,white,6
,,,
eight,piece,chess,3
,,,
bed,sheet,bed,5
,,,
pill,box,match,3
,,,
blackberry,patch,blueberry,5
,,,
fuzzy,teddy,fuzzy,6
,,,
red,color,blue,5
,,,
hind,leg,hind,5
,,,
jungle,gym,exercise,4
,,,
dirty,player,clean,4
,,,
curtain,window,curtain,6
,,,
cigar,smoke,cigarette,5
,,,
baby,boy,young,5
,,,
orange,sweater,brown,4
,,,
fudge,sundae,ice-cream,5
,,,
knitting,basket,gift,5
,,,
water,melon,water,6
,,,
garlic,bread,garlic,5
,,,
pole,light,ceiling,5
,,,
brown,syrup,golden,6
,,,
crispy,patty,uncooked,5
,,,
crescent,moon,NA,NA
,,,
gun,guard,security,6
,,,
bingo,game,card,5
,,,
marble,arch,stone,4
,,,
toy,train,diesel,5
,,,
dead,puppy,dead,4
,,,
red,clay,brown,5
,,,
silky,blanket,cotton,4
,,,
door,valve,pressure,5
,,,
plant,root,plant,6
,,,
mommy,fish,baby,6
,,,
pirate,flag,national,5
,,,
broken,balloon,unbroken,5
,,,
bright,orange,medium,4
,,,
red,scissors,NA,NA
,,,
egg,soup,tomato,4
,,,
fish,aquarium,fish,6
,,,
clothes,basket,laundry,5
,,,
garden,tool,house,5
,,,
sleep,walk,awake,6
,,,
blood,cell,blood,6
,,,
baby,ostrich,baby,4
,,,
dinner,table,picnic,5
,,,
purple,noodle,brown,5
,,,
cast,iron,cast,5
,,,
cry,baby,calm,4
,,,
baby,sheep,adult,5
,,,
green,room,grey,3
,,,
grey,boot,brown,3
,,,
pink,yogurt,white,4
,,,
pirate,movie,action,5
,,,
pink,shoe,black,4
,,,
wooden,hammer,metal,6
,,,
pet,toy,human,5
,,,
frozen,bean,unfrozen,4
,,,
fat,elephant,medium,5
,,,
dogs,biscuit,human,5
,,,
hot,coffee,warm,5
,,,
purple,lipstick,pink,6
,,,
stew,pot,stew,4
,,,
brown,table,brown,5
,,,
jellyfish,family,human,2
,,,
sleeping,bag,transport,5
,,,
hot,piggy,warm,5
,,,
multicolored,sign,white,5
,,,
dog,poop,human,4
,,,
farm,movie,action,5
,,,
green,hat,brown,5
,,,
green,flag,white,4
,,,
navy,coat,black,4
,,,
microwave,lid,box,5
,,,
flat,roof,sloped,6
,,,
green,park,green,6
,,,
red,stair,brown,5
,,,
path,hedge,path,3
,,,
plastic,track,rubber,4
,,,
dirty,banana,dirty,5
,,,
alphabet,block,plain,5
,,,
baby,parrot,adult,5
,,,
train,car,train,4
,,,
purple,snail,grey,5
,,,
green,zebra,white,4
,,,
horse,manure,cattle,5
,,,
yellow,cake,white,4
,,,
music,book,thriller,3
,,,
carrot,cake,chocolate,4
,,,
rolling,pin,bowling,5
,,,
yellow,top,NA,NA
,,,
giant,frog,medium,4
,,,
wooden,stick,wooden,7
,,,
dark,flower,light,6
,,,
home,county,new,6
,,,
green,book,brown,5
,,,
dirty,cave,dirty,6
,,,
pink,skirt,white,4
,,,
fat,mama,medium,5
,,,
green,dog,brown,4
,,,
cookie,bake,cookie,4
,,,
alphabet,puzzle,NA,NA
,,,
garden,shed,tool,4
,,,
night,crawler,night,5
,,,
orange,pop,cherry,4
,,,
pop,corn,unpopped,4
,,,
ox,tail,NA,NA
,,,
pound,hammer,bang,5
,,,
heart,attack,heart,6
,,,
brown,shoe,brown,4
,,,
jaw,bone,skull,7
,,,
red,lobster,red,5
,,,
cracker,box,cereal,4
,,,
green,thumb,tan,4
,,,
wig,hair,wig,5
,,,
caramel,sauce,chocolate,4
,,,
curly,head,normal,5
,,,
wet,grandpa,dry,6
,,,
slope,test,NA,NA
,,,
baby,panda,adult,5
,,,
gas,fire,wood,5
,,,
boy,tooth,NA,NA
,,,
yellow,handle,grey,3
,,,
marble,roll,NA,NA
,,,
twin,deck,single,5
,,,
potty,sticker,NA,NA
,,,
orange,plant,banana,3
,,,
coffee,machine,ice,3
,,,
jelly,container,butter,4
,,,
round,pumpkin,round,7
,,,
body,puppet,finger,5
,,,
daddy,waffle,NA,NA
,,,
giant,dump,medium,4
,,,
lobster,hat,dog,3
,,,
outside,world,outside,6
,,,
yellow,chicken,tan,5
,,,
bean,ball,rice,4
,,,
red,ice,blue,4
,,,
farm,shop,grocery,4
,,,
garlic,salt,sea,5
,,,
pink,honey,golden,5
,,,
weenie,firefly,NA,NA
,,,
fat,tummy,medium,4
,,,
cloud,smoke,cloud,6
,,,
car,boot,car,5
,,,
phone,line,phone,3
,,,
art,advisor,science,4
,,,
top,molar,NA,NA
,,,
wrapping,paper,wrapping,3
,,,
road,sign,road,4
,,,
hand,drive,foot,5
,,,
bloody,nose,clean,6
,,,
baby,bottle,adult,5
,,,
yellow,lip,red,6
,,,
pink,shorts,black,5
,,,
fire,alarm,fire,5
,,,
north,pole,NA,NA
,,,
dog,mama,human,5
,,,
wiggle,dancing,line,5
,,,
examination,board,examination,4
,,,
bull,ant,house,5
,,,
brown,cap,white,5
,,,
kid,ride,adult,5
,,,
yellow,ball,black,2
,,,
man,book,NA,NA
,,,
door,bell,door,3
,,,
dart,board,chess,3
,,,
puppet,baby,human,7
,,,
dinner,break,lunch,5
,,,
granite,horse,flesh,7
,,,
chest,plate,plastic,4
,,,
record,case,phone,3
,,,
whale,hat,sun,5
,,,
mommy,daddy,NA,NA
,,,
dinosaur,skull,human,3
,,,
tree,farm,rice,3
,,,
orange,kitty,gray,4
,,,
clown,nose,human,5
,,,
potty,break,bathroom,6
,,,
bread,basket,bread,3
,,,
giraffe,leg,human,3
,,,
fat,squirrel,medium,5
,,,
fish,guts,human,3
,,,
bubble,soap,bubble,5
,,,
fuzzy,creature,unfuzzy,4
,,,
basket,ball,base,5
,,,
red,wagon,red,4
,,,
matchbox,car,normal,6
,,,
jungle,ride,NA,NA
,,,
quiz,game,board,3
,,,
colored,green,NA,NA
,,,
gold,ring,silver,5
,,,
paint,drip,water,5
,,,
wet,slab,dry,6
,,,
green,blanket,white,4
,,,
oil,filter,water,3
,,,
tan,car,black,4
,,,
green,grasshopper,green,6
,,,
bowling,ball,soccer,4
,,,
hot,tap,moderate,5
,,,
onion,ring,onion,6
,,,
petrol,account,bank,5
,,,
thistle,patch,NA,NA
,,,
dirty,mommy,clean,6
,,,
bright,picture,medium,5
,,,
picture,book,word,6
,,,
step,stool,NA,NA
,,,
tree,branch,tree,6
,,,
apple,cookie,plain,4
,,,
bar,staff,factory,3
,,,
rock,crowd,human,6
,,,
dirty,bottom,dirty,5
,,,
bug,lift,NA,NA
,,,
onion,gravy,brown,5
,,,
skirt,stain,shirt,5
,,,
green,grape,green,4
,,,
night,sky,night,4
,,,
solid,feed,solid,5
,,,
sky,diving,water,6
,,,
pirate,hat,sun,5
,,,
giant,pillow,medium,5
,,,
green,side,NA,NA
,,,
green,shirt,gray,5
,,,
pink,mirror,reflective,7
,,,
red,ear,tan,5
,,,
blowing,bubble,blowed,4
,,,
grey,coat,black,5
,,,
giant,octopus,medium,4
,,,
dwarf,tree,normal,5
,,,
slippery,balloon,friction,5
,,,
baby,pumpkin,adult,5
,,,
jelly,sandwich,meat,5
,,,
octopus,video,human,6
,,,
hill,track,flat,7
,,,
fuzzy,pants,unfuzzy,5
,,,
spider,web,spider,6
,,,
pony,ride,horse,4
,,,
card,table,kitchen,4
,,,
giant,bean,normal,4
,,,
song,book,story,5
,,,
art,school,elementary,5
,,,
head,office,normal,5
,,,
tire,mold,NA,NA
,,,
bear,sleeping,human,3
,,,
ice,cube,ice,3
,,,
dead,fly,alive,4
,,,
dog,sticker,human,5
,,,
food,coloring,food,5
,,,
apple,farm,wheat,3
,,,
bedroom,bathroom,NA,NA
,,,
sweet,drink,nonsweet,5
,,,
hot,egg,temperate,6
,,,
beach,token,NA,NA
,,,
brown,basket,brown,5
,,,
candy,corn,plant,6
,,,
library,book,store,5
,,,
train,track,train,6
,,,
orange,wall,white,5
,,,
nylon,shirt,cotton,4
,,,
purple,pepperoni,red,6
,,,
muscle,tissue,connective,5
,,,
outside,line,inside,6
,,,
blind,mouse,sighted,6
,,,
coral,piece,NA,NA
,,,
key,board,circuit,5
,,,
water,filter,water,4
,,,
root,beer,alcoholic,6
,,,
turkey,chip,potato,5
,,,
grocery,store,grocery,4
,,,
back,seat,middle,4
,,,
lemon,skin,apple,3
,,,
fly,ball,foul,3
,,,
purple,baby,tan,3
,,,
plastic,piece,plastic,4
,,,
elephant,parade,human,6
,,,
purple,collar,blue,5
,,,
brown,shirt,black,4
,,,
outside,lane,outside,5
,,,
elephant,ear,human,3
,,,
paper,plate,plastic,3
,,,
solar,shop,NA,NA
,,,
coat,hanger,coat,5
,,,
comb,brooch,NA,NA
,,,
lighter,purple,medium,4
,,,
metal,plate,plastic,4
,,,
country,mansion,suburban,5
,,,
dolly,house,human,6
,,,
elephant,fly,house,3
,,,
green,bird,black,4
,,,
red,squirrel,brown,6
,,,
candy,cane,wooden,5
,,,
fat,man,medium,4
,,,
sewing,machine,factory,6
,,,
tobacco,tin,NA,NA
,,,
fuzzy,hair,straight,4
,,,
green,man,tan,5
,,,
green,ear,tan,5
,,,
ground,floor,ground,6
,,,
red,dress,red,3
,,,
stair,carpet,floor,4
,,,
chicken,wing,chicken,5
,,,
dancing,shoe,tennis,4
,,,
yellow,helicopter,black,5
,,,
wet,ball,dry,4
,,,
pink,oval,NA,NA
,,,
mommy,lion,NA,NA
,,,
green,guy,NA,NA
,,,
bank,note,bank,3
,,,
mulberry,tree,maple,2
,,,
orange,corner,NA,NA
,,,
dog,person,human,7
,,,
furry,tail,furry,5
,,,
dead,one,NA,NA
,,,
red,crayon,NA,NA
,,,
bright,shirt,medium,4
,,,
dark,eye,dark,5
,,,
fish,puzzle,human,6
,,,
hot,shit,cold,6
,,,
green,crayon,NA,NA
,,,
circus,train,freight,5
,,,
loaf,pan,frying,5
,,,
brown,hill,green,5
,,,
blond,boy,brunette,5
,,,
stone,letter,written,5
,,,
dirty,basement,dirty,4
,,,
burnt,cookie,baked,4
,,,
star,sticker,NA,NA
,,,
bedroom,house,bedroom,3
,,,
cloth,mum,NA,NA
,,,
pea,pod,peas,7
,,,
cargo,car,passenger,5
,,,
clothes,furnishing,NA,NA
,,,
dish,washer,clothes,4
,,,
cut,apple,uncut,6
,,,
tape,measure,NA,NA
,,,
red,bin,gray,5
,,,
yellow,skull,white,7
,,,
thick,piece,medium,4
,,,
potato,pie,apple,3
,,,
explorer,guy,normal,5
,,,
red,coat,black,4
,,,
plastic,toy,plastic,5
,,,
quarry,tile,NA,NA
,,,
puppet,stage,theater,5
,,,
thick,mud,medium,4
,,,
table,cloth,NA,NA
,,,
baby,blanket,adult,6
,,,
square,face,round,6
,,,
fruit,machine,NA,NA
,,,
smooch,dance,NA,NA
,,,
outside,house,outside,7
,,,
hair,cap,NA,NA
,,,
purple,dog,brown,4
,,,
tooth,fairy,tooth,5
,,,
wet,pants,dry,6
,,,
flat,side,round,5
,,,
green,lawn,green,5
,,,
salty,egg,unsalted,6
,,,
peach,material,NA,NA
,,,
thick,loaf,medium,5
,,,
fat,lady,medium,5
,,,
letter,puzzle,jigsaw,4
,,,
chocolate,chip,potato,5
,,,
pink,tongue,pink,7
,,,
red,nose,tan,3
,,,
green,ball,black,3
,,,
hot,tub,cold,5
,,,
gingerbread,recipe,cookie,3
,,,
drawing,table,kitchen,4
,,,
red,marker,black,3
,,,
gas,pipe,water,3
,,,
giant,present,medium,4
,,,
dark,forest,medium,3
,,,
purple,block,NA,NA
,,,
orange,suit,black,5
,,,
yellow,guitar,brown,6
,,,
shoe,room,clothes,4
,,,
grey,suite,gold,3
,,,
chocolate,eclair,chocolate,6
,,,
stamp,pad,NA,NA
,,,
bagel,dog,NA,NA
,,,
tree,frog,ground,5
,,,
sugar,bowl,empty,5
,,,
moist,soil,dry,5
,,,
kitchen,floor,house,5
,,,
jelly,doughnut,plain,4
,,,
hot,bath,warm,4
,,,
pink,square,NA,NA
,,,
hot,fry,frozen,5
,,,
color,sand,NA,NA
,,,
rock,music,pop,3
,,,
flower,stem,flower,5
,,,
yellow,ring,silver,3
,,,
north,king,NA,NA
,,,
baby,room,adult,5
,,,
pirate,sword,soldier,6
,,,
pencil,sharpener,pencil,3
,,,
oval,face,oval,6
,,,
door,grill,NA,NA
,,,
navy,shorts,gray,3
,,,
children,adult,NA,NA
,,,
building,downtown,NA,NA
,,,
town,dump,town,5
,,,
yellow,barrel,brown,6
,,,
stall,light,house,4
,,,
elephant,ride,horse,6
,,,
pink,rake,gray,4
,,,
sheet,side,NA,NA
,,,
breast,lump,NA,NA
,,,
red,house,white,2
,,,
bottom,piece,NA,NA
,,,
tooth,paste,tooth,3
,,,
carpet,shampoo,hair,5
,,,
grease,mark,NA,NA
,,,
orange,frosting,white,5
,,,
camera,eye,human,4
,,,
hot,lava,hot,6
,,,
butterfly,catcher,ant,5
,,,
metal,bath,ceramic,5
,,,
rubber,band,rubber,4
,,,
leaf,cake,NA,NA
,,,
green,bug,black,3
,,,
green,airship,white,4
,,,
green,ring,silver,3
,,,
wooden,board,wooden,6
,,,
lacing,piece,NA,NA
,,,
rabbit,hole,ant,4
,,,
broken,ride,working,5
,,,
purple,raindrop,clear,5
,,,
hot,tray,cool,5
,,,
letter,block,plain,6
,,,
plastic,ball,rubber,4
,,,
fly,swatter,fly,5
,,,
toy,lizard,NA,NA
,,,
daddy,crown,NA,NA
,,,
green,marble,white,5
,,,
wet,kiss,wet,6
,,,
lunch,box,lunch,6
,,,
sweet,tooth,sweet,6
,,,
bottom,bunk,NA,NA
,,,
dinosaur,foot,human,3
,,,
elephant,trunk,NA,NA
,,,
pink,kitty,white,5
,,,
apple,butter,peanut,6
,,,
green,flower,red,3
,,,
bed,room,bed,3
,,,
building,block,plain,4
,,,
ball,tent,NA,NA
,,,
daddy,hand,NA,NA
,,,
street,lighting,house,4
,,,
yellow,stripe,NA,NA
,,,
pink,chair,brown,5
,,,
grocery,cart,grocery,4
,,,
gingerbread,man,human,6
,,,
food,container,NA,NA
,,,
flower,pants,NA,NA
,,,
wheat,flour,wheat,5
,,,
brown,penny,brown,6
,,,
purple,animal,NA,NA
,,,
flower,tree,leaf,6
,,,
lemon,juice,orange,5
,,,
yellow,room,white,4
,,,
daddy,hippo,NA,NA
,,,
road,license,road,4
,,,
juice,drop,water,6
,,,
washing,line,NA,NA
,,,
purple,present,NA,NA
,,,
girl,mommy,girl,7
,,,
hair,dryer,clothes,5
,,,
mommy,goat,NA,NA
,,,
sweet,tasting,normal,5
,,,
red,controller,NA,NA
,,,
juicy,pear,unripe,5
,,,
brown,cow,white,5
,,,
garden,chair,indoor,5
,,,
broken,toenail,unbroken,6
,,,
saucepan,spoon,kitchen,5
,,,
animal,fat,animal,5
,,,
page,moderator,NA,NA
,,,
icecream,maker,NA,NA
,,,
snow,seal,sea,7
,,,
paper,model,plastic,5
,,,
king,man,citizen,6
,,,
monkey,bar,human,6
,,,
curly,string,straight,5
,,,
bubble,wand,bubble,4
,,,
pink,color,NA,NA
,,,
purple,diamond,clear,5
,,,
tightrope,walker,park,5
,,,
attic,room,bed,3
,,,
red,flower,red,3
,,,
thick,hair,average,4
,,,
burnt,toast,unburnt,5
,,,
red,heart,red,7
,,,
color,marker,color,7
,,,
screen,door,wooden,5
,,,
baby,piglet,baby,5
,,,
popsicle,stick,tree,6
,,,
pet,store,grocery,5
,,,
hotel,breakfast,home,6
,,,
light,saber,metal,5
,,,
world,sea,NA,NA
,,,
violet,light,white,4
,,,
ice,hockey,ice,5
,,,
brass,wire,fiber-optic,6
,,,
purple,bag,brown,3
,,,
purple,sock,white,5
,,,
country,air,country,6
,,,
meatball,dinner,NA,NA
,,,
back,door,front,3
,,,
mommy,shoe,NA,NA
,,,
round,pond,round,6
,,,
fax,machine,printer,5
,,,
wax,paper,parchment,3
,,,
daddy,bug,NA,NA
,,,
sweat,pants,normal,5
,,,
plastic,cupboard,wooden,6
,,,
drawing,board,NA,NA
,,,
red,cup,clear,3
,,,
baby,toy,kid,5
,,,
air,plane,air,6
,,,
dragon,boy,human,7
,,,
picnic,food,dinner,4
,,,
green,worktop,brown,3
,,,
tom,cat,NA,NA
,,,
barn,door,house,5
,,,
dirty,clothes,clean,5
,,,
sea,food,land,5
,,,
pile,driver,NA,NA
,,,
dirty,basket,clean,6
,,,
plastic,train,metal,6
,,,
square,net,round,5
,,,
fax,phone,cell,5
,,,
music,instrument,music,5
,,,
timber,fencing,wood,6
,,,
green,color,NA,NA
,,,
apple,snack,banana,3
,,,
chocolate,raisin,plain,6
,,,
goldfish,soup,NA,NA
,,,
flaming,shake,NA,NA
,,,
cherry,popsicle,cherry,5
,,,
top,corner,NA,NA
,,,
crocodile,dinner,human,3
,,,
sweet,violet,NA,NA
,,,
toilet,handle,door,4
,,,
karate,kick,exercise,4
,,,
red,panda,NA,NA
,,,
bunny,sleeping,human,3
,,,
baby,exercise,adult,6
,,,
purple,trunk,gray,5
,,,
brown,circle,NA,NA
,,,
petrol,station,gas,4
,,,
sweet,hay,stale,5
,,,
fish,pond,empty,5
,,,
pop,guns,bullet,5
,,,
caravan,season,NA,NA
,,,
kids,dance,adults,4
,,,
holly,wreath,evergreen,5
,,,
thistle,spud,potato,7
,,,
student,bar,adult,5
,,,
hot,oven,cold,6
,,,
clothes,line,clothes,3
,,,
pumpkin,bear,NA,NA
,,,
garden,toolbox,house,5
,,,
green,line,NA,NA
,,,
back,ride,front,3
,,,
cut,tree,uncut,6
,,,
chicken,nugget,chicken,5
,,,
dirty,dish,clean,5
,,,
oval,ball,round,6
,,,
roof,ventilation,wall,4
,,,
cod,oil,salmon,3
,,,
bat,file,NA,NA
,,,
wooden,door,wooden,5
,,,
flat,timber,flat,6
,,,
plaid,coat,plain,5
,,,
pop,star,NA,NA
,,,
lilac,jade,NA,NA
,,,
world,cup,regional,5
,,,
smoke,machine,factory,5
,,,
purple,dolphin,gray,6
,,,
hot,pickle,cold,6
,,,
pink,star,white,6
,,,
radio,repair,phone,5
,,,
purple,pillow,white,5
,,,
basketball,hoop,basketball,3
,,,
swimming,teacher,school,6
,,,
round,field,square,5
,,,
taxi,driver,personal,6
,,,
yellow,squash,orange,4
,,,
blind,corner,sighted,5
,,,
pink,spider,black,5
,,,
red,worm,tan,4
,,,
baby,game,adult,6
,,,
chief,advisor,junior,5
,,,
round,table,rectangular,4
,,,
