adjective,noun,article,adj_article,llama_instruct_judgment
explorer,suit,a,an,rarely
glass,table,a,a,rarely
colored,paper,a,a,sometimes
trash,truck,a,a,rarely
fuzzy,slipper,a,a,almost always
bottom,tooth,a,a,almost always
girl,bed,a,a,about half the time
tennis,court,a,a,sometimes
boxing,glove,a,a,sometimes
hot,mom,a,a,rarely
feather,mattress,a,a,almost always
jelly,fish,a,a,rarely
tonic,water,,,never
dirty,bowl,a,a,often
dolphin,family,a,a,rarely
stroller,toy,a,a,often
green,tail,a,a,rarely
silver,bell,a,a,often
red,flag,a,a,rarely
tattoo,heart,a,a,almost always
hot,water,,,sometimes
baby,penguin,a,a,often
dress,piece,a,a,often
smiley,guy,a,a,often
hot,pepper,a,a,sometimes
farm,tractor,a,a,often
curly,tail,a,a,about half the time
oatmeal,pie,a,an,rarely
green,jacket,a,a,almost always
back,porch,a,a,almost always
thick,canopy,a,a,often
green,vegetable,a,a,often
purple,cat,a,a,never
dead,mommy,a,a,never
baby,elephant,an,a,sometimes
bottom,lip,a,a,almost always
bird,cage,a,a,almost always
thick,clip,a,a,almost always
kitty,cat,a,a,almost always
office,phone,a,an,never
bottom,row,a,a,often
brown,spot,a,a,about half the time
sun,lotion,,,sometimes
yellow,bill,a,a,often
brown,bear,a,a,about half the time
garbage,can,a,a,rarely
rice,cake,a,a,sometimes
dancing,bud,a,a,never
hot,air,,,often
wooden,puzzle,a,a,sometimes
piano,piece,a,a,almost always
yellow,hair,,,almost always
bear,mama,a,a,almost always
pink,eyeball,an,a,never
smiley,girl,a,a,sometimes
quarter,cup,a,a,rarely
cum,store,a,a,never
marine,tank,a,a,rarely
teacher,day,a,a,always
green,edge,an,a,about half the time
paint,can,a,a,sometimes
night,gown,a,a,almost always
cartoon,ring,a,a,never
ski,pants,,,rarely
green,beard,a,a,never
sugar,snack,a,a,often
soup,kitchen,a,a,rarely
queen,crab,a,a,rarely
snow,book,a,a,rarely
hot,bowl,a,a,never
turtle,shell,a,a,often
night,dress,a,a,often
snow,dog,a,a,rarely
dish,cloth,a,a,almost always
cylinder,gas,,,often
baby,stroller,a,a,always
cursive,letter,a,a,rarely
yellow,dragon,a,a,never
grape,fruit,a,a,almost always
red,sweet,a,a,often
green,scooter,a,a,sometimes
yellow,duckling,a,a,almost always
orange,sticker,a,an,rarely
dirty,crayon,a,a,rarely
stone,cup,a,a,rarely
gold,ticket,a,a,rarely
girl,hood,a,a,never
giant,shadow,a,a,almost always
concrete,driveway,a,a,about half the time
purple,dinosaur,a,a,rarely
cereal,box,a,a,about half the time
moon,game,a,a,never
girl,colors,a,a,about half the time
burnt,charcoal,,,always
train,station,a,a,almost always
boy,sock,a,a,rarely
wood,window,a,a,often
green,triceratops,a,a,almost always
thick,model,a,a,sometimes
bottom,stair,a,a,almost always
kettle,drum,a,a,rarely
baby,bunny,a,a,almost always
closet,door,a,a,often
brown,bread,,,almost always
corn,fan,a,a,almost always
pink,noodle,a,a,rarely
purple,bunny,a,a,never
chip,cookie,a,a,often
green,airplane,an,a,rarely
corner,house,a,a,sometimes
bottom,cupboard,a,a,almost always
poison,berry,a,a,about half the time
plastic,bottle,a,a,almost always
pink,bubblegum,,,about half the time
yellow,pants,,,rarely
cell,phone,a,a,always
yellow,overalls,,,rarely
fruit,sherry,,,rarely
cellar,key,a,a,rarely
tire,swing,a,a,often
mommy,squirrel,a,a,almost always
round,case,a,a,almost always
baby,food,,,sometimes
night,armadillo,an,a,often
orange,box,a,an,rarely
back,alley,an,a,almost always
paper,cup,a,a,rarely
pound,note,a,a,often
vegetable,salad,a,a,often
college,lecturer,a,a,always
yellow,submarine,a,a,almost always
bunny,rabbit,a,a,almost always
water,board,a,a,rarely
ear,infection,an,an,often
baby,piggy,a,a,always
pecan,cluster,a,a,never
yellow,man,a,a,rarely
green,jungle,a,a,almost always
broken,bag,a,a,about half the time
nail,polish,,,always
dead,fish,a,a,sometimes
pregnant,person,a,a,always
thick,wood,,,always
sea,green,,,about half the time
carrot,peel,a,a,almost always
yarn,basket,a,a,rarely
walk,path,a,a,often
purple,star,a,a,rarely
eight,piece,a,an,often
bed,sheet,a,a,almost always
pill,box,a,a,sometimes
blackberry,patch,a,a,almost always
fuzzy,teddy,a,a,always
red,color,a,a,always
hind,leg,a,a,often
jungle,gym,a,a,always
dirty,player,a,a,rarely
curtain,window,a,a,rarely
cigar,smoke,,,often
baby,boy,a,a,always
orange,sweater,a,an,rarely
fudge,sundae,a,a,sometimes
knitting,basket,a,a,almost always
water,melon,a,a,about half the time
garlic,bread,,,rarely
pole,light,a,a,often
brown,syrup,,,almost always
crispy,patty,a,a,never
crescent,moon,a,a,sometimes
gun,guard,a,a,sometimes
bingo,game,a,a,rarely
marble,arch,an,a,rarely
toy,train,a,a,often
dead,puppy,a,a,never
red,clay,,,often
silky,blanket,a,a,rarely
door,valve,a,a,never
plant,root,a,a,always
mommy,fish,a,a,never
pirate,flag,a,a,rarely
broken,balloon,a,a,never
bright,orange,an,a,almost always
red,scissors,,,rarely
egg,soup,,,rarely
fish,aquarium,an,a,almost always
clothes,basket,a,a,often
garden,tool,a,a,often
sleep,walk,a,a,never
blood,cell,a,a,almost always
baby,ostrich,an,a,often
dinner,table,a,a,sometimes
purple,noodle,a,a,rarely
cast,iron,an,a,almost always
cry,baby,a,a,often
baby,sheep,a,a,never
green,room,a,a,never
grey,boot,a,a,often
pink,yogurt,,,rarely
pirate,movie,a,a,rarely
pink,shoe,a,a,rarely
wooden,hammer,a,a,never
pet,toy,a,a,often
frozen,bean,a,a,never
fat,elephant,an,a,often
dogs,biscuit,a,a,rarely
hot,coffee,,,almost always
purple,lipstick,,,rarely
stew,pot,a,a,often
brown,table,a,a,sometimes
jellyfish,family,a,a,never
sleeping,bag,a,a,rarely
hot,piggy,a,a,sometimes
multicolored,sign,a,a,often
dog,poop,,,almost always
farm,movie,a,a,rarely
green,hat,a,a,rarely
green,flag,a,a,sometimes
navy,coat,a,a,sometimes
microwave,lid,a,a,rarely
flat,roof,a,a,rarely
green,park,a,a,almost always
red,stair,a,a,rarely
path,hedge,a,a,often
plastic,track,a,a,never
dirty,banana,a,a,sometimes
alphabet,block,a,an,often
baby,parrot,a,a,almost always
train,car,a,a,never
purple,snail,a,a,rarely
green,zebra,a,a,never
horse,manure,,,often
yellow,cake,a,a,often
music,book,a,a,rarely
carrot,cake,a,a,sometimes
rolling,pin,a,a,rarely
yellow,top,a,a,rarely
giant,frog,a,a,rarely
wooden,stick,a,a,almost always
dark,flower,a,a,rarely
home,county,a,a,never
green,book,a,a,about half the time
dirty,cave,a,a,almost always
pink,skirt,a,a,sometimes
fat,mama,a,a,sometimes
green,dog,a,a,rarely
cookie,bake,a,a,often
alphabet,puzzle,a,an,sometimes
garden,shed,a,a,always
night,crawler,a,a,often
orange,pop,a,an,rarely
pop,corn,a,a,sometimes
ox,tail,a,an,rarely
pound,hammer,a,a,rarely
heart,attack,an,a,often
brown,shoe,a,a,almost always
jaw,bone,a,a,rarely
red,lobster,a,a,always
cracker,box,a,a,almost always
green,thumb,a,a,always
wig,hair,,,often
caramel,sauce,,,rarely
curly,head,a,a,almost always
wet,grandpa,a,a,rarely
slope,test,a,a,almost always
baby,panda,a,a,almost always
gas,fire,,,rarely
boy,tooth,a,a,never
yellow,handle,a,a,rarely
marble,roll,a,a,always
twin,deck,a,a,almost always
potty,sticker,a,a,rarely
orange,plant,a,an,almost always
coffee,machine,a,a,sometimes
jelly,container,a,a,often
round,pumpkin,a,a,often
body,puppet,a,a,often
daddy,waffle,a,a,never
giant,dump,a,a,often
lobster,hat,a,a,rarely
outside,world,a,an,often
yellow,chicken,a,a,rarely
bean,ball,a,a,never
red,ice,,,rarely
farm,shop,a,a,rarely
garlic,salt,,,rarely
pink,honey,,,rarely
weenie,firefly,a,a,rarely
fat,tummy,a,a,often
cloud,smoke,,,never
car,boot,a,a,almost always
phone,line,a,a,often
art,advisor,an,an,almost always
top,molar,a,a,rarely
wrapping,paper,a,a,often
road,sign,a,a,often
hand,drive,a,a,rarely
bloody,nose,a,a,rarely
baby,bottle,a,a,often
yellow,lip,a,a,never
pink,shorts,,,sometimes
fire,alarm,an,a,often
north,pole,a,a,almost always
dog,mama,a,a,often
wiggle,dancing,,,sometimes
examination,board,a,an,often
bull,ant,an,a,rarely
brown,cap,a,a,often
kid,ride,a,a,often
yellow,ball,a,a,sometimes
man,book,a,a,rarely
door,bell,a,a,almost always
dart,board,a,a,often
puppet,baby,a,a,rarely
dinner,break,a,a,often
granite,horse,a,a,always
chest,plate,a,a,rarely
record,case,a,a,often
whale,hat,a,a,never
mommy,daddy,a,a,never
dinosaur,skull,a,a,never
tree,farm,a,a,sometimes
orange,kitty,a,an,sometimes
clown,nose,a,a,almost always
potty,break,a,a,often
bread,basket,a,a,often
giraffe,leg,a,a,sometimes
fat,squirrel,a,a,often
fish,guts,,,often
bubble,soap,,,often
fuzzy,creature,a,a,often
basket,ball,a,a,almost always
red,wagon,a,a,sometimes
matchbox,car,a,a,never
jungle,ride,a,a,sometimes
quiz,game,a,a,rarely
colored,green,,,always
gold,ring,a,a,often
paint,drip,a,a,often
wet,slab,a,a,often
green,blanket,a,a,sometimes
oil,filter,a,an,often
tan,car,a,a,rarely
green,grasshopper,a,a,almost always
bowling,ball,a,a,often
hot,tap,a,a,sometimes
onion,ring,a,an,almost always
petrol,account,an,a,rarely
thistle,patch,a,a,rarely
dirty,mommy,a,a,never
bright,picture,a,a,often
picture,book,a,a,rarely
step,stool,a,a,often
tree,branch,a,a,almost always
apple,cookie,a,an,rarely
bar,staff,,,almost always
rock,crowd,a,a,always
dirty,bottom,a,a,almost always
bug,lift,a,a,rarely
onion,gravy,,,rarely
skirt,stain,a,a,rarely
green,grape,a,a,almost always
night,sky,a,a,almost always
solid,feed,,,about half the time
sky,diving,,,never
pirate,hat,a,a,never
giant,pillow,a,a,never
green,side,a,a,never
green,shirt,a,a,sometimes
pink,mirror,a,a,rarely
red,ear,an,a,almost always
blowing,bubble,a,a,almost always
grey,coat,a,a,often
giant,octopus,an,a,never
dwarf,tree,a,a,rarely
slippery,balloon,a,a,about half the time
baby,pumpkin,a,a,sometimes
jelly,sandwich,a,a,often
octopus,video,a,an,rarely
hill,track,a,a,sometimes
fuzzy,pants,,,almost always
spider,web,a,a,almost always
pony,ride,a,a,often
card,table,a,a,often
giant,bean,a,a,rarely
song,book,a,a,almost always
art,school,a,an,rarely
head,office,an,a,almost always
tire,mold,a,a,always
bear,sleeping,,,almost always
ice,cube,a,an,sometimes
dead,fly,a,a,rarely
dog,sticker,a,a,rarely
food,coloring,,,sometimes
apple,farm,a,an,about half the time
bedroom,bathroom,a,a,often
sweet,drink,a,a,often
hot,egg,an,a,rarely
beach,token,a,a,rarely
brown,basket,a,a,often
candy,corn,a,a,sometimes
library,book,a,a,almost always
train,track,a,a,always
orange,wall,a,an,often
nylon,shirt,a,a,rarely
purple,pepperoni,,,never
muscle,tissue,a,a,rarely
outside,line,a,an,almost always
blind,mouse,a,a,often
coral,piece,a,a,never
key,board,a,a,almost always
water,filter,a,a,often
root,beer,a,a,often
turkey,chip,a,a,never
grocery,store,a,a,almost always
back,seat,a,a,often
lemon,skin,,,rarely
fly,ball,a,a,sometimes
purple,baby,a,a,rarely
plastic,piece,a,a,always
elephant,parade,a,an,almost always
purple,collar,a,a,rarely
brown,shirt,a,a,about half the time
outside,lane,a,an,almost always
elephant,ear,an,an,never
paper,plate,a,a,almost always
solar,shop,a,a,rarely
coat,hanger,a,a,almost always
comb,brooch,a,a,rarely
lighter,purple,,,about half the time
metal,plate,a,a,never
country,mansion,a,a,sometimes
dolly,house,a,a,never
elephant,fly,a,an,never
green,bird,a,a,sometimes
red,squirrel,a,a,sometimes
candy,cane,a,a,often
fat,man,a,a,never
sewing,machine,a,a,sometimes
tobacco,tin,a,a,almost always
fuzzy,hair,,,almost always
green,man,a,a,never
green,ear,an,a,rarely
ground,floor,a,a,often
red,dress,a,a,sometimes
stair,carpet,a,a,about half the time
chicken,wing,a,a,always
dancing,shoe,a,a,sometimes
yellow,helicopter,a,a,often
wet,ball,a,a,rarely
pink,oval,an,a,rarely
mommy,lion,a,a,sometimes
green,guy,a,a,always
bank,note,a,a,always
mulberry,tree,a,a,rarely
orange,corner,a,an,never
dog,person,a,a,about half the time
furry,tail,a,a,often
dead,one,a,a,often
red,crayon,a,a,sometimes
bright,shirt,a,a,often
dark,eye,an,a,almost always
fish,puzzle,a,a,rarely
hot,shit,,,always
green,crayon,a,a,sometimes
circus,train,a,a,rarely
loaf,pan,a,a,often
brown,hill,a,a,about half the time
blond,boy,a,a,often
stone,letter,a,a,never
dirty,basement,a,a,often
burnt,cookie,a,a,sometimes
star,sticker,a,a,often
bedroom,house,a,a,almost always
cloth,mum,a,a,always
pea,pod,a,a,almost always
cargo,car,a,a,rarely
clothes,furnishing,,,sometimes
dish,washer,a,a,never
cut,apple,an,a,rarely
tape,measure,a,a,always
red,bin,a,a,almost always
yellow,skull,a,a,rarely
thick,piece,a,a,often
potato,pie,a,a,rarely
explorer,guy,a,an,rarely
red,coat,a,a,almost always
plastic,toy,a,a,often
quarry,tile,a,a,almost always
puppet,stage,a,a,often
thick,mud,,,almost always
table,cloth,a,a,often
baby,blanket,a,a,sometimes
square,face,a,a,never
fruit,machine,a,a,rarely
smooch,dance,a,a,rarely
outside,house,a,an,almost always
hair,cap,a,a,about half the time
purple,dog,a,a,never
tooth,fairy,a,a,often
wet,pants,,,rarely
flat,side,a,a,almost always
green,lawn,a,a,almost always
salty,egg,an,a,rarely
peach,material,a,a,almost always
thick,loaf,a,a,often
fat,lady,a,a,about half the time
letter,puzzle,a,a,often
chocolate,chip,a,a,almost always
pink,tongue,a,a,almost always
red,nose,a,a,often
green,ball,a,a,sometimes
hot,tub,a,a,rarely
gingerbread,recipe,a,a,rarely
drawing,table,a,a,almost always
red,marker,a,a,sometimes
gas,pipe,a,a,sometimes
giant,present,a,a,rarely
dark,forest,a,a,almost always
purple,block,a,a,almost always
orange,suit,a,an,rarely
yellow,guitar,a,a,rarely
shoe,room,a,a,rarely
grey,suite,a,a,sometimes
chocolate,eclair,an,a,often
stamp,pad,a,a,often
bagel,dog,a,a,never
tree,frog,a,a,almost always
sugar,bowl,a,a,sometimes
moist,soil,,,almost always
kitchen,floor,a,a,often
jelly,doughnut,a,a,sometimes
hot,bath,a,a,often
pink,square,a,a,rarely
hot,fry,a,a,often
color,sand,,,almost always
rock,music,,,sometimes
flower,stem,a,a,almost always
yellow,ring,a,a,often
north,king,a,a,rarely
baby,room,a,a,sometimes
pirate,sword,a,a,often
pencil,sharpener,a,a,often
oval,face,a,an,almost always
door,grill,a,a,rarely
navy,shorts,,,often
children,adult,an,a,never
building,downtown,a,a,never
town,dump,a,a,often
yellow,barrel,a,a,rarely
stall,light,a,a,always
elephant,ride,a,an,often
pink,rake,a,a,rarely
sheet,side,a,a,sometimes
breast,lump,a,a,always
red,house,a,a,almost always
bottom,piece,a,a,sometimes
tooth,paste,a,a,often
carpet,shampoo,,,never
grease,mark,a,a,often
orange,frosting,,,often
camera,eye,an,a,never
hot,lava,,,almost always
butterfly,catcher,a,a,never
metal,bath,a,a,rarely
rubber,band,a,a,almost always
leaf,cake,a,a,never
green,bug,a,a,often
green,airship,an,a,rarely
green,ring,a,a,sometimes
wooden,board,a,a,often
lacing,piece,a,a,rarely
rabbit,hole,a,a,often
broken,ride,a,a,rarely
purple,raindrop,a,a,never
hot,tray,a,a,rarely
letter,block,a,a,rarely
plastic,ball,a,a,often
fly,swatter,a,a,almost always
toy,lizard,a,a,almost always
daddy,crown,a,a,rarely
green,marble,a,a,rarely
wet,kiss,a,a,never
lunch,box,a,a,almost always
sweet,tooth,a,a,rarely
bottom,bunk,a,a,almost always
dinosaur,foot,a,a,never
elephant,trunk,a,an,almost always
pink,kitty,a,a,rarely
apple,butter,,,rarely
green,flower,a,a,never
bed,room,a,a,often
building,block,a,a,almost always
ball,tent,a,a,rarely
daddy,hand,a,a,rarely
street,lighting,,,often
yellow,stripe,a,a,often
pink,chair,a,a,rarely
grocery,cart,a,a,almost always
gingerbread,man,a,a,never
food,container,a,a,about half the time
flower,pants,,,rarely
wheat,flour,,,always
brown,penny,a,a,always
purple,animal,an,a,rarely
flower,tree,a,a,sometimes
lemon,juice,,,often
yellow,room,a,a,rarely
daddy,hippo,a,a,sometimes
road,license,a,a,almost always
juice,drop,a,a,often
washing,line,a,a,often
purple,present,a,a,rarely
girl,mommy,a,a,always
hair,dryer,a,a,never
mommy,goat,a,a,often
sweet,tasting,a,a,almost always
red,controller,a,a,rarely
juicy,pear,a,a,often
brown,cow,a,a,about half the time
garden,chair,a,a,often
broken,toenail,a,a,rarely
saucepan,spoon,a,a,rarely
animal,fat,,,often
page,moderator,a,a,almost always
icecream,maker,a,an,almost always
snow,seal,a,a,sometimes
paper,model,a,a,rarely
king,man,a,a,rarely
monkey,bar,a,a,always
curly,string,a,a,often
bubble,wand,a,a,almost always
pink,color,a,a,always
purple,diamond,a,a,about half the time
tightrope,walker,a,a,rarely
attic,room,a,an,almost always
red,flower,a,a,sometimes
thick,hair,,,almost always
burnt,toast,,,sometimes
red,heart,a,a,almost always
color,marker,a,a,always
screen,door,a,a,sometimes
baby,piglet,a,a,always
popsicle,stick,a,a,almost always
pet,store,a,a,never
hotel,breakfast,a,a,often
light,saber,a,a,always
world,sea,a,a,never
violet,light,a,a,almost always
ice,hockey,,,always
brass,wire,a,a,almost always
purple,bag,a,a,never
purple,sock,a,a,rarely
country,air,,,often
meatball,dinner,a,a,sometimes
back,door,a,a,sometimes
mommy,shoe,a,a,rarely
round,pond,a,a,rarely
fax,machine,a,a,almost always
wax,paper,a,a,sometimes
daddy,bug,a,a,rarely
sweat,pants,,,rarely
plastic,cupboard,a,a,rarely
drawing,board,a,a,often
red,cup,a,a,sometimes
baby,toy,a,a,sometimes
air,plane,a,an,always
dragon,boy,a,a,never
picnic,food,,,often
green,worktop,a,a,sometimes
tom,cat,a,a,almost always
barn,door,a,a,often
dirty,clothes,,,never
sea,food,,,rarely
pile,driver,a,a,rarely
dirty,basket,a,a,almost always
plastic,train,a,a,often
square,net,a,a,about half the time
fax,phone,a,a,rarely
music,instrument,an,a,always
timber,fencing,,,often
green,color,a,a,almost always
apple,snack,a,an,often
chocolate,raisin,a,a,rarely
goldfish,soup,,,rarely
flaming,shake,a,a,rarely
cherry,popsicle,a,a,sometimes
top,corner,a,a,never
crocodile,dinner,a,a,never
sweet,violet,a,a,almost always
toilet,handle,a,a,almost always
karate,kick,a,a,almost always
red,panda,a,a,rarely
bunny,sleeping,,,always
baby,exercise,an,a,rarely
purple,trunk,a,a,rarely
brown,circle,a,a,almost always
petrol,station,a,a,almost always
sweet,hay,,,almost always
fish,pond,a,a,often
pop,guns,a,a,almost always
caravan,season,a,a,rarely
kids,dance,a,a,often
holly,wreath,a,a,rarely
thistle,spud,a,a,never
student,bar,a,a,often
hot,oven,an,a,almost always
clothes,line,a,a,often
pumpkin,bear,a,a,never
garden,toolbox,a,a,never
green,line,a,a,rarely
back,ride,a,a,often
cut,tree,a,a,often
chicken,nugget,a,a,often
dirty,dish,a,a,often
oval,ball,a,an,almost always
roof,ventilation,,,always
cod,oil,,,sometimes
bat,file,a,a,almost always
wooden,door,a,a,often
flat,timber,,,often
plaid,coat,a,a,sometimes
pop,star,a,a,rarely
lilac,jade,,,sometimes
world,cup,a,a,rarely
smoke,machine,a,a,about half the time
purple,dolphin,a,a,never
hot,pickle,a,a,sometimes
pink,star,a,a,sometimes
radio,repair,a,a,always
purple,pillow,a,a,rarely
basketball,hoop,a,a,almost always
swimming,teacher,a,a,rarely
round,field,a,a,often
taxi,driver,a,a,about half the time
yellow,squash,a,a,almost always
blind,corner,a,a,often
pink,spider,a,a,rarely
red,worm,a,a,about half the time
baby,game,a,a,rarely
chief,advisor,an,a,often
round,table,a,a,about half the time
star,command,a,a,often
giant,worm,a,a,rarely
dirty,panty,a,a,never
chip,pan,a,a,always
skittle,gum,a,a,almost always
singing,dog,a,a,never
dirty,slide,a,a,sometimes
honey,bunny,a,a,sometimes
gift,shop,a,a,sometimes
house,pig,a,a,almost always
coral,bed,a,a,never
puddle,boot,a,a,almost always
green,bowl,a,a,sometimes
wash,basin,a,a,almost always
tar,pit,a,a,rarely
orange,cake,a,an,rarely
red,meat,,,about half the time
bronze,sword,a,a,rarely
yellow,egg,an,a,sometimes
circus,car,a,a,never
wet,rain,,,always
bedroom,bungalow,a,a,always
pirate,girl,a,a,often
wrist,watch,a,a,often
guy,scream,a,a,never
snow,clothes,,,sometimes
bottom,edge,an,a,often
pirate,show,a,a,rarely
purple,card,a,a,never
toy,car,a,a,almost always
pink,phone,a,a,rarely
square,knot,a,a,often
worker,man,a,a,often
dragon,attack,an,a,almost always
apple,sauce,,,often
cataract,operation,an,a,almost always
plastic,bowl,a,a,often
panda,bear,a,a,rarely
green,dinosaur,a,a,often
dinner,bowl,a,a,often
leather,coat,a,a,rarely
entrance,hall,a,an,almost always
fruit,juice,,,often
ocean,floor,a,an,never
hot,muffin,a,a,sometimes
dark,cloud,a,a,often
vitamin,drop,a,a,rarely
body,shop,a,a,rarely
pig,boil,a,a,almost always
garage,door,a,a,never
paddle,game,a,a,rarely
hot,spice,a,a,sometimes
heart,plate,a,a,rarely
brake,light,a,a,about half the time
purple,spider,a,a,rarely
giant,meteor,a,a,rarely
yellow,puppy,a,a,sometimes
library,picture,a,a,never
sister,elephant,an,a,almost always
motor,caravan,a,a,often
dark,ceiling,a,a,rarely
red,basket,a,a,sometimes
purple,hat,a,a,rarely
lip,stick,a,a,never
green,card,a,a,almost always
bus,ride,a,a,almost always
bug,bite,a,a,often
dog,dish,a,a,often
hot,body,a,a,often
baby,sweater,a,a,about half the time
triceratops,sand,,,always
fare,crossing,a,a,rarely
coral,snake,a,a,rarely
fat,piece,a,a,sometimes
green,cat,a,a,rarely
stone,wall,a,a,sometimes
furry,caterpillar,a,a,often
phone,bill,a,a,often
red,light,a,a,often
money,tree,a,a,rarely
red,balloon,a,a,almost always
sunny,day,a,a,often
wall,tiling,,,often
wet,hair,,,sometimes
cock,eye,an,a,sometimes
foot,lounge,a,a,never
wedding,dress,a,a,rarely
nap,video,a,a,almost always
red,knight,a,a,never
book,paperback,a,a,almost always
bedroom,window,a,a,almost always
hillbilly,baby,a,a,rarely
quarter,past,a,a,never
red,tie,a,a,sometimes
skunk,burger,a,a,never
blueberry,pie,a,a,sometimes
chalk,board,a,a,almost always
baby,lion,a,a,sometimes
yellow,snow,,,rarely
carp,family,a,a,almost always
herb,garden,a,an,rarely
alcove,bedroom,a,an,often
swimming,suit,a,a,never
fruit,tree,a,a,rarely
note,card,a,a,rarely
yellow,screw,a,a,rarely
hash,brown,,,often
sugar,plum,a,a,never
potato,skin,,,never
chamber,pot,a,a,rarely
orange,beak,a,an,almost always
fairy,lady,a,a,never
rice,milk,,,rarely
grape,juice,,,often
round,edge,an,a,sometimes
water,fountain,a,a,almost always
office,chair,a,an,often
foot,pool,a,a,always
yellow,tube,a,a,almost always
yellow,knight,a,a,rarely
day,pastor,a,a,never
whale,squirt,a,a,almost always
pink,paint,,,about half the time
cookie,sandwich,a,a,always
giant,truck,a,a,never
flower,bed,a,a,never
yellow,wheel,a,a,rarely
dark,side,a,a,rarely
gold,balloon,a,a,sometimes
lemon,soda,,,rarely
purple,stage,a,a,rarely
cream,cake,a,a,often
