adjective,noun,article,adj_article,llama_405b_instruct_judgment
dirty,bowl,a,a,sometimes
dolphin,family,a,a,never
stroller,toy,a,a,sometimes
green,tail,a,a,never
silver,bell,a,a,almost always
red,flag,a,a,rarely
tattoo,heart,a,a,often
hot,water,,,rarely
baby,penguin,a,a,sometimes
dress,piece,a,a,about half the time
smiley,guy,a,a,rarely
hot,pepper,a,a,sometimes
farm,tractor,a,a,often
curly,tail,a,a,almost always
oatmeal,pie,a,an,rarely
green,jacket,a,a,rarely
back,porch,a,a,often
thick,canopy,a,a,often
green,vegetable,a,a,about half the time
purple,cat,a,a,never
dead,mommy,a,a,never
baby,elephant,an,a,rarely
bottom,lip,a,a,about half the time
bird,cage,a,a,almost always
thick,clip,a,a,never
kitty,cat,a,a,always
office,phone,a,an,sometimes
bottom,row,a,a,rarely
brown,spot,a,a,sometimes
sun,lotion,,,almost always
yellow,bill,a,a,always
brown,bear,a,a,almost always
garbage,can,a,a,almost always
rice,cake,a,a,always
dancing,bud,a,a,never
hot,air,,,almost always
wooden,puzzle,a,a,often
piano,piece,a,a,almost always
yellow,hair,,,rarely
bear,mama,a,a,rarely
pink,eyeball,an,a,rarely
smiley,girl,a,a,almost always
quarter,cup,a,a,rarely
cum,store,a,a,rarely
marine,tank,a,a,sometimes
teacher,day,a,a,rarely
green,edge,an,a,never
paint,can,a,a,often
night,gown,a,a,sometimes
cartoon,ring,a,a,rarely
ski,pants,,,rarely
green,beard,a,a,never
sugar,snack,a,a,often
soup,kitchen,a,a,rarely
queen,crab,a,a,almost always
snow,book,a,a,rarely
hot,bowl,a,a,sometimes
turtle,shell,a,a,almost always
night,dress,a,a,rarely
snow,dog,a,a,rarely
dish,cloth,a,a,sometimes
cylinder,gas,,,often
baby,stroller,a,a,almost always
cursive,letter,a,a,rarely
yellow,dragon,a,a,always
grape,fruit,a,a,sometimes
red,sweet,a,a,often
green,scooter,a,a,rarely
yellow,duckling,a,a,always
orange,sticker,a,an,sometimes
dirty,crayon,a,a,never
stone,cup,a,a,rarely
gold,ticket,a,a,rarely
girl,hood,a,a,never
giant,shadow,a,a,rarely
concrete,driveway,a,a,almost always
purple,dinosaur,a,a,rarely
cereal,box,a,a,sometimes
moon,game,a,a,never
girl,colors,a,a,never
burnt,charcoal,,,almost always
train,station,a,a,often
boy,sock,a,a,almost always
wood,window,a,a,sometimes
green,triceratops,a,a,never
thick,model,a,a,rarely
bottom,stair,a,a,sometimes
kettle,drum,a,a,sometimes
baby,bunny,a,a,rarely
closet,door,a,a,sometimes
brown,bread,,,sometimes
corn,fan,a,a,sometimes
pink,noodle,a,a,rarely
purple,bunny,a,a,never
chip,cookie,a,a,almost always
green,airplane,an,a,rarely
corner,house,a,a,never
bottom,cupboard,a,a,often
poison,berry,a,a,rarely
plastic,bottle,a,a,often
pink,bubblegum,,,often
yellow,pants,,,rarely
cell,phone,a,a,almost always
yellow,overalls,,,never
fruit,sherry,,,rarely
cellar,key,a,a,rarely
tire,swing,a,a,almost always
mommy,squirrel,a,a,sometimes
round,case,a,a,almost always
baby,food,,,rarely
night,armadillo,an,a,often
orange,box,a,an,rarely
back,alley,an,a,often
paper,cup,a,a,rarely
pound,note,a,a,sometimes
vegetable,salad,a,a,almost always
college,lecturer,a,a,almost always
yellow,submarine,a,a,rarely
bunny,rabbit,a,a,almost always
water,board,a,a,rarely
ear,infection,an,an,rarely
baby,piggy,a,a,about half the time
pecan,cluster,a,a,often
yellow,man,a,a,never
green,jungle,a,a,almost always
broken,bag,a,a,rarely
nail,polish,,,often
dead,fish,a,a,sometimes
pregnant,person,a,a,sometimes
thick,wood,,,often
sea,green,,,always
carrot,peel,a,a,almost always
yarn,basket,a,a,rarely
walk,path,a,a,often
purple,star,a,a,never
eight,piece,a,an,always
bed,sheet,a,a,almost always
pill,box,a,a,rarely
blackberry,patch,a,a,sometimes
fuzzy,teddy,a,a,almost always
red,color,a,a,about half the time
hind,leg,a,a,about half the time
jungle,gym,a,a,always
dirty,player,a,a,rarely
curtain,window,a,a,never
cigar,smoke,,,rarely
baby,boy,a,a,always
orange,sweater,a,an,rarely
fudge,sundae,a,a,almost always
knitting,basket,a,a,rarely
water,melon,a,a,about half the time
garlic,bread,,,rarely
pole,light,a,a,often
brown,syrup,,,almost always
crispy,patty,a,a,rarely
crescent,moon,a,a,often
gun,guard,a,a,sometimes
bingo,game,a,a,rarely
marble,arch,an,a,rarely
toy,train,a,a,sometimes
dead,puppy,a,a,rarely
red,clay,,,always
silky,blanket,a,a,rarely
door,valve,a,a,never
plant,root,a,a,about half the time
mommy,fish,a,a,rarely
pirate,flag,a,a,rarely
broken,balloon,a,a,rarely
bright,orange,an,a,almost always
red,scissors,,,rarely
egg,soup,,,rarely
fish,aquarium,an,a,almost always
clothes,basket,a,a,sometimes
garden,tool,a,a,sometimes
sleep,walk,a,a,rarely
blood,cell,a,a,rarely
baby,ostrich,an,a,rarely
dinner,table,a,a,often
purple,noodle,a,a,never
cast,iron,an,a,always
cry,baby,a,a,never
baby,sheep,a,a,never
green,room,a,a,rarely
grey,boot,a,a,often
pink,yogurt,,,rarely
pirate,movie,a,a,rarely
pink,shoe,a,a,rarely
wooden,hammer,a,a,rarely
pet,toy,a,a,often
frozen,bean,a,a,almost always
fat,elephant,an,a,often
dogs,biscuit,a,a,sometimes
hot,coffee,,,almost always
purple,lipstick,,,rarely
stew,pot,a,a,sometimes
brown,table,a,a,often
jellyfish,family,a,a,never
sleeping,bag,a,a,rarely
hot,piggy,a,a,about half the time
multicolored,sign,a,a,often
dog,poop,,,rarely
farm,movie,a,a,rarely
green,hat,a,a,rarely
green,flag,a,a,sometimes
navy,coat,a,a,sometimes
microwave,lid,a,a,almost always
flat,roof,a,a,sometimes
green,park,a,a,almost always
red,stair,a,a,about half the time
path,hedge,a,a,always
plastic,track,a,a,sometimes
dirty,banana,a,a,rarely
alphabet,block,a,an,about half the time
baby,parrot,a,a,never
train,car,a,a,never
purple,snail,a,a,never
green,zebra,a,a,never
horse,manure,,,sometimes
yellow,cake,a,a,about half the time
music,book,a,a,rarely
carrot,cake,a,a,rarely
rolling,pin,a,a,rarely
yellow,top,a,a,rarely
giant,frog,a,a,rarely
wooden,stick,a,a,often
dark,flower,a,a,rarely
home,county,a,a,rarely
green,book,a,a,rarely
dirty,cave,a,a,almost always
pink,skirt,a,a,sometimes
fat,mama,a,a,almost always
green,dog,a,a,never
cookie,bake,a,a,sometimes
alphabet,puzzle,a,an,sometimes
garden,shed,a,a,almost always
night,crawler,a,a,almost always
orange,pop,a,an,rarely
pop,corn,a,a,rarely
ox,tail,a,an,almost always
pound,hammer,a,a,almost always
heart,attack,an,a,often
brown,shoe,a,a,often
jaw,bone,a,a,rarely
red,lobster,a,a,almost always
cracker,box,a,a,almost always
green,thumb,a,a,rarely
wig,hair,,,rarely
caramel,sauce,,,rarely
curly,head,a,a,sometimes
wet,grandpa,a,a,often
slope,test,a,a,never
baby,panda,a,a,rarely
gas,fire,,,sometimes
boy,tooth,a,a,never
yellow,handle,a,a,sometimes
marble,roll,a,a,always
twin,deck,a,a,almost always
potty,sticker,a,a,rarely
orange,plant,a,an,never
coffee,machine,a,a,rarely
jelly,container,a,a,about half the time
round,pumpkin,a,a,sometimes
body,puppet,a,a,often
daddy,waffle,a,a,never
giant,dump,a,a,almost always
lobster,hat,a,a,never
outside,world,a,an,always
yellow,chicken,a,a,rarely
bean,ball,a,a,always
red,ice,,,never
farm,shop,a,a,rarely
garlic,salt,,,never
pink,honey,,,never
weenie,firefly,a,a,never
fat,tummy,a,a,about half the time
cloud,smoke,,,always
car,boot,a,a,sometimes
phone,line,a,a,sometimes
art,advisor,an,an,always
top,molar,a,a,about half the time
wrapping,paper,a,a,sometimes
road,sign,a,a,often
hand,drive,a,a,about half the time
bloody,nose,a,a,rarely
baby,bottle,a,a,rarely
yellow,lip,a,a,rarely
pink,shorts,,,rarely
fire,alarm,an,a,often
north,pole,a,a,never
dog,mama,a,a,almost always
wiggle,dancing,,,almost always
examination,board,a,an,never
bull,ant,an,a,rarely
brown,cap,a,a,often
kid,ride,a,a,sometimes
yellow,ball,a,a,never
man,book,a,a,about half the time
door,bell,a,a,about half the time
dart,board,a,a,sometimes
puppet,baby,a,a,never
dinner,break,a,a,almost always
granite,horse,a,a,never
chest,plate,a,a,rarely
record,case,a,a,always
whale,hat,a,a,rarely
mommy,daddy,a,a,never
dinosaur,skull,a,a,rarely
tree,farm,a,a,sometimes
orange,kitty,a,an,sometimes
clown,nose,a,a,rarely
potty,break,a,a,rarely
bread,basket,a,a,sometimes
giraffe,leg,a,a,rarely
fat,squirrel,a,a,sometimes
fish,guts,,,sometimes
bubble,soap,,,rarely
fuzzy,creature,a,a,often
basket,ball,a,a,never
red,wagon,a,a,sometimes
matchbox,car,a,a,never
jungle,ride,a,a,rarely
quiz,game,a,a,rarely
colored,green,,,always
gold,ring,a,a,about half the time
paint,drip,a,a,sometimes
wet,slab,a,a,rarely
green,blanket,a,a,sometimes
oil,filter,a,an,often
tan,car,a,a,rarely
green,grasshopper,a,a,about half the time
bowling,ball,a,a,rarely
hot,tap,a,a,sometimes
onion,ring,a,an,often
petrol,account,an,a,rarely
thistle,patch,a,a,sometimes
dirty,mommy,a,a,rarely
bright,picture,a,a,sometimes
picture,book,a,a,rarely
step,stool,a,a,often
tree,branch,a,a,almost always
apple,cookie,a,an,rarely
bar,staff,,,often
rock,crowd,a,a,often
dirty,bottom,a,a,never
bug,lift,a,a,rarely
onion,gravy,,,sometimes
skirt,stain,a,a,about half the time
green,grape,a,a,sometimes
night,sky,a,a,always
solid,feed,,,always
sky,diving,,,almost always
pirate,hat,a,a,rarely
giant,pillow,a,a,rarely
green,side,a,a,almost always
green,shirt,a,a,sometimes
pink,mirror,a,a,never
red,ear,an,a,rarely
blowing,bubble,a,a,almost always
grey,coat,a,a,sometimes
giant,octopus,an,a,almost always
dwarf,tree,a,a,about half the time
slippery,balloon,a,a,rarely
baby,pumpkin,a,a,rarely
jelly,sandwich,a,a,rarely
octopus,video,a,an,rarely
hill,track,a,a,sometimes
fuzzy,pants,,,rarely
spider,web,a,a,almost always
pony,ride,a,a,rarely
card,table,a,a,rarely
giant,bean,a,a,never
song,book,a,a,rarely
art,school,a,an,rarely
head,office,an,a,rarely
tire,mold,a,a,always
bear,sleeping,,,never
ice,cube,a,an,rarely
dead,fly,a,a,never
dog,sticker,a,a,rarely
food,coloring,,,often
apple,farm,a,an,never
bedroom,bathroom,a,a,rarely
sweet,drink,a,a,never
hot,egg,an,a,never
beach,token,a,a,about half the time
brown,basket,a,a,sometimes
candy,corn,a,a,about half the time
library,book,a,a,often
train,track,a,a,almost always
orange,wall,a,an,rarely
nylon,shirt,a,a,rarely
purple,pepperoni,,,never
muscle,tissue,a,a,almost always
outside,line,a,an,rarely
blind,mouse,a,a,rarely
coral,piece,a,a,rarely
key,board,a,a,sometimes
water,filter,a,a,almost always
root,beer,a,a,rarely
turkey,chip,a,a,rarely
grocery,store,a,a,rarely
back,seat,a,a,sometimes
lemon,skin,,,always
fly,ball,a,a,often
purple,baby,a,a,never
plastic,piece,a,a,sometimes
elephant,parade,a,an,never
purple,collar,a,a,rarely
brown,shirt,a,a,about half the time
outside,lane,a,an,always
elephant,ear,an,an,almost always
paper,plate,a,a,rarely
solar,shop,a,a,rarely
coat,hanger,a,a,always
comb,brooch,a,a,never
lighter,purple,,,about half the time
metal,plate,a,a,rarely
country,mansion,a,a,always
dolly,house,a,a,rarely
elephant,fly,a,an,always
green,bird,a,a,sometimes
red,squirrel,a,a,almost always
candy,cane,a,a,rarely
fat,man,a,a,sometimes
sewing,machine,a,a,rarely
tobacco,tin,a,a,almost always
fuzzy,hair,,,sometimes
green,man,a,a,never
green,ear,an,a,rarely
ground,floor,a,a,about half the time
red,dress,a,a,rarely
stair,carpet,a,a,about half the time
chicken,wing,a,a,almost always
dancing,shoe,a,a,rarely
yellow,helicopter,a,a,rarely
wet,ball,a,a,rarely
pink,oval,an,a,about half the time
mommy,lion,a,a,always
green,guy,a,a,rarely
bank,note,a,a,almost always
mulberry,tree,a,a,rarely
orange,corner,a,an,never
dog,person,a,a,sometimes
furry,tail,a,a,almost always
dead,one,a,a,rarely
red,crayon,a,a,often
bright,shirt,a,a,rarely
dark,eye,an,a,often
fish,puzzle,a,a,rarely
hot,shit,,,almost always
green,crayon,a,a,about half the time
circus,train,a,a,rarely
loaf,pan,a,a,sometimes
brown,hill,a,a,never
blond,boy,a,a,rarely
stone,letter,a,a,never
dirty,basement,a,a,often
burnt,cookie,a,a,rarely
star,sticker,a,a,sometimes
bedroom,house,a,a,rarely
cloth,mum,a,a,never
pea,pod,a,a,often
cargo,car,a,a,rarely
clothes,furnishing,,,rarely
dish,washer,a,a,always
cut,apple,an,a,rarely
tape,measure,a,a,always
red,bin,a,a,rarely
yellow,skull,a,a,never
thick,piece,a,a,rarely
potato,pie,a,a,never
explorer,guy,a,an,rarely
red,coat,a,a,rarely
plastic,toy,a,a,often
quarry,tile,a,a,sometimes
puppet,stage,a,a,rarely
thick,mud,,,almost always
table,cloth,a,a,sometimes
baby,blanket,a,a,sometimes
square,face,a,a,rarely
fruit,machine,a,a,rarely
smooch,dance,a,a,never
outside,house,a,an,always
hair,cap,a,a,almost always
purple,dog,a,a,never
tooth,fairy,a,a,almost always
wet,pants,,,rarely
flat,side,a,a,almost always
green,lawn,a,a,almost always
salty,egg,an,a,rarely
peach,material,a,a,never
thick,loaf,a,a,about half the time
fat,lady,a,a,rarely
letter,puzzle,a,a,always
chocolate,chip,a,a,always
pink,tongue,a,a,almost always
red,nose,a,a,rarely
green,ball,a,a,rarely
hot,tub,a,a,rarely
gingerbread,recipe,a,a,rarely
drawing,table,a,a,rarely
red,marker,a,a,about half the time
gas,pipe,a,a,often
giant,present,a,a,rarely
dark,forest,a,a,about half the time
purple,block,a,a,rarely
orange,suit,a,an,never
yellow,guitar,a,a,rarely
shoe,room,a,a,rarely
grey,suite,a,a,sometimes
chocolate,eclair,an,a,almost always
stamp,pad,a,a,almost always
bagel,dog,a,a,never
tree,frog,a,a,often
sugar,bowl,a,a,rarely
moist,soil,,,about half the time
kitchen,floor,a,a,rarely
jelly,doughnut,a,a,rarely
hot,bath,a,a,almost always
pink,square,a,a,rarely
hot,fry,a,a,almost always
color,sand,,,almost always
rock,music,,,never
flower,stem,a,a,sometimes
yellow,ring,a,a,rarely
north,king,a,a,about half the time
baby,room,a,a,rarely
pirate,sword,a,a,sometimes
pencil,sharpener,a,a,almost always
oval,face,a,an,often
door,grill,a,a,never
navy,shorts,,,sometimes
children,adult,an,a,never
building,downtown,a,a,never
town,dump,a,a,never
yellow,barrel,a,a,sometimes
stall,light,a,a,rarely
elephant,ride,a,an,rarely
pink,rake,a,a,rarely
sheet,side,a,a,always
breast,lump,a,a,always
red,house,a,a,rarely
bottom,piece,a,a,always
tooth,paste,a,a,almost always
carpet,shampoo,,,rarely
grease,mark,a,a,never
orange,frosting,,,rarely
camera,eye,an,a,always
hot,lava,,,always
butterfly,catcher,a,a,never
metal,bath,a,a,almost always
rubber,band,a,a,always
leaf,cake,a,a,always
green,bug,a,a,sometimes
green,airship,an,a,never
green,ring,a,a,rarely
wooden,board,a,a,often
lacing,piece,a,a,rarely
rabbit,hole,a,a,never
broken,ride,a,a,rarely
purple,raindrop,a,a,never
hot,tray,a,a,often
letter,block,a,a,almost always
plastic,ball,a,a,often
fly,swatter,a,a,almost always
toy,lizard,a,a,about half the time
daddy,crown,a,a,never
green,marble,a,a,rarely
wet,kiss,a,a,rarely
lunch,box,a,a,rarely
sweet,tooth,a,a,always
bottom,bunk,a,a,about half the time
dinosaur,foot,a,a,rarely
elephant,trunk,a,an,almost always
pink,kitty,a,a,never
apple,butter,,,rarely
green,flower,a,a,rarely
bed,room,a,a,sometimes
building,block,a,a,sometimes
ball,tent,a,a,often
daddy,hand,a,a,never
street,lighting,,,often
yellow,stripe,a,a,never
pink,chair,a,a,rarely
grocery,cart,a,a,almost always
gingerbread,man,a,a,always
food,container,a,a,sometimes
flower,pants,,,rarely
wheat,flour,,,almost always
brown,penny,a,a,rarely
purple,animal,an,a,rarely
flower,tree,a,a,sometimes
lemon,juice,,,rarely
yellow,room,a,a,rarely
daddy,hippo,a,a,never
road,license,a,a,almost always
juice,drop,a,a,almost always
washing,line,a,a,rarely
purple,present,a,a,never
girl,mommy,a,a,always
hair,dryer,a,a,almost always
mommy,goat,a,a,almost always
sweet,tasting,a,a,always
red,controller,a,a,sometimes
juicy,pear,a,a,sometimes
brown,cow,a,a,often
garden,chair,a,a,sometimes
broken,toenail,a,a,rarely
saucepan,spoon,a,a,often
animal,fat,,,rarely
page,moderator,a,a,about half the time
icecream,maker,a,an,sometimes
snow,seal,a,a,rarely
paper,model,a,a,never
king,man,a,a,rarely
monkey,bar,a,a,rarely
curly,string,a,a,never
bubble,wand,a,a,rarely
pink,color,a,a,rarely
purple,diamond,a,a,rarely
tightrope,walker,a,a,rarely
attic,room,a,an,rarely
red,flower,a,a,sometimes
thick,hair,,,often
burnt,toast,,,rarely
red,heart,a,a,almost always
color,marker,a,a,almost always
screen,door,a,a,rarely
baby,piglet,a,a,always
popsicle,stick,a,a,always
pet,store,a,a,rarely
hotel,breakfast,a,a,sometimes
light,saber,a,a,never
world,sea,a,a,rarely
violet,light,a,a,never
ice,hockey,,,almost always
brass,wire,a,a,sometimes
purple,bag,a,a,rarely
purple,sock,a,a,rarely
country,air,,,almost always
meatball,dinner,a,a,rarely
back,door,a,a,sometimes
mommy,shoe,a,a,sometimes
round,pond,a,a,sometimes
fax,machine,a,a,rarely
wax,paper,a,a,rarely
daddy,bug,a,a,never
sweat,pants,,,sometimes
plastic,cupboard,a,a,sometimes
drawing,board,a,a,rarely
red,cup,a,a,rarely
baby,toy,a,a,about half the time
air,plane,a,an,almost always
dragon,boy,a,a,always
picnic,food,,,rarely
green,worktop,a,a,rarely
tom,cat,a,a,almost always
barn,door,a,a,rarely
dirty,clothes,,,almost always
sea,food,,,sometimes
pile,driver,a,a,never
dirty,basket,a,a,rarely
plastic,train,a,a,sometimes
square,net,a,a,almost always
fax,phone,a,a,rarely
music,instrument,an,a,almost always
timber,fencing,,,often
green,color,a,a,sometimes
apple,snack,a,an,sometimes
chocolate,raisin,a,a,rarely
goldfish,soup,,,rarely
flaming,shake,a,a,rarely
cherry,popsicle,a,a,never
top,corner,a,a,always
crocodile,dinner,a,a,rarely
sweet,violet,a,a,often
toilet,handle,a,a,rarely
karate,kick,a,a,never
red,panda,a,a,rarely
bunny,sleeping,,,always
baby,exercise,an,a,rarely
purple,trunk,a,a,never
brown,circle,a,a,sometimes
petrol,station,a,a,almost always
sweet,hay,,,often
fish,pond,a,a,sometimes
pop,guns,a,a,rarely
caravan,season,a,a,never
kids,dance,a,a,sometimes
holly,wreath,a,a,about half the time
thistle,spud,a,a,rarely
student,bar,a,a,never
hot,oven,an,a,always
clothes,line,a,a,sometimes
pumpkin,bear,a,a,never
garden,toolbox,a,a,rarely
green,line,a,a,never
back,ride,a,a,sometimes
cut,tree,a,a,rarely
chicken,nugget,a,a,almost always
dirty,dish,a,a,almost always
oval,ball,a,an,often
roof,ventilation,,,sometimes
cod,oil,,,rarely
bat,file,a,a,rarely
wooden,door,a,a,almost always
flat,timber,,,often
plaid,coat,a,a,sometimes
pop,star,a,a,rarely
lilac,jade,,,rarely
world,cup,a,a,rarely
smoke,machine,a,a,rarely
purple,dolphin,a,a,never
hot,pickle,a,a,almost always
pink,star,a,a,never
radio,repair,a,a,never
purple,pillow,a,a,rarely
basketball,hoop,a,a,often
swimming,teacher,a,a,rarely
round,field,a,a,rarely
taxi,driver,a,a,rarely
yellow,squash,a,a,often
blind,corner,a,a,rarely
pink,spider,a,a,never
red,worm,a,a,never
baby,game,a,a,rarely
chief,advisor,an,a,often
round,table,a,a,sometimes
star,command,a,a,rarely
giant,worm,a,a,rarely
dirty,panty,a,a,sometimes
chip,pan,a,a,never
skittle,gum,a,a,almost always
singing,dog,a,a,rarely
dirty,slide,a,a,sometimes
honey,bunny,a,a,never
gift,shop,a,a,sometimes
house,pig,a,a,rarely
coral,bed,a,a,rarely
puddle,boot,a,a,never
green,bowl,a,a,sometimes
wash,basin,a,a,about half the time
tar,pit,a,a,rarely
orange,cake,a,an,rarely
red,meat,,,almost always
bronze,sword,a,a,rarely
yellow,egg,an,a,almost always
circus,car,a,a,rarely
wet,rain,,,always
bedroom,bungalow,a,a,always
pirate,girl,a,a,rarely
wrist,watch,a,a,almost always
guy,scream,a,a,never
snow,clothes,,,rarely
bottom,edge,an,a,sometimes
pirate,show,a,a,rarely
purple,card,a,a,never
toy,car,a,a,rarely
pink,phone,a,a,rarely
square,knot,a,a,sometimes
worker,man,a,a,often
dragon,attack,an,a,rarely
apple,sauce,,,rarely
cataract,operation,an,a,rarely
plastic,bowl,a,a,sometimes
panda,bear,a,a,always
green,dinosaur,a,a,about half the time
dinner,bowl,a,a,about half the time
leather,coat,a,a,sometimes
entrance,hall,a,an,almost always
fruit,juice,,,almost always
ocean,floor,a,an,always
hot,muffin,a,a,rarely
dark,cloud,a,a,almost always
vitamin,drop,a,a,never
body,shop,a,a,rarely
pig,boil,a,a,always
garage,door,a,a,about half the time
paddle,game,a,a,rarely
hot,spice,a,a,almost always
heart,plate,a,a,rarely
brake,light,a,a,sometimes
purple,spider,a,a,never
giant,meteor,a,a,rarely
yellow,puppy,a,a,sometimes
library,picture,a,a,almost always
sister,elephant,an,a,sometimes
motor,caravan,a,a,sometimes
dark,ceiling,a,a,rarely
red,basket,a,a,rarely
purple,hat,a,a,rarely
lip,stick,a,a,never
green,card,a,a,rarely
bus,ride,a,a,sometimes
bug,bite,a,a,almost always
dog,dish,a,a,rarely
hot,body,a,a,rarely
baby,sweater,a,a,rarely
triceratops,sand,,,never
fare,crossing,a,a,always
coral,snake,a,a,rarely
fat,piece,a,a,almost always
green,cat,a,a,never
stone,wall,a,a,often
furry,caterpillar,a,a,almost always
phone,bill,a,a,often
red,light,a,a,often
money,tree,a,a,never
red,balloon,a,a,sometimes
sunny,day,a,a,almost always
wall,tiling,,,about half the time
wet,hair,,,sometimes
cock,eye,an,a,never
foot,lounge,a,a,sometimes
wedding,dress,a,a,rarely
nap,video,a,a,rarely
red,knight,a,a,rarely
book,paperback,a,a,almost always
bedroom,window,a,a,about half the time
hillbilly,baby,a,a,rarely
quarter,past,a,a,almost always
red,tie,a,a,rarely
skunk,burger,a,a,never
blueberry,pie,a,a,rarely
chalk,board,a,a,sometimes
baby,lion,a,a,rarely
yellow,snow,,,always
carp,family,a,a,always
herb,garden,a,an,rarely
alcove,bedroom,a,an,never
swimming,suit,a,a,often
fruit,tree,a,a,rarely
note,card,a,a,never
yellow,screw,a,a,always
hash,brown,,,almost always
sugar,plum,a,a,always
potato,skin,,,sometimes
chamber,pot,a,a,rarely
orange,beak,a,an,rarely
fairy,lady,a,a,never
rice,milk,,,never
grape,juice,,,rarely
round,edge,an,a,rarely
