adjective,noun,article,adj_article,gpt3_judgment
fire,truck,a,a,Almost always
slate,mine,a,a,Rarely
brown,barn,a,a,Almost always.
gold,game,a,a,Almost always
police,car,a,a,Often
tan,lotion,,,Sometimes
rectangle,diamond,a,a,Rarely
baby,basket,a,a,Rarely
broken,piece,a,a,Rarely.
thick,person,a,a,Often
fish,book,a,a,Rarely
purple,lollipop,a,a,Rarely
hot,pot,a,a,Almost always
hall,servant,a,a,Often
crispy,piece,a,a,Often
dictionary,writer,a,a,Rarely
thick,sandwich,a,a,Often
square,block,a,a,Almost always
puppy,dog,a,a,Almost always
farmer,truck,a,a,Rarely
yellow,baby,a,a,Never
hot,plastic,,,Never
hot,mommy,a,a,Rarely.
mud,puddle,a,a,Often
arcade,music,,,Sometimes
green,field,a,a,Often
cocktail,side,a,a,Sometimes
telephone,box,a,a,Never
quarter,inch,an,a,Almost always
coffee,cake,a,a,Sometimes
picnic,meal,a,a,Sometimes
ice,tea,,,Often
baby,spoon,a,a,Often
yellow,page,a,a,Rarely
crystal,cave,a,a,Rarely
light,wood,,,Often
green,finger,a,a,Never
block,building,a,a,Often
baby,doll,a,a,Almost always
elephant,trumpeting,,,Almost Always
yellow,rain,,,Never
yard,clipping,a,a,Rarely
back,garden,a,a,Often
green,path,a,a,Often
red,cutter,a,a,Rarely
snow,ninja,a,a,Rarely
nose,guy,a,a,Rarely.
airplane,ride,a,an,Sometimes
fish,jump,a,a,Never
green,overalls,,,Often
stump,grinder,a,a,Rarely
singing,mama,a,a,Often
pink,clothes,,,Sometimes
dirty,hand,a,a,Often
drum,stick,a,a,Never
bear,cave,a,a,Rarely
green,pants,,,Rarely
hot,bun,a,a,Sometimes
pink,satin,,,Often
daddy,ear,an,a,Never
varnish,paint,,,Often
silver,car,a,a,Often
giant,puzzle,a,a,Rarely
red,pot,a,a,Sometimes
guy,wizard,a,a,Almost always
red,door,a,a,Rarely
picture,frame,a,a,Often
infant,teacher,a,an,Rarely
lizard,mom,a,a,Never
lion,dung,,,Never
orange,nose,a,an,Never
puzzle,pile,a,a,Rarely
hot,fire,,,Always
iron,sword,a,an,Often
gold,map,a,a,Rarely
grandfather,clock,a,a,Rarely
whisky,drop,a,a,Rarely
paint,brush,a,a,Often
solid,rain,,,Almost always
human,body,a,a,Almost always
dead,plant,a,a,Never
tea,cup,a,a,Often
dirty,blanket,a,a,Rarely
chip,machine,a,a,Rarely
leopard,seal,a,a,Rarely
baby,leaf,a,a,Rarely
yellow,circle,a,a,Sometimes
food,chain,a,a,Often
fire,exit,an,a,Almost always.
mutant,peacock,a,a,Rarely
red,drum,a,a,Rarely.
yellow,parrot,a,a,Often
dirty,plate,a,a,Sometimes
round,track,a,a,Almost always.
slippery,sock,a,a,Rarely
baby,dog,a,a,Almost Always
paw,print,a,a,Sometimes
red,towel,a,a,Sometimes
guy,robot,a,a,Rarely
red,stripe,a,a,Often
dirty,pants,,,Rarely.
red,track,a,a,Rarely
meteor,crater,a,a,Often
carpet,shop,a,a,Sometimes
green,candy,,,Rarely
thorn,bush,a,a,Often
hand,bag,a,a,Often
yellow,line,a,a,Rarely
green,frosting,,,Sometimes
square,pan,a,a,Often
pointy,tree,a,a,Rarely
purple,necklace,a,a,Sometimes
cotton,candy,,,Almost Always
top,hat,a,a,Rarely
potato,plant,a,a,Sometimes
color,popsicle,a,a,Often
red,hole,a,a,Never
wall,clock,a,a,Often
tea,pot,a,a,Often
frog,toy,a,a,Sometimes
blooming,herb,a,a,Sometimes
bottom,shelf,a,a,Often
cup,cake,a,a,Often
pink,brush,a,a,Rarely
purple,boot,a,a,Rarely
fruit,snack,a,a,Often
brown,coffee,,,Almost always
yellow,sleeve,a,a,Rarely
umbrella,handle,a,an,Almost always.
purple,tower,a,a,Rarely
hot,cocoa,,,Almost always
animal,cracker,a,an,Rarely
broken,bridge,a,a,Rarely
kid,scissors,,,Rarely
dog,book,a,a,Sometimes
furnishings,gift,a,a,Sometimes
man,face,a,a,About half the time.
light,horse,a,a,Often
phone,ring,a,a,Sometimes
red,top,a,a,Often
kids,block,a,a,Almost always
giant,mess,a,a,Almost always.
rolling,robot,a,a,Sometimes
elephant,eye,an,an,Never
lounge,window,a,a,Rarely
green,strawberry,a,a,Rarely.
oven,door,a,an,Never
dirty,girl,a,a,Rarely.
camera,man,a,a,Sometimes
maple,syrup,,,Almost always
pink,dinosaur,a,a,Rarely.
traffic,jam,,,Never
mail,card,a,a,Sometimes
rope,ladder,a,a,Rarely
broken,cracker,a,a,Rarely
wooden,button,a,a,Rarely
flat,edge,an,a,Almost Always
kid,toy,a,a,Almost always
milk,man,a,a,Rarely.
dancing,troop,a,a,Sometimes
sinus,infection,an,a,Sometimes
back,yard,a,a,Often
arm,pit,a,an,Almost always
guy,talking,,,Sometimes
day,game,a,a,Sometimes
photo,album,an,a,Almost always
outside,guy,a,an,Sometimes
spaghetti,meatball,a,a,Almost always
kitchen,sink,a,a,Almost Always
corner,piece,a,a,Almost always
purple,octagon,an,a,Rarely
diving,board,a,a,Almost always
garden,worm,a,a,Often
bright,star,a,a,Often
patio,door,a,a,Often
brown,eye,an,a,Often
banana,bread,,,Rarely
enamel,shell,a,an,Rarely
furry,tummy,a,a,Never
solar,eclipse,an,a,Almost always
purple,flower,a,a,Often
drop,curtain,a,a,Rarely.
bull,frog,a,a,Often
purple,purse,a,a,Sometimes
video,camera,a,a,Almost always.
orange,animal,an,an,Rarely
rag,doll,a,a,Often
yellow,sun,,,Always
clothes,hamper,a,a,Almost always
cookie,cutter,a,a,Often
green,bow,a,a,Sometimes
plastic,card,a,a,Almost always
giant,shoe,a,a,Never
pink,pipe,a,a,Rarely
orange,skittle,a,an,Often
head,louse,a,a,Almost always
purple,candy,,,Rarely
orange,square,a,an,Sometimes
cooker,gas,,,Often
locked,closet,a,a,Rarely
red,ant,an,a,Sometimes
box,office,an,a,Never
orange,frog,a,an,Rarely
mop,head,a,a,Never
puppy,doggy,a,a,Almost Always
tool,repair,a,a,Sometimes
color,page,a,a,Almost always
hip,bone,a,a,Almost always.
red,ladybug,a,a,Almost always.
red,wheel,a,a,Rarely
purple,bat,a,a,Rarely
cake,shop,a,a,Often
picture,hook,a,a,Often
crusty,roll,a,a,Often
bright,tail,a,a,Rarely
daddy,gorilla,a,a,Rarely
ladies,toilet,a,a,Almost Always
gravel,pile,a,a,Rarely.
dog,stand,a,a,Never
clock,piece,a,a,Almost Always
yellow,shirt,a,a,Often
velvety,horse,a,a,Rarely
purple,cabbage,a,a,Often
dirty,mouth,a,a,Rarely
top,trainer,a,a,Often
birth,present,a,a,Sometimes
dark,sky,a,a,Often
coffee,milk,,,Never
baby,bounce,a,a,Almost always
scar,scar,a,a,Almost always.
battery,drawer,a,a,Never
circus,truck,a,a,Rarely
room,table,a,a,Almost always
boa,constrictor,a,a,Almost always
car,transporter,a,a,Often
bleeding,finger,a,a,Never.
human,head,a,a,Almost always
ball,bounce,a,a,Almost always
yellow,light,a,a,Often
tree,trunk,a,a,Almost always
ball,bearing,,,Almost always
sweat,gland,a,a,Often
call,line,a,a,Almost always
bin,liner,a,a,Often
red,brush,a,a,Sometimes
digger,truck,a,a,Rarely
shovel,honey,,,Almost always
cheese,pie,a,a,Often
night,spider,a,a,Often
store,lady,a,a,Sometimes
teddy,bear,a,a,Never
medication,honey,,,Sometimes
school,book,a,a,Sometimes.
goldfish,day,a,a,Never
toy,boy,a,a,Never
pink,girl,a,a,Sometimes
people,town,a,a,Sometimes
worm,soup,,,Rarely
pink,worm,a,a,Rarely
egg,shell,a,an,Almost always
baby,song,a,a,Sometimes
furry,face,a,a,Never
brown,mountain,a,a,Sometimes
red,coloring,,,Almost always.
patio,barbecue,a,a,Often
blonde,hair,,,Often
top,lid,a,a,Almost always.
wooden,reel,a,a,Rarely
iron,leg,a,an,Never
baby,crayon,a,a,Rarely
train,line,a,a,Often
birth,day,a,a,Almost always
doctor,kit,a,a,Rarely
door,key,a,a,Often
bus,fare,a,a,Often
solid,piece,a,a,Almost always
fish,soup,,,Rarely
princess,bed,a,a,Rarely
top,edge,an,a,Almost Always
turkey,sandwich,a,a,Often
timer,switch,a,a,Often
red,mouse,a,a,Rarely
green,garbage,,,Never
wet,bird,a,a,Sometimes
yellow,pepper,a,a,Sometimes
dalmatian,dog,a,a,Often
red,fence,a,a,Rarely
daddy,pirate,a,a,Rarely
brown,clump,a,a,Often
red,airplane,an,a,Rarely
military,police,,,Rarely
red,orange,an,a,Rarely.
bear,hunt,a,a,Rarely
red,triangle,a,a,Sometimes
gas,station,a,a,Almost Always
pink,flamingo,a,a,Almost always
yellow,tree,a,a,Rarely
satellite,dish,a,a,Never
cigar,smoking,,,Rarely
dance,music,,,Sometimes
candy,bar,a,a,Often
egg,box,a,an,Often
sand,box,a,a,Never
pet,cage,a,a,Often
yellow,coral,,,Sometimes
dark,hair,,,Often
vegetable,oil,,,Often
green,picture,a,a,Rarely
green,baby,a,a,Never
pant,leg,a,a,Almost always
hedge,cutter,a,a,Often
beef,hash,a,a,Almost always
plastic,box,a,a,Often
green,nose,a,a,Never
brown,sauce,,,Often
yellow,coloring,,,Often
hot,lunch,a,a,Often
fish,stall,a,a,Rarely
wire,sandwich,a,a,Never
bright,color,a,a,Often
bathroom,window,a,a,Rarely
hot,ride,a,a,Sometimes
tub,seat,a,a,Sometimes
draw,picture,a,a,Sometimes
water,pipe,a,a,Almost always
safari,hat,a,a,Rarely
hot,seat,a,a,Rarely
top,step,a,a,Almost always.
spider,ring,a,a,Rarely
bottom,corner,a,a,Almost always.
cotton,ball,a,a,Never
record,button,a,a,Sometimes
doll,baby,a,a,Never
cat,product,a,a,Rarely
rusty,bucket,a,a,Rarely
gun,runner,a,a,Never
washing,machine,a,a,Almost always.
naked,butt,a,a,Never
cabbage,leaf,a,a,Rarely
dirty,sock,a,a,Often
karate,chop,a,a,Rarely
yard,tent,a,a,Rarely
goat,boy,a,a,Never
father,duck,a,a,Often
pink,rattle,a,a,Rarely
witch,hair,,,Rarely
crane,station,a,a,Rarely
toy,store,a,a,Often
dark,ball,a,a,Rarely
pink,corner,a,a,Rarely
truck,piece,a,a,Sometimes
red,jumper,a,a,Often
pink,dot,a,a,Rarely
money,card,a,a,Often
teapot,water,,,Never
chocolate,cake,a,a,Often
person,game,a,a,Almost Always
sea,urchin,an,a,Often
red,broccoli,,,Never
bus,ticket,a,a,Often.
rock,pool,a,a,Rarely
red,dragon,a,a,Almost always
movie,camera,a,a,Sometimes
flat,mouth,a,a,Rarely.
salmon,leaping,a,a,Rarely
outside,person,a,an,Sometimes
tin,tray,a,a,Rarely
hand,glove,a,a,Almost always
scout,group,a,a,Often
guy,beard,a,a,Almost always.
silver,beard,a,a,Rarely
smoke,stack,a,a,Never
rain,glasses,,,Rarely
zucchini,plant,a,a,Sometimes
purple,bud,a,a,Rarely
cash,till,a,a,Almost always
pink,dragon,a,a,Rarely
girl,case,a,a,Almost always
orange,cutter,a,an,Rarely.
kitchen,door,a,a,Sometimes
pear,skin,,,Sometimes
dirty,hamper,a,a,Often
orange,sunset,a,an,Often
hot,wood,,,Never
dirty,penny,a,a,Often
dirty,cup,a,a,Rarely.
apple,oatmeal,,,Rarely
olive,green,,,Often
pear,juice,,,Sometimes
water,spout,a,a,Almost Always
bacon,crisp,a,a,Never
knife,edge,an,a,Often
green,crunch,a,a,Rarely
doggy,bone,a,a,Almost always
yellow,eye,an,a,Rarely.
yellow,apple,an,a,Often
farm,channel,a,a,Rarely
boy,seat,a,a,Never
machine,chap,a,a,Never
eye,ball,a,an,Never
thick,branch,a,a,Sometimes
sunny,path,a,a,Often
back,step,a,a,Rarely
brown,tail,a,a,Often
gravel,border,a,a,Rarely
pink,tights,,,Sometimes
store,room,a,a,Rarely.
frog,outfit,an,a,Rarely
yellow,hay,,,Often
red,strawberry,a,a,Almost always
dead,turtle,a,a,Never
inch,square,a,an,Always
shell,suit,a,a,Never
honey,doll,a,a,Rarely
ceiling,rose,a,a,Never
baby,meat,,,Rarely
flat,surface,a,a,Almost always
fat,head,a,a,Never
circus,officer,an,a,Never
sweet,baby,a,a,Almost Always
purple,grape,a,a,Almost always
pencil,eraser,an,a,Almost always
tie,back,a,a,Rarely
massage,table,a,a,Rarely
orange,leaf,a,an,Rarely
sand,sheep,a,a,Rarely
red,side,a,a,Sometimes
red,caboose,a,a,Almost always
pink,window,a,a,Rarely
sweet,pea,a,a,Rarely.
orange,angelfish,an,an,Sometimes
cork,tile,a,a,Rarely
bleeding,head,a,a,Never
brown,fur,,,Often
mommy,elephant,an,a,Almost always.
daddy,glasses,,,Rarely
round,tree,a,a,Rarely.
red,bear,a,a,Rarely
laundry,basket,a,a,Often
egg,white,,,Almost always
peacock,body,a,a,Rarely
green,plant,a,a,Almost always
dead,worm,a,a,Never
dog,food,,,Never
wine,sherry,,,Almost Always
swimming,guy,a,a,Sometimes
sign,gate,a,a,Rarely
animal,magazine,a,an,Rarely
furry,fuzzy,a,a,Almost always.
dinosaur,hunt,a,a,Never
food,shopping,,,Often
draw,bridge,a,a,Rarely
bath,door,a,a,Almost always
triangle,piece,a,a,Almost always
baby,brother,a,a,Sometimes
purple,boxcar,a,a,Never
broken,arm,an,a,Rarely.
sickle,cell,a,a,Almost always
snow,boot,a,a,Often
orange,heart,a,an,Never
hot,chicken,a,a,Rarely
ash,tray,a,an,Never
radio,cassette,a,a,Rarely
gold,reindeer,a,a,Never
unbuttoned,jacket,a,an,Rarely
cigar,box,a,a,Rarely
frozen,water,,,Almost always.
red,fruit,a,a,Often
yellow,drum,a,a,Rarely.
lighter,hair,,,Often
mashed,potato,a,a,Often
oat,porridge,,,Often
festival,company,a,a,Sometimes
flat,piece,a,a,Almost always
college,downtown,a,a,Sometimes
pony,tail,a,a,Never
giant,thorn,a,a,Rarely
sunny,spot,a,a,Often
orange,pants,,,Rarely
vanilla,chocolate,,,Almost always
cheese,pizza,,,Almost always
circus,animal,an,a,Rarely.
plastic,circle,a,a,Often
chicken,dance,a,a,Sometimes
chicken,finger,a,a,Never
green,piece,a,a,Sometimes
green,salad,a,a,Often
brown,grey,,,Never
tea,bag,a,a,Never
top,floor,a,a,Almost always
dinosaur,movie,a,a,Sometimes
pink,lollypop,a,a,Often
fish,food,,,Sometimes
night,shirt,a,a,Rarely.
puppy,mom,a,a,Often
purple,sand,,,Rarely
yellow,train,a,a,Rarely
pepperoni,pizza,,,Often
yellow,leaf,a,a,Sometimes
mommy,deer,a,a,Often
ear,plug,a,an,Almost always.
bird,box,a,a,Rarely.
back,bedroom,a,a,Rarely.
food,pea,a,a,Often
adult,alligator,an,an,Almost always
broken,foot,a,a,Rarely.
soccer,player,a,a,Often
garbage,feast,a,a,Rarely.
red,cake,a,a,Rarely
wet,soaking,a,a,Almost always
bear,boob,a,a,Never
dam,bush,a,a,Rarely.
dead,guy,a,a,Never
face,pumpkin,a,a,Sometimes
primrose,oil,,,Never
top,bunk,a,a,Often
red,popsicle,a,a,Often
daddy,tape,a,a,Never
land,horse,a,a,Almost always
dog,collar,a,a,Often
turtle,tank,a,a,Often
yellow,key,a,a,Rarely
night,light,a,a,Often
book,honey,,,Never
top,gear,a,a,Almost always
pink,bird,a,a,Rarely
alloy,wheel,a,an,Often
brown,leaf,a,a,Sometimes
test,barometer,a,a,Never
baby,book,a,a,Sometimes
plum,pudding,,,Rarely
press,record,a,a,Often
green,apple,an,a,Often
workshop,downtown,a,a,Rarely
boy,voice,a,a,Sometimes
dirty,fox,a,a,Rarely
property,market,a,a,Sometimes
washing,powder,,,Almost always.
block,cheese,,,Often
pink,tube,a,a,Rarely
train,fare,a,a,Often
dead,obituary,an,a,Always
snow,man,a,a,Never
farmer,overalls,,,Often
roast,beef,,,Often
ironing,board,a,an,Rarely
broken,string,a,a,Rarely
wine,glasses,,,Sometimes
birth,date,a,a,Almost always
bottom,one,a,a,Never
spider,monkey,a,a,Often
farm,puppet,a,a,Rarely
wash,room,a,a,Almost always.
red,ball,a,a,Often.
dust,wagon,a,a,Rarely
gold,fish,a,a,Often
burnt,finger,a,a,Rarely
horse,box,a,a,Never
mummy,shout,a,a,Never
velcro,latch,a,a,Rarely
curb,stone,a,a,Rarely
batter,box,a,a,Never
trash,call,a,a,Rarely.
brown,patch,a,a,Sometimes
dust,ball,a,a,Rarely
toy,bus,a,a,Rarely
ginger,man,a,a,Rarely.
wood,sculpture,a,a,Sometimes
red,bug,a,a,Sometimes
baby,chair,a,a,Rarely
brick,fireplace,a,a,Often
candy,piece,a,a,Almost always
turkey,leg,a,a,Never
red,bucket,a,a,Rarely
pencil,box,a,a,Often
fat,fryer,a,a,Often
band,man,a,a,Rarely
spray,bottle,a,a,Often
unbuttoned,pants,,,Never
dirty,mama,a,a,Never
hot,curry,a,a,Often
red,piranha,a,a,Rarely
bear,family,a,a,Never
daddy,face,a,a,Rarely
yogurt,pudding,,,Sometimes
diaper,check,a,a,Never
mud,truck,a,a,Often
fish,shop,a,a,Often
mountain,bike,a,a,Often
exit,sign,a,an,Almost always
purple,food,,,Rarely
baby,cub,a,a,Almost always
food,restaurant,a,a,Almost always
bath,tub,a,a,Almost always
baseball,game,a,a,Often
treasure,chest,a,a,Rarely
red,bird,a,a,Sometimes
sweet,gift,a,a,Often
yellow,piece,a,a,Sometimes
dirty,piggy,a,a,Rarely
hot,soup,,,Almost always.
yellow,flower,a,a,Often
plastic,heron,a,a,Never
dark,bikini,a,a,Sometimes
garbage,collector,a,a,Rarely
hot,flaming,,,Always
light,hair,,,Often
back,corner,a,a,Sometimes
green,stripe,a,a,Sometimes
slippery,ice,,,Almost always
fat,boy,a,a,Sometimes
taller,bed,a,a,Often
color,paper,a,a,Rarely
bubble,container,a,a,Sometimes
tan,wig,a,a,Rarely
red,gecko,a,a,Rarely
red,puppy,a,a,Sometimes
brown,ant,an,a,Almost always
sweet,onion,an,a,Rarely
baby,worm,a,a,Rarely
water,swim,a,a,Almost always
fat,worm,a,a,Rarely
intercom,beep,a,an,Almost always
alarm,clock,a,an,Often
color,paint,,,Almost always
cotton,shirt,a,a,Often
hot,tot,a,a,Never
cauliflower,pea,a,a,Never
hot,wash,a,a,Often
ostrich,egg,an,an,Rarely
silver,green,,,Rarely
board,tile,a,a,Sometimes
pink,violet,a,a,Sometimes
dirty,nose,a,a,Rarely.
ant,path,a,an,Rarely
pumpkin,head,a,a,Never
quarter,teaspoon,a,a,Almost always
bright,paper,a,a,Rarely
heart,beat,a,a,Almost always
red,road,a,a,Never
hot,onion,an,a,Never
orange,bead,a,an,Sometimes
shaking,ball,a,a,Sometimes
orange,dinosaur,a,an,Rarely
daddy,bird,a,a,Rarely
green,marker,a,a,Often
daddy,rooster,a,a,Rarely
kitchen,table,a,a,Often
mackerel,fishing,,,Sometimes
green,pig,a,a,Never
top,tap,a,a,Almost always
pumpkin,farm,a,a,Sometimes
orange,tummy,a,an,Never
red,button,a,a,Sometimes
yellow,bowl,a,a,Sometimes
bottom,oven,an,a,Almost always
blowing,wind,,,Often
tiger,picture,a,a,Sometimes
street,sweeper,a,a,Often
entrance,door,a,an,Almost always
water,table,a,a,Never
rocket,shot,a,a,Rarely
beef,sandwich,a,a,Often
detective,show,a,a,Sometimes
pumpkin,pie,a,a,Often
green,moose,a,a,Rarely
orange,cat,a,an,Often
yellow,tongue,a,a,Rarely
purple,top,a,a,Sometimes
salmon,salad,a,a,Rarely
purple,captain,a,a,Never
bright,pink,,,Almost always
clown,hair,,,Rarely
report,card,a,a,Almost always
rainy,day,a,a,Sometimes
airline,pilot,a,an,Almost always
school,boy,a,a,Often
dragon,game,a,a,Sometimes
football,match,a,a,Almost Always
green,wreath,a,a,Often
molasses,swamp,a,a,Rarely
pink,rose,a,a,Often
home,daddy,a,a,Often
cutting,edge,an,a,Often
purple,eye,an,a,Rarely
green,kitty,a,a,Rarely
rail,ticket,a,a,Often
hay,cart,a,a,Rarely
wooden,platter,a,a,Sometimes
round,spot,a,a,Often
garden,furniture,,,Rarely
bar,bell,a,a,Almost Always
worm,belly,a,a,Never
pastel,pink,,,Often
prawn,sandwich,a,a,Rarely.
cabbage,plant,a,a,Sometimes
clock,tower,a,a,Often
sleeping,policeman,a,a,Never
thick,player,a,a,Rarely.
dog,beach,a,a,Rarely
fish,cracker,a,a,Never
outside,tap,a,an,Rarely.
bubble,gum,a,a,Often
letter,tile,a,a,Never
purple,spaghetti,,,Never
farmer,guy,a,a,Sometimes
cut,grass,,,Often
croquet,stroke,a,a,Never
hay,cookie,a,a,Rarely
green,ornament,an,a,Sometimes
water,tower,a,a,Rarely
plant,pot,a,a,Often
fat,roll,a,a,Almost always
brown,coconut,a,a,Almost always
purple,shoe,a,a,Rarely
giant,boy,a,a,Never
green,pepper,a,a,Often
purple,tail,a,a,Never
ogre,lady,a,an,Never
bow,colors,a,a,Sometimes
cross,bun,a,a,Often
red,punch,a,a,Rarely
pink,heart,a,a,Never
cat,scratching,,,Almost always.
peppermint,candy,,,Often
dirty,baby,a,a,Never
brown,mud,,,Almost always
food,board,a,a,Never
slot,machine,a,a,Almost Always
yellow,door,a,a,Rarely
dirty,diaper,a,a,Almost Always
roast,potato,a,a,Often
red,handle,a,a,Rarely
water,drip,a,a,Almost always
puppet,show,a,a,Rarely
yellow,bucket,a,a,Sometimes
yellow,banana,a,a,Almost always
pink,tutu,a,a,Often.
solar,battery,a,a,Rarely
ice,cream,,,Almost always
sugar,dough,,,Rarely
barbecue,recipe,a,a,Sometimes
orange,flag,a,an,Rarely
bunny,sleep,,,Never
box,toy,a,a,Sometimes
dirt,road,a,a,Rarely
orange,dot,a,an,Rarely.
tape,player,a,a,Never
broken,egg,an,a,Rarely
daddy,foot,a,a,Never
mommy,chin,a,a,Never
green,coat,a,a,Sometimes
night,moon,a,a,Almost always
brown,suite,a,a,Rarely
giant,committee,a,a,Rarely
sweet,honey,,,Almost always
school,room,a,a,Sometimes
giant,skyscraper,a,a,Often
trash,book,a,a,Rarely
top,row,a,a,Almost always
pink,coat,a,a,Rarely
mud,pile,a,a,Rarely
mommy,worm,a,a,Never
farm,cat,a,a,Rarely
crayon,pile,a,a,Never
green,melon,a,a,Almost always
aloe,plant,a,an,Almost always
icy,coast,a,an,Rarely
refrigerator,door,a,a,Never
baby,pig,a,a,Often
fire,grate,a,a,Often
yellow,flag,a,a,Rarely
baby,wipe,a,a,Almost always
engine,train,a,an,Almost always
fuzzy,peach,a,a,Often
dirty,straw,a,a,Rarely.
bleach,water,,,Never
fishing,pole,a,a,Often
snow,shovel,a,a,Often
oven,top,a,an,Almost always
yellow,reindeer,a,a,Never
red,man,a,a,Never
girl,doctor,a,a,Almost always.
fat,doctor,a,a,Rarely
brain,rot,,,Never
red,hand,a,a,Never
fat,face,a,a,Rarely
knee,joint,a,a,Often
food,processor,a,a,Never
committee,report,a,a,Sometimes
dirty,one,a,a,Never.
green,hoop,a,a,Rarely
wet,washing,,,Almost always
top,oven,an,a,Often
strawberry,juice,,,Sometimes
cheddar,cracker,a,a,Often
slipper,sock,a,a,Sometimes
capital,letter,a,a,Almost always
ground,almond,an,a,Almost always
vanilla,pudding,,,Almost always
shower,tray,a,a,Almost always.
tracksuit,bottom,a,a,Sometimes
dirty,park,a,a,Sometimes
green,door,a,a,Rarely
sweet,boy,a,a,Often
red,reindeer,a,a,Rarely
red,train,a,a,Sometimes
broken,leg,a,a,Rarely.
brown,gravy,,,Almost always
smoke,salmon,,,Often
cigarette,carton,a,a,Never
brass,drum,a,a,Rarely
baby,booty,a,a,Never
dirty,shirt,a,a,Rarely.
purple,triangle,a,a,Rarely
bright,moonlight,,,Often
icecream,scoop,a,an,Almost always.
sliced,cheese,,,Often
sweet,cocoa,,,Almost Always
van,window,a,a,Never
bunny,clothes,,,Rarely.
orange,tail,a,an,Rarely
bead,string,a,a,Often
mirror,piece,a,a,Almost always
yellow,guy,a,a,Never
food,bowl,a,a,Almost always.
red,foot,a,a,Never
bird,nest,a,a,Often
color,clothes,,,Almost Always
elephant,puzzle,a,an,Rarely
window,frame,a,a,Often
pink,snail,a,a,Rarely
blind,mom,a,a,Rarely
teddy,workshop,a,a,Rarely
rabbit,stew,a,a,Rarely
purple,horn,a,a,Never
puzzle,book,a,a,Rarely
farm,animal,an,a,Often
tiger,baby,a,a,Never
wet,whisker,a,a,Sometimes
tube,company,a,a,Rarely
steel,worker,a,a,Sometimes
yellow,brush,a,a,Rarely
orange,leg,a,an,Never
green,spider,a,a,Rarely
jump,rope,a,a,Often
bright,beak,a,a,Sometimes
brown,path,a,a,Sometimes
naked,person,a,a,Never
furry,bear,a,a,Almost always
green,cactus,a,a,Almost always
soldier,crab,a,a,Rarely
purple,turtle,a,a,Rarely
plastic,metal,,,Never
juicy,meat,a,a,Often
yellow,rake,a,a,Rarely
pink,pig,a,a,Often
mama,elephant,an,a,Often
baby,sock,a,a,Often
green,shell,a,a,Sometimes
room,clock,a,a,Often
fish,skeleton,a,a,Never
mutton,head,a,a,Never
strawberry,color,a,a,Sometimes
chicken,coop,a,a,Almost always
curtain,ring,a,a,Rarely
manor,ground,,,Never
hill,riding,,,Sometimes
paddle,wheel,a,a,Never
country,mouse,a,a,Rarely
purple,saber,a,a,Rarely
red,kite,a,a,Sometimes
baby,monkey,a,a,Almost always.
rubber,book,a,a,Never
sun,block,a,a,Almost always
mantel,fire,,,Never
porcelain,doll,a,a,Rarely
cut,dude,a,a,Often
quarter,moon,a,a,Sometimes
pink,pickle,a,a,Rarely
