adjective,noun,mean
ball,bat,4.5
ball,bearing,4
ball,bounce,4.5
ball,bunny,1.5
ball,game,4.333333333333333
ball,hang,1
ball,man,2
ball,mitt,3.6666666666666665
ball,pie,1
ball,player,3.3333333333333335
ball,stage,1.5
ball,tent,1.6666666666666667
ballet,dress,2.6666666666666665
ballet,skirt,2.6666666666666665
ballet,slipper,3
balloon,head,2.3333333333333335
balloon,popping,2
balloon,streamer,3
ballroom,dancing,3.25
bamboo,shoot,3.3333333333333335
banana,apple,1.5
banana,bread,2.6666666666666665
banana,chip,2
banana,mess,2
banana,sundae,3
banana,tree,2.6666666666666665
band,man,2.6666666666666665
bank,account,3.5
bank,card,4
bank,manager,2.75
bank,note,4
bar,bell,3
bar,lounge,3
bar,staff,3
barbecue,recipe,2.5
barge,person,2
barn,door,2.6666666666666665
baseball,bat,4.333333333333333
baseball,game,3.3333333333333335
basket,ball,2.6666666666666665
basket,game,3
basketball,hoop,2.5
bat,file,1.3333333333333333
bath,door,3
bath,drain,3.6666666666666665
bath,room,3.3333333333333335
bath,tile,3.3333333333333335
bath,toy,2.6666666666666665
bath,tub,5.666666666666667
bathing,suit,3.3333333333333335
bathroom,ceiling,3
bathroom,room,3
bathroom,shop,1
bathroom,suite,3
bathroom,window,3
batman,shoe,2
batter,box,2.5
battery,battery,1.5
battery,drawer,2.5
battery,game,2.3333333333333335
battle,field,2.3333333333333335
bay,window,2.75
beach,ball,3
beach,token,1.75
bead,string,2.6666666666666665
bean,bag,2.6666666666666665
bean,ball,2.3333333333333335
bean,dish,3
bean,plant,2.5
bean,sprout,3.25
bear,ballerina,1
bear,boob,2
bear,book,2
bear,brother,2
bear,cave,3
bear,coat,2
bear,cookie,2.25
bear,costume,2.3333333333333335
bear,cry,2
bear,crying,1.5
bear,cub,5
bear,eye,3
bear,face,2.5
bear,family,2.3333333333333335
bear,float,2
bear,growl,2.3333333333333335
bear,head,2.5
bear,home,2
bear,hunt,3
bear,hunter,3.5
bear,jump,2.3333333333333335
bear,mama,2
bear,mask,2.3333333333333335
bear,mitten,1.6666666666666667
bear,pants,1.6666666666666667
bear,puzzle,2
bear,rabbit,1
bear,shoe,1.25
bear,sleep,2.3333333333333335
bear,sleeping,3
bear,suit,2
bear,swimming,1.6666666666666667
bear,teddy,2
bear,tooth,2.6666666666666665
bear,track,1.5
bear,walking,2.3333333333333335
bear,workshop,2
bed,bed,1
bed,breakfast,2
bed,closet,2.6666666666666665
bed,explorer,1.3333333333333333
bed,room,3.6666666666666665
bed,sheet,3.5
bedding,plant,2.5
bedroom,bathroom,2.25
bedroom,bungalow,2.6666666666666665
bedroom,flat,3.25
bedroom,house,4.5
bedroom,room,3.3333333333333335
bedroom,window,3.6666666666666665
bedside,table,2.75
beef,hash,3.3333333333333335
beef,sandwich,3
beep,beep,3
beetle,family,2.5
beetle,game,2
bell,sleigh,1.6666666666666667
bell,sticker,2
belly,button,2.6666666666666665
beluga,whale,3.3333333333333335
berry,patch,2.5
bible,book,3.3333333333333335
bible,road,1.5
bible,school,3
bicycle,store,2.5
bike,ride,3
bike,riding,3
bin,liner,3
bingo,game,2.5
bird,bath,2
bird,box,2
bird,cage,4
bird,cave,2.5
bird,colors,3
bird,girl,2
bird,nest,4.333333333333333
birth,date,4
birth,day,4.25
birth,month,7
birth,present,3.5
bite,mark,3.25
blackberry,patch,2.5
bleach,water,2
bleeding,cooker,1.3333333333333333
bleeding,finger,3
bleeding,head,2.3333333333333335
bleeding,phone,1
bleeding,pocket,1
bleeding,shave,2.5
blind,case,2.6666666666666665
blind,corner,3
blind,eye,2.3333333333333335
blind,mom,2.3333333333333335
blind,mommy,2
blind,mouse,2
blind,person,2.5
blind,spot,2.6666666666666665
blob,cookie,1.5
block,building,3.3333333333333335
block,cheese,3.5
block,house,3
blond,boy,3.5
blond,captain,3
blond,girl,3
blond,hair,3.5
blonde,hair,3.5
blonde,one,3
blood,cell,4
blood,check,2
blood,checker,1.6666666666666667
blood,test,3.6666666666666665
blood,vessel,5.5
bloody,coconut,1.6666666666666667
bloody,day,2
bloody,nose,2.6666666666666665
blooming,boiler,1
blooming,herb,3.5
blooming,month,2.6666666666666665
blowing,bubble,3.25
blowing,kiss,2.3333333333333335
blowing,nose,3
blowing,wind,6
blueberry,bar,3
blueberry,juice,2.6666666666666665
blueberry,pie,3
blueberry,tea,3
boa,constrictor,6
board,book,3
board,instrument,2
board,rubber,1.5
board,tile,3.3333333333333335
boat,person,2
boat,singing,1
body,clock,2.6666666666666665
body,puppet,2.3333333333333335
body,shop,2.3333333333333335
body,wash,3.6666666666666665
boiling,pot,3.75
book,paperback,6.333333333333333
book,sticker,2.3333333333333335
book,token,1.5
book,tray,2.6666666666666665
bottom,baby,2
bottom,bar,2.6666666666666665
bottom,bunk,4.333333333333333
bottom,corner,3
bottom,cover,3
bottom,cupboard,3.3333333333333335
bottom,dollar,2.25
bottom,drawer,4
bottom,edge,2.6666666666666665
bottom,floor,3.5
bottom,hair,3
bottom,jaw,3.6666666666666665
bottom,light,2.75
bottom,lip,4
bottom,one,2
bottom,oven,2.6666666666666665
bottom,picture,3
bottom,piece,3
bottom,row,3
bottom,shelf,3.5
bottom,stair,2.6666666666666665
bottom,tooth,3.75
bouncing,ball,5
bouncing,spot,2.3333333333333335
bow,colors,2
bow,honey,2
bow,tie,3.6666666666666665
bowl,bud,1
bowler,hat,2.6666666666666665
bowling,alley,3.25
bowling,ball,2.3333333333333335
bowling,green,1
bowling,pin,3.5
box,cooler,3
box,office,2.6666666666666665
box,tape,3
box,toy,2.5
boxing,glove,3
boy,baby,4
boy,bear,3.6666666666666665
boy,bed,3.3333333333333335
boy,bike,4
boy,cup,2.75
boy,doctor,2
boy,drink,2.75
boy,fuel,1.3333333333333333
boy,kiss,4.5
boy,mouth,3
boy,pants,3.5
boy,seat,2
boy,sock,3.3333333333333335
boy,stage,1
boy,swing,2.5
boy,tiger,3.6666666666666665
boy,tooth,3.3333333333333335
boy,voice,4
braid,hair,3
brain,rot,2
brake,drum,3.25
brake,dust,2.3333333333333335
brake,fluid,3
brake,light,2.6666666666666665
brake,pad,3
brandy,butter,2
brass,dart,2.6666666666666665
brass,drum,4.25
brass,plate,5
brass,wire,2.6666666666666665
bread,basket,2.6666666666666665
bread,box,3.5
bread,crust,3.6666666666666665
bread,dough,4.333333333333333
bread,knife,3
bread,pasta,2.6666666666666665
bread,roll,3.6666666666666665
breakfast,bar,3
breakfast,cereal,5.25
breakfast,egg,3.6666666666666665
breast,lump,2
brick,fire,2
brick,fireplace,5.333333333333333
brick,house,4
brick,piece,2.5
brick,wall,3.6666666666666665
bridesmaid,dress,2.75
bridge,car,2
bridge,piece,2.3333333333333335
bright,beak,2.6666666666666665
bright,beer,2
bright,boy,3.5
bright,child,2
bright,color,4
bright,colors,4
bright,crayon,4
bright,feather,3
bright,hair,3
bright,lad,4
bright,leaf,3
bright,light,5.25
bright,man,3
bright,moonlight,3.3333333333333335
bright,orange,3.3333333333333335
bright,paper,3.6666666666666665
bright,picture,3.5
bright,pink,3.3333333333333335
bright,punch,2.3333333333333335
bright,red,3
bright,shirt,4
bright,spot,3
bright,star,5
bright,sun,5.333333333333333
bright,tail,2.5
bright,tomato,3
broken,arm,2.5
broken,bag,2.5
broken,balloon,3
broken,bat,2.5
broken,bone,3
broken,bridge,2.25
broken,car,3
broken,cracker,3
broken,crayon,2.75
broken,door,2.75
broken,egg,3
broken,foot,2
broken,leg,2.5
broken,neck,2
broken,pen,3
broken,piece,3
broken,ride,2.6666666666666665
broken,string,3
broken,toe,2.6666666666666665
broken,toenail,2.5
broken,tool,3
broken,toy,3
broken,tv,2.75
bronze,sword,3.3333333333333335
broom,sweep,2
brother,bunny,2.6666666666666665
brother,chick,3.5
brother,drive,1
brother,tiger,2.6666666666666665
brown,ale,3
brown,ant,4.333333333333333
brown,baby,3.6666666666666665
brown,bag,3.75
brown,barn,2.6666666666666665
brown,basket,4.25
brown,bear,5.333333333333333
brown,beard,4.5
brown,belt,3.6666666666666665
brown,blanket,3
brown,bottom,2
brown,bread,4.666666666666667
brown,cap,3.6666666666666665
brown,circle,2.3333333333333335
brown,clump,2.5
brown,coconut,6
brown,coffee,6
brown,cookie,5
brown,cow,5
brown,crayon,2.3333333333333335
brown,dirt,6
brown,dog,3.75
brown,doggie,3.6666666666666665
brown,dot,2.6666666666666665
brown,egg,3.3333333333333335
brown,eye,3.6666666666666665
brown,floor,3.75
brown,fur,4.333333333333333
brown,gravy,4.75
brown,grey,2
brown,guy,3.6666666666666665
brown,hair,3.6666666666666665
brown,hill,3
brown,horse,4.25
brown,leaf,3
brown,lettuce,2
brown,lid,3
brown,marker,3
brown,mommy,2.6666666666666665
brown,monkey,5
brown,mountain,3.5
brown,mud,5.333333333333333
brown,oatmeal,6
brown,page,2.75
brown,paper,3
brown,patch,3
brown,path,4.333333333333333
brown,penny,6.666666666666667
brown,person,3.3333333333333335
brown,piece,2.6666666666666665
brown,pumpkin,2
brown,ribbon,2.5
brown,sauce,3
brown,shirt,2.75
brown,shoe,3.6666666666666665
brown,shorts,3
brown,spot,3
brown,squirrel,4.5
brown,stick,5.333333333333333
brown,sugar,3.3333333333333335
brown,suit,3.3333333333333335
brown,suite,2
brown,sweater,2.6666666666666665
brown,syrup,4.5
brown,table,3.5
brown,tail,3
brown,teddy,3
brown,train,2.6666666666666665
brown,tree,4.5
brown,trunk,3.5
brown,wig,4
brown,wing,1.5
brown,writing,2
brush,hair,2.3333333333333335
brush,handle,2.75
brush,head,2.6666666666666665
bubble,bath,2.6666666666666665
bubble,blow,2.25
bubble,blower,2.5
bubble,clown,2.25
bubble,container,2
bubble,flavor,1
bubble,game,2.25
bubble,gum,6
bubble,gun,1.5
bubble,juice,2
bubble,lawn,1.5
bubble,maker,2.6666666666666665
bubble,mixer,3
bubble,soap,3
bubble,soup,1
bubble,wand,1.6666666666666667
bubble,world,1.6666666666666667
bubble,wrap,3.5
buffalo,letter,1
bug,bite,3.3333333333333335
bug,book,2.5
bug,lift,1
bug,spray,3.3333333333333335
buggy,eye,2
building,block,3.6666666666666665
building,downtown,2.3333333333333335
building,marker,2
bull,ant,2.3333333333333335
bull,frog,3
bulletin,board,2.3333333333333335
bum,worker,1.5
bunny,bear,1
bunny,blanket,2.5
bunny,book,2
bunny,clothes,2
bunny,cloud,1.5
bunny,colors,3
bunny,costume,2.5
bunny,ear,2.6666666666666665
bunny,hole,2.75
bunny,jumping,2.6666666666666665
bunny,mama,3.3333333333333335
bunny,mask,2.5
bunny,rabbit,6.75
bunny,show,2
bunny,sleep,3
bunny,sleeping,2.6666666666666665
bunny,slipper,2.6666666666666665
bunny,window,1.3333333333333333
burger,bar,1.6666666666666667
burglar,alarm,4
burnt,charcoal,4.666666666666667
burnt,cookie,2
burnt,finger,2
burnt,rubber,2.75
burnt,toast,3
burnt,toasted,2.5
bus,driver,2.5
bus,fare,4.25
bus,park,2
bus,puzzle,2
bus,ride,3.3333333333333335
bus,ticket,3
butt,cheek,3.75
butter,cup,2.3333333333333335
butter,mouth,1.5
butter,puddle,1.3333333333333333
butter,sandwich,2.3333333333333335
butterfly,cake,2.3333333333333335
butterfly,catcher,2
cabbage,leaf,2
cabbage,plant,2
cable,run,1.5
cake,baby,2
cake,shop,3
cake,stall,1.6666666666666667
calendar,book,2.6666666666666665
calendar,date,3
call,box,5.333333333333333
call,line,3
camera,eye,2
camera,man,2.3333333333333335
camp,egg,1
camp,fire,3
camp,tray,2
camping,school,2
candy,apple,3
candy,bag,3
candy,bar,3.5
candy,cane,2.75
candy,corn,2
candy,dish,3
candy,gum,4
candy,gumball,6
candy,house,2
candy,machine,2.3333333333333335
candy,man,2.5
candy,piece,2.6666666666666665
cannon,ball,2.3333333333333335
capital,letter,3.25
car,boot,2.6666666666666665
car,carrier,2.25
car,door,4
car,driver,6
car,engine,4.5
car,ferry,2
car,green,2
car,mat,3
car,park,2.3333333333333335
car,parking,6
car,seat,4
car,stair,1
car,station,3
car,tire,5
car,track,2.5
car,transporter,4
caramel,cluster,2.6666666666666665
caramel,sauce,2.3333333333333335
carat,ring,3.5
caravan,season,2
card,basket,2.5
card,game,3
card,table,3
cardboard,box,4.333333333333333
cardboard,cylinder,3
cardboard,house,1.6666666666666667
cargo,car,2
cargo,ship,3
carp,family,2.3333333333333335
carpet,shampoo,2.6666666666666665
carpet,shop,2.6666666666666665
carpet,tile,2.3333333333333335
carrier,bag,3.5
carrot,cake,2.75
carrot,peel,2.5
carrot,stick,2.3333333333333335
cartoon,ring,2
case,letter,3
cash,book,3
cash,till,3
casserole,dish,3
cast,iron,3.6666666666666665
castle,book,2.3333333333333335
castle,puzzle,2
cat,flap,2.5
cat,food,3
cat,hair,2.75
cat,litter,3
cat,product,2
cat,scratching,3.6666666666666665
cataract,operation,2
caterpillar,walking,2
cathedral,choir,3.5
cathedral,window,2.75
cauliflower,pea,1
ceiling,rose,1.25
ceiling,tile,3.5
cell,phone,5
cellar,door,2.6666666666666665
cellar,key,2.5
cement,truck,2.3333333333333335
cereal,box,2.3333333333333335
chain,saw,4
chair,boy,1.5
chair,seat,3.5
chalk,board,2.6666666666666665
chalk,bucket,1.5
chalk,duster,1.5
chamber,pot,3.6666666666666665
chap,advertising,2.3333333333333335
chap,queen,1
charcoal,grill,4.5
check,cap,1.6666666666666667
check,mark,4
check,shirt,1
checkout,girl,3
cheddar,bunny,2
cheddar,cracker,3
cheese,bag,2.3333333333333335
cheese,ball,2.25
cheese,packet,2.3333333333333335
cheese,pie,2
cheese,pizza,4.25
cheese,sandwich,3.5
cheese,sauce,3
cheese,slice,3.75
cheese,stick,2.6666666666666665
cheese,water,1.5
cherry,pie,3.75
cherry,popsicle,3.3333333333333335
cherry,tomato,3.3333333333333335
cherry,vanilla,2.3333333333333335
chest,paddling,2.5
chest,plate,2.3333333333333335
chicken,coop,5.666666666666667
chicken,dance,2
chicken,finger,2.5
chicken,mushroom,1
chicken,noodle,3
chicken,nugget,4
chicken,prawn,2
chicken,wing,4.5
chief,accountant,2.6666666666666665
chief,advisor,2.3333333333333335
chief,art,2
child,person,3
child,seat,2.75
children,adult,1
children,book,3.5
children,slip,1.5
chip,cookie,3.3333333333333335
chip,machine,2.25
chip,pan,1.6666666666666667
chip,shop,2
chocolate,bar,3.5
chocolate,cake,3.3333333333333335
chocolate,chip,3.3333333333333335
chocolate,cookie,4.333333333333333
chocolate,dough,2.5
chocolate,eclair,5
chocolate,frog,1.5
chocolate,fry,1.5
chocolate,ice,2
chocolate,log,2.25
chocolate,lollipop,2
chocolate,milk,3.6666666666666665
chocolate,raisin,2.6666666666666665
chocolate,sandwich,2
choir,boy,2
chopper,honey,1
church,minister,6
church,warden,2.5
cigar,box,2.5
cigar,smoke,2.5
cigar,smoking,3.75
cigarette,carton,4
cigarette,smoke,4.25
cigarette,smoking,5.25
cinnamon,roll,4.25
cinnamon,stick,2.5
circle,drawing,3
circle,piece,2.5
circle,puppy,1
circle,puzzle,2.3333333333333335
circus,animal,2.5
circus,baby,1.5
circus,bus,2
circus,car,2
circus,man,2
circus,officer,1.75
circus,police,1
circus,tent,3
circus,train,2
circus,truck,2
city,mouse,4.25
classroom,window,3
climbing,stair,4
clock,book,1
clock,piece,2.6666666666666665
clock,tower,3
closet,chair,2
closet,door,2.6666666666666665
cloth,heart,1.6666666666666667
cloth,mum,2
clothes,basket,3.6666666666666665
clothes,furnishing,1
clothes,hamper,5.666666666666667
clothes,line,2.6666666666666665
cloud,smoke,3
cloudy,day,3.5
clown,hair,2
clown,nose,2.6666666666666665
clown,piece,2
coal,block,1.6666666666666667
coal,tender,2.3333333333333335
coat,hanger,4
cock,bird,2.5
cock,eye,1.6666666666666667
cocktail,bar,3.3333333333333335
cocktail,side,2
cod,oil,2
cod,taste,2
coffee,bean,3
coffee,break,3.6666666666666665
coffee,cake,2.6666666666666665
coffee,cup,3
coffee,grinder,3
coffee,machine,3
coffee,milk,3
coffee,pot,3.6666666666666665
coffee,tea,1.3333333333333333
coke,cast,1.5
collar,management,2
college,building,2.6666666666666665
college,downtown,3
college,lecturer,4.5
color,block,2.5
color,book,2.75
color,candy,3
color,circle,3.5
color,clothes,4.666666666666667
color,green,7
color,grey,5.666666666666667
color,knight,1.75
color,leg,2
color,marker,3.3333333333333335
color,orange,4.75
color,page,3
color,paint,6.666666666666667
color,paper,2.6666666666666665
color,petal,3.3333333333333335
color,popsicle,4.333333333333333
color,purple,7
color,rain,1
color,salt,2
color,sand,2.6666666666666665
color,skirt,5
color,stripe,3
colored,dot,3.5
colored,glue,1.75
colored,green,5.666666666666667
colored,paper,3.25
colored,ring,4
colored,water,2.5
colored,worm,3.6666666666666665
colors,green,7
colors,match,1
comb,brooch,2.5
comforter,cover,3.6666666666666665
committee,report,5
company,software,3.25
compost,pile,2.6666666666666665
computer,game,3.3333333333333335
computer,man,3.3333333333333335
computer,person,3
computer,scientist,3.6666666666666665
concrete,cake,1
concrete,driveway,4.5
concrete,floor,4
concrete,path,3
conveyor,belt,3.5
cooker,gas,3
cooker,point,1
cookie,bake,3
cookie,blob,2.3333333333333335
cookie,crumb,3
cookie,cutter,4
cookie,day,2.25
cookie,dough,3.3333333333333335
cookie,dragon,1.6666666666666667
cookie,jar,3.3333333333333335
cookie,sandwich,2
cookie,sheet,2.6666666666666665
cooking,breakfast,3
cooking,chocolate,3.3333333333333335
cooking,meal,3.5
cooler,outfit,2.3333333333333335
copper,dagger,2.6666666666666665
copy,cat,3
coral,bed,2.6666666666666665
coral,piece,2.25
coral,reef,4.333333333333333
coral,snake,2.6666666666666665
cork,tile,2
corn,cookie,1.5
corn,fan,1.3333333333333333
corn,movie,2
corner,house,2.6666666666666665
corner,piece,3
cottage,cheese,3.5
cotton,ball,2
cotton,candy,3.25
cotton,lining,2.6666666666666665
cotton,shirt,5
cough,drop,3.3333333333333335
cough,medicine,2.6666666666666665
cough,syrup,3.3333333333333335
country,air,2.6666666666666665
country,house,3
country,lane,3.5
country,mansion,3
country,mouse,3
country,music,3
country,road,3.25
countryside,breathing,3
couple,piece,1.5
couple,stair,2.5
cow,boy,1.5
cow,manure,4.666666666666667
crab,line,2.5
cracker,box,2.6666666666666665
cracker,sandwich,2.3333333333333335
cranberry,juice,4
crane,station,2
crayon,pile,2.5
cream,cake,2.75
cream,cheese,3
cream,chocolate,3
cream,cone,2.5
cream,sandwich,2.6666666666666665
cream,taste,2.6666666666666665
cream,truck,2
cream,tub,2
crease,mark,3
crescent,moon,2.5
crescent,snake,1.6666666666666667
crispy,brown,3
crispy,patty,3
crispy,piece,2.3333333333333335
crispy,worm,2
crocodile,dinner,1.6666666666666667
croquet,stroke,2
cross,bun,2.5
crusty,loaf,3.6666666666666665
crusty,roll,3
crusty,top,2.25
cry,baby,4.5
cry,grandma,2.5
crystal,cave,2.3333333333333335
crystal,piece,2.3333333333333335
cub,group,2
cuckoo,clock,2.3333333333333335
cum,store,1.5
cup,cake,3.5
cup,honey,2
cup,mom,2
cup,mommy,1
cup,sugar,2
cup,sweet,1.5
cupboard,door,2.6666666666666665
curb,stone,3
curling,brush,3
curling,tong,2
curly,boy,2
curly,hair,3
curly,head,2.6666666666666665
curly,string,3
curly,tail,2.3333333333333335
curry,rice,2.75
cursive,letter,3.3333333333333335
curtain,rail,3
curtain,ring,2.6666666666666665
curtain,window,3
curve,piece,2.75
cut,apple,2.6666666666666665
cut,bread,4
cut,dude,2.3333333333333335
cut,glass,4
cut,grass,5
cut,hair,4.5
cut,piece,3
cut,stick,3
cut,tree,3
cut,trunk,2
cutter,hedge,2
cutter,mom,1
cutting,board,4.25
cutting,edge,3
cylinder,gas,2.3333333333333335
dad,hand,3.5
daddy,award,2.3333333333333335
daddy,bear,3
daddy,bird,3.3333333333333335
daddy,book,3
daddy,bug,3
daddy,burp,3
daddy,car,3
daddy,card,1.6666666666666667
daddy,chair,2
daddy,chin,2.5
daddy,church,1
daddy,company,3.5
daddy,cow,4
daddy,crown,1.6666666666666667
daddy,dinosaur,3
daddy,drive,2
daddy,ear,2.3333333333333335
daddy,elephant,3.3333333333333335
daddy,face,3.3333333333333335
daddy,fish,3
daddy,foot,4
daddy,glasses,2.3333333333333335
daddy,gorilla,3.6666666666666665
daddy,hand,3
daddy,headache,3.5
daddy,hippo,3
daddy,horse,3.6666666666666665
daddy,house,3
daddy,key,1.5
daddy,king,5.666666666666667
daddy,kiss,2.3333333333333335
daddy,lion,3.6666666666666665
daddy,mom,1
daddy,picture,2.6666666666666665
daddy,pirate,3.6666666666666665
daddy,pop,1.5
daddy,rooster,5
daddy,sings,3.5
daddy,tiger,3
daddy,travels,3
daddy,waffle,1.6666666666666667
daddy,yell,2.5
dairy,barn,3.5
dalmatian,dog,2.75
dam,bush,2
dance,contest,3
dance,floor,2.6666666666666665
dance,music,4
dance,room,3
dancing,bud,2
dancing,honey,1
dancing,shoe,2.5
dancing,troop,2.5
dark,ball,3.3333333333333335
dark,bath,1.3333333333333333
dark,bikini,3.3333333333333335
dark,brown,3.6666666666666665
dark,ceiling,3.6666666666666665
dark,chap,2
dark,cloud,4
dark,color,4
dark,eye,4.5
dark,flower,3.3333333333333335
dark,food,3.6666666666666665
dark,forest,3
dark,glasses,3
dark,green,4
dark,hair,3.75
dark,leaf,3.6666666666666665
dark,light,2.5
dark,line,4.333333333333333
dark,lollipop,3
dark,lounge,2.6666666666666665
dark,mulch,4.5
dark,night,5.333333333333333
dark,orange,3
dark,paint,4
dark,pet,3.3333333333333335
dark,picture,3
dark,pink,3
dark,purple,3.3333333333333335
dark,rabbit,3
dark,ring,2.6666666666666665
dark,rock,3.25
dark,room,3.6666666666666665
dark,screen,3.3333333333333335
dark,shadow,6.25
dark,side,3.25
dark,sky,3
dark,snake,4
dark,suit,4.333333333333333
dark,sun,2
dark,tunnel,3.5
dark,turquoise,3
dark,woods,3.5
dark,yard,3.3333333333333335
dart,board,3
day,break,2.6666666666666665
day,game,3.3333333333333335
day,mom,3
day,mother,2
day,pastor,2.6666666666666665
day,person,4
day,school,5
dead,ant,3
dead,baby,2.3333333333333335
dead,battery,3
dead,brain,2.6666666666666665
dead,brother,3
dead,bug,4
dead,cereal,1
dead,dad,3
dead,fish,3.75
dead,flower,2.3333333333333335
dead,fly,3.5
dead,guy,3
dead,horse,3
dead,leaf,3.75
dead,light,3
dead,lip,3
dead,man,3
dead,mommy,3
dead,obituary,4
dead,one,2.5
dead,ornament,1.6666666666666667
dead,person,3.25
dead,plant,3
dead,puppy,2.3333333333333335
dead,rocket,1.6666666666666667
dead,skin,2.6666666666666665
dead,turtle,2.75
dead,worm,3
dentist,skip,1.5
derby,girl,2.3333333333333335
detective,show,2.6666666666666665
diamond,button,1.6666666666666667
diamond,piece,2.3333333333333335
diamond,ring,4.25
diamond,rock,2.25
diaper,baby,5.5
diaper,check,1.5
diaper,wipe,4
dictionary,publisher,2.3333333333333335
dictionary,writer,2
dig,hole,4.5
digger,truck,2.5
dill,pickle,5.5
diner,honey,2
