adjective,noun,article,adj_article,llama_base_judgment
kettle,drum,a,a,rarely
baby,bunny,a,a,sometimes
closet,door,a,a,never
brown,bread,,,almost always
corn,fan,a,a,often
pink,noodle,a,a,never
purple,bunny,a,a,almost always
chip,cookie,a,a,often
green,airplane,an,a,about half the time
corner,house,a,a,sometimes
bottom,cupboard,a,a,almost always
poison,berry,a,a,rarely
plastic,bottle,a,a,almost always
pink,bubblegum,,,often
yellow,pants,,,sometimes
cell,phone,a,a,about half the time
yellow,overalls,,,never
fruit,sherry,,,almost always
cellar,key,a,a,never
tire,swing,a,a,sometimes
mommy,squirrel,a,a,about half the time
round,case,a,a,about half the time
baby,food,,,often
night,armadillo,an,a,almost always
orange,box,a,an,almost always
back,alley,an,a,often
paper,cup,a,a,rarely
pound,note,a,a,almost always
vegetable,salad,a,a,often
college,lecturer,a,a,often
yellow,submarine,a,a,rarely
bunny,rabbit,a,a,about half the time
water,board,a,a,never
ear,infection,an,an,about half the time
baby,piggy,a,a,often
pecan,cluster,a,a,sometimes
yellow,man,a,a,rarely
green,jungle,a,a,never
broken,bag,a,a,sometimes
nail,polish,,,often
dead,fish,a,a,rarely
pregnant,person,a,a,sometimes
thick,wood,,,often
sea,green,,,often
carrot,peel,a,a,about half the time
yarn,basket,a,a,almost always
walk,path,a,a,rarely
purple,star,a,a,never
eight,piece,a,an,rarely
bed,sheet,a,a,almost always
pill,box,a,a,almost always
blackberry,patch,a,a,often
fuzzy,teddy,a,a,often
red,color,a,a,often
hind,leg,a,a,almost always
jungle,gym,a,a,sometimes
dirty,player,a,a,never
curtain,window,a,a,often
cigar,smoke,,,almost always
baby,boy,a,a,often
orange,sweater,a,an,sometimes
fudge,sundae,a,a,never
knitting,basket,a,a,never
water,melon,a,a,sometimes
garlic,bread,,,never
pole,light,a,a,about half the time
brown,syrup,,,almost always
crispy,patty,a,a,often
crescent,moon,a,a,about half the time
gun,guard,a,a,almost always
bingo,game,a,a,almost always
marble,arch,an,a,always
toy,train,a,a,sometimes
dead,puppy,a,a,never
red,clay,,,about half the time
silky,blanket,a,a,rarely
door,valve,a,a,never
plant,root,a,a,always
mommy,fish,a,a,never
pirate,flag,a,a,rarely
broken,balloon,a,a,rarely
bright,orange,an,a,always
red,scissors,,,almost always
egg,soup,,,rarely
fish,aquarium,an,a,about half the time
clothes,basket,a,a,never
garden,tool,a,a,rarely
sleep,walk,a,a,often
blood,cell,a,a,sometimes
baby,ostrich,an,a,sometimes
dinner,table,a,a,often
purple,noodle,a,a,sometimes
cast,iron,an,a,almost always
cry,baby,a,a,almost always
baby,sheep,a,a,rarely
green,room,a,a,never
grey,boot,a,a,sometimes
pink,yogurt,,,rarely
pirate,movie,a,a,often
pink,shoe,a,a,about half the time
wooden,hammer,a,a,never
pet,toy,a,a,rarely
frozen,bean,a,a,never
fat,elephant,an,a,almost always
dogs,biscuit,a,a,never
hot,coffee,,,almost always
purple,lipstick,,,almost always
stew,pot,a,a,never
brown,table,a,a,rarely
jellyfish,family,a,a,never
sleeping,bag,a,a,rarely
hot,piggy,a,a,sometimes
multicolored,sign,a,a,about half the time
dog,poop,,,often
farm,movie,a,a,sometimes
green,hat,a,a,rarely
green,flag,a,a,never
navy,coat,a,a,often
microwave,lid,a,a,often
flat,roof,a,a,often
green,park,a,a,often
red,stair,a,a,rarely
path,hedge,a,a,rarely
plastic,track,a,a,often
dirty,banana,a,a,never
alphabet,block,a,an,never
baby,parrot,a,a,rarely
train,car,a,a,never
purple,snail,a,a,about half the time
green,zebra,a,a,rarely
horse,manure,,,often
yellow,cake,a,a,never
music,book,a,a,rarely
carrot,cake,a,a,rarely
rolling,pin,a,a,almost always
yellow,top,a,a,rarely
giant,frog,a,a,rarely
wooden,stick,a,a,always
dark,flower,a,a,rarely
home,county,a,a,almost always
green,book,a,a,almost always
dirty,cave,a,a,often
pink,skirt,a,a,never
fat,mama,a,a,almost always
green,dog,a,a,rarely
cookie,bake,a,a,sometimes
alphabet,puzzle,a,an,often
garden,shed,a,a,often
night,crawler,a,a,never
orange,pop,a,an,rarely
pop,corn,a,a,almost always
ox,tail,a,an,rarely
pound,hammer,a,a,often
heart,attack,an,a,almost always
brown,shoe,a,a,often
jaw,bone,a,a,rarely
red,lobster,a,a,about half the time
cracker,box,a,a,almost always
green,thumb,a,a,rarely
wig,hair,,,sometimes
caramel,sauce,,,rarely
curly,head,a,a,about half the time
wet,grandpa,a,a,rarely
slope,test,a,a,almost always
baby,panda,a,a,almost always
gas,fire,,,sometimes
boy,tooth,a,a,always
yellow,handle,a,a,almost always
marble,roll,a,a,almost always
twin,deck,a,a,about half the time
potty,sticker,a,a,sometimes
orange,plant,a,an,never
coffee,machine,a,a,often
jelly,container,a,a,sometimes
round,pumpkin,a,a,about half the time
body,puppet,a,a,never
daddy,waffle,a,a,sometimes
giant,dump,a,a,almost always
lobster,hat,a,a,rarely
outside,world,a,an,often
yellow,chicken,a,a,about half the time
bean,ball,a,a,often
red,ice,,,rarely
farm,shop,a,a,rarely
garlic,salt,,,never
pink,honey,,,rarely
weenie,firefly,a,a,never
fat,tummy,a,a,sometimes
cloud,smoke,,,often
car,boot,a,a,never
phone,line,a,a,about half the time
art,advisor,an,an,rarely
top,molar,a,a,often
wrapping,paper,a,a,almost always
road,sign,a,a,about half the time
hand,drive,a,a,never
bloody,nose,a,a,sometimes
baby,bottle,a,a,often
yellow,lip,a,a,almost always
pink,shorts,,,about half the time
fire,alarm,an,a,always
north,pole,a,a,about half the time
dog,mama,a,a,never
wiggle,dancing,,,about half the time
examination,board,a,an,often
bull,ant,an,a,often
brown,cap,a,a,almost always
kid,ride,a,a,never
yellow,ball,a,a,often
man,book,a,a,rarely
door,bell,a,a,almost always
dart,board,a,a,always
puppet,baby,a,a,sometimes
dinner,break,a,a,almost always
granite,horse,a,a,never
chest,plate,a,a,often
record,case,a,a,often
whale,hat,a,a,never
mommy,daddy,a,a,never
dinosaur,skull,a,a,often
tree,farm,a,a,rarely
orange,kitty,a,an,never
clown,nose,a,a,rarely
potty,break,a,a,often
bread,basket,a,a,never
giraffe,leg,a,a,almost always
fat,squirrel,a,a,rarely
fish,guts,,,almost always
bubble,soap,,,never
fuzzy,creature,a,a,about half the time
basket,ball,a,a,almost always
red,wagon,a,a,always
matchbox,car,a,a,almost always
jungle,ride,a,a,almost always
quiz,game,a,a,about half the time
colored,green,,,often
gold,ring,a,a,often
paint,drip,a,a,often
wet,slab,a,a,never
green,blanket,a,a,almost always
oil,filter,a,an,almost always
tan,car,a,a,almost always
green,grasshopper,a,a,almost always
bowling,ball,a,a,rarely
hot,tap,a,a,often
onion,ring,a,an,rarely
petrol,account,an,a,rarely
thistle,patch,a,a,often
dirty,mommy,a,a,almost always
bright,picture,a,a,sometimes
picture,book,a,a,almost always
step,stool,a,a,rarely
tree,branch,a,a,often
apple,cookie,a,an,rarely
bar,staff,,,never
rock,crowd,a,a,almost always
dirty,bottom,a,a,often
bug,lift,a,a,rarely
onion,gravy,,,never
skirt,stain,a,a,sometimes
green,grape,a,a,often
night,sky,a,a,never
solid,feed,,,about half the time
sky,diving,,,rarely
pirate,hat,a,a,never
giant,pillow,a,a,often
green,side,a,a,never
green,shirt,a,a,sometimes
pink,mirror,a,a,never
red,ear,an,a,never
blowing,bubble,a,a,often
grey,coat,a,a,often
giant,octopus,an,a,never
dwarf,tree,a,a,never
slippery,balloon,a,a,rarely
baby,pumpkin,a,a,sometimes
jelly,sandwich,a,a,never
octopus,video,a,an,rarely
hill,track,a,a,almost always
fuzzy,pants,,,never
spider,web,a,a,almost always
pony,ride,a,a,rarely
card,table,a,a,sometimes
giant,bean,a,a,almost always
song,book,a,a,rarely
art,school,a,an,sometimes
head,office,an,a,often
tire,mold,a,a,never
bear,sleeping,,,often
ice,cube,a,an,about half the time
dead,fly,a,a,often
dog,sticker,a,a,never
food,coloring,,,about half the time
apple,farm,a,an,almost always
bedroom,bathroom,a,a,rarely
sweet,drink,a,a,often
hot,egg,an,a,almost always
beach,token,a,a,rarely
brown,basket,a,a,sometimes
candy,corn,a,a,sometimes
library,book,a,a,about half the time
train,track,a,a,often
orange,wall,a,an,never
nylon,shirt,a,a,rarely
purple,pepperoni,,,sometimes
muscle,tissue,a,a,sometimes
outside,line,a,an,rarely
blind,mouse,a,a,sometimes
coral,piece,a,a,rarely
key,board,a,a,almost always
water,filter,a,a,often
root,beer,a,a,rarely
turkey,chip,a,a,rarely
grocery,store,a,a,often
back,seat,a,a,rarely
lemon,skin,,,rarely
fly,ball,a,a,often
purple,baby,a,a,never
plastic,piece,a,a,often
elephant,parade,a,an,rarely
purple,collar,a,a,rarely
brown,shirt,a,a,rarely
outside,lane,a,an,never
elephant,ear,an,an,rarely
paper,plate,a,a,about half the time
solar,shop,a,a,never
coat,hanger,a,a,almost always
comb,brooch,a,a,rarely
lighter,purple,,,sometimes
metal,plate,a,a,rarely
country,mansion,a,a,rarely
dolly,house,a,a,never
elephant,fly,a,an,rarely
green,bird,a,a,about half the time
red,squirrel,a,a,sometimes
candy,cane,a,a,rarely
fat,man,a,a,always
sewing,machine,a,a,never
tobacco,tin,a,a,about half the time
fuzzy,hair,,,about half the time
green,man,a,a,never
green,ear,an,a,rarely
ground,floor,a,a,about half the time
red,dress,a,a,about half the time
stair,carpet,a,a,almost always
chicken,wing,a,a,never
dancing,shoe,a,a,rarely
yellow,helicopter,a,a,almost always
wet,ball,a,a,often
pink,oval,an,a,never
mommy,lion,a,a,often
green,guy,a,a,rarely
bank,note,a,a,sometimes
mulberry,tree,a,a,almost always
orange,corner,a,an,never
dog,person,a,a,sometimes
furry,tail,a,a,rarely
dead,one,a,a,often
red,crayon,a,a,about half the time
bright,shirt,a,a,almost always
dark,eye,an,a,never
fish,puzzle,a,a,never
hot,shit,,,almost always
green,crayon,a,a,about half the time
circus,train,a,a,sometimes
loaf,pan,a,a,never
brown,hill,a,a,never
blond,boy,a,a,about half the time
stone,letter,a,a,almost always
dirty,basement,a,a,often
burnt,cookie,a,a,always
star,sticker,a,a,about half the time
bedroom,house,a,a,never
cloth,mum,a,a,almost always
pea,pod,a,a,almost always
cargo,car,a,a,never
clothes,furnishing,,,almost always
dish,washer,a,a,about half the time
cut,apple,an,a,never
tape,measure,a,a,never
red,bin,a,a,never
yellow,skull,a,a,often
thick,piece,a,a,often
potato,pie,a,a,rarely
explorer,guy,a,an,almost always
red,coat,a,a,sometimes
plastic,toy,a,a,rarely
quarry,tile,a,a,never
puppet,stage,a,a,sometimes
thick,mud,,,often
table,cloth,a,a,about half the time
baby,blanket,a,a,often
square,face,a,a,about half the time
fruit,machine,a,a,often
smooch,dance,a,a,often
outside,house,a,an,almost always
hair,cap,a,a,sometimes
purple,dog,a,a,rarely
tooth,fairy,a,a,rarely
wet,pants,,,almost always
flat,side,a,a,often
green,lawn,a,a,almost always
salty,egg,an,a,rarely
peach,material,a,a,about half the time
thick,loaf,a,a,never
fat,lady,a,a,rarely
letter,puzzle,a,a,about half the time
chocolate,chip,a,a,often
pink,tongue,a,a,about half the time
red,nose,a,a,almost always
green,ball,a,a,never
hot,tub,a,a,rarely
gingerbread,recipe,a,a,often
drawing,table,a,a,almost always
red,marker,a,a,about half the time
gas,pipe,a,a,never
giant,present,a,a,often
dark,forest,a,a,never
purple,block,a,a,rarely
orange,suit,a,an,rarely
yellow,guitar,a,a,rarely
shoe,room,a,a,almost always
grey,suite,a,a,often
chocolate,eclair,an,a,almost always
stamp,pad,a,a,rarely
bagel,dog,a,a,never
tree,frog,a,a,almost always
sugar,bowl,a,a,often
moist,soil,,,almost always
kitchen,floor,a,a,often
jelly,doughnut,a,a,often
hot,bath,a,a,almost always
pink,square,a,a,almost always
hot,fry,a,a,rarely
color,sand,,,often
rock,music,,,often
flower,stem,a,a,about half the time
yellow,ring,a,a,rarely
north,king,a,a,almost always
baby,room,a,a,always
pirate,sword,a,a,almost always
pencil,sharpener,a,a,about half the time
oval,face,a,an,about half the time
door,grill,a,a,never
navy,shorts,,,almost always
children,adult,an,a,always
building,downtown,a,a,never
town,dump,a,a,often
yellow,barrel,a,a,almost always
stall,light,a,a,sometimes
elephant,ride,a,an,never
pink,rake,a,a,never
sheet,side,a,a,always
breast,lump,a,a,never
red,house,a,a,never
bottom,piece,a,a,almost always
tooth,paste,a,a,almost always
carpet,shampoo,,,never
grease,mark,a,a,never
orange,frosting,,,rarely
camera,eye,an,a,almost always
hot,lava,,,always
butterfly,catcher,a,a,never
metal,bath,a,a,always
rubber,band,a,a,always
leaf,cake,a,a,rarely
green,bug,a,a,never
green,airship,an,a,never
green,ring,a,a,never
wooden,board,a,a,often
lacing,piece,a,a,almost always
rabbit,hole,a,a,rarely
broken,ride,a,a,almost always
purple,raindrop,a,a,rarely
hot,tray,a,a,almost always
letter,block,a,a,often
plastic,ball,a,a,often
fly,swatter,a,a,rarely
toy,lizard,a,a,almost always
daddy,crown,a,a,often
green,marble,a,a,about half the time
wet,kiss,a,a,often
lunch,box,a,a,often
sweet,tooth,a,a,never
bottom,bunk,a,a,sometimes
dinosaur,foot,a,a,almost always
elephant,trunk,a,an,almost always
pink,kitty,a,a,sometimes
apple,butter,,,rarely
green,flower,a,a,rarely
bed,room,a,a,never
building,block,a,a,almost always
ball,tent,a,a,sometimes
daddy,hand,a,a,almost always
street,lighting,,,almost always
yellow,stripe,a,a,almost always
pink,chair,a,a,sometimes
grocery,cart,a,a,always
gingerbread,man,a,a,sometimes
food,container,a,a,rarely
flower,pants,,,never
wheat,flour,,,often
brown,penny,a,a,almost always
purple,animal,an,a,rarely
flower,tree,a,a,rarely
lemon,juice,,,about half the time
yellow,room,a,a,almost always
daddy,hippo,a,a,rarely
road,license,a,a,almost always
juice,drop,a,a,almost always
washing,line,a,a,about half the time
purple,present,a,a,never
girl,mommy,a,a,often
hair,dryer,a,a,always
mommy,goat,a,a,often
sweet,tasting,a,a,almost always
red,controller,a,a,rarely
juicy,pear,a,a,often
brown,cow,a,a,sometimes
garden,chair,a,a,rarely
broken,toenail,a,a,sometimes
saucepan,spoon,a,a,almost always
animal,fat,,,always
page,moderator,a,a,often
icecream,maker,a,an,always
snow,seal,a,a,sometimes
paper,model,a,a,always
king,man,a,a,almost always
monkey,bar,a,a,never
curly,string,a,a,almost always
bubble,wand,a,a,almost always
pink,color,a,a,rarely
purple,diamond,a,a,rarely
tightrope,walker,a,a,rarely
attic,room,a,an,always
red,flower,a,a,sometimes
thick,hair,,,about half the time
burnt,toast,,,sometimes
red,heart,a,a,always
color,marker,a,a,often
screen,door,a,a,rarely
baby,piglet,a,a,almost always
popsicle,stick,a,a,never
pet,store,a,a,never
hotel,breakfast,a,a,rarely
light,saber,a,a,often
world,sea,a,a,almost always
violet,light,a,a,almost always
ice,hockey,,,almost always
brass,wire,a,a,rarely
purple,bag,a,a,never
purple,sock,a,a,rarely
country,air,,,rarely
meatball,dinner,a,a,often
back,door,a,a,rarely
mommy,shoe,a,a,never
round,pond,a,a,rarely
fax,machine,a,a,almost always
wax,paper,a,a,rarely
daddy,bug,a,a,rarely
sweat,pants,,,rarely
plastic,cupboard,a,a,never
drawing,board,a,a,sometimes
red,cup,a,a,often
baby,toy,a,a,about half the time
air,plane,a,an,never
dragon,boy,a,a,rarely
picnic,food,,,sometimes
green,worktop,a,a,sometimes
tom,cat,a,a,almost always
barn,door,a,a,rarely
dirty,clothes,,,often
sea,food,,,about half the time
pile,driver,a,a,never
dirty,basket,a,a,often
plastic,train,a,a,never
square,net,a,a,almost always
fax,phone,a,a,often
music,instrument,an,a,often
timber,fencing,,,sometimes
green,color,a,a,sometimes
apple,snack,a,an,almost always
chocolate,raisin,a,a,never
goldfish,soup,,,never
flaming,shake,a,a,rarely
cherry,popsicle,a,a,often
top,corner,a,a,never
crocodile,dinner,a,a,sometimes
sweet,violet,a,a,almost always
toilet,handle,a,a,never
karate,kick,a,a,rarely
red,panda,a,a,always
bunny,sleeping,,,always
baby,exercise,an,a,about half the time
purple,trunk,a,a,rarely
brown,circle,a,a,almost always
petrol,station,a,a,almost always
sweet,hay,,,never
fish,pond,a,a,almost always
pop,guns,a,a,almost always
caravan,season,a,a,almost always
kids,dance,a,a,about half the time
holly,wreath,a,a,almost always
thistle,spud,a,a,about half the time
student,bar,a,a,rarely
hot,oven,an,a,almost always
clothes,line,a,a,often
pumpkin,bear,a,a,never
garden,toolbox,a,a,rarely
green,line,a,a,almost always
back,ride,a,a,almost always
cut,tree,a,a,sometimes
chicken,nugget,a,a,often
dirty,dish,a,a,sometimes
oval,ball,a,an,almost always
roof,ventilation,,,sometimes
cod,oil,,,rarely
bat,file,a,a,never
wooden,door,a,a,almost always
flat,timber,,,almost always
plaid,coat,a,a,almost always
pop,star,a,a,never
lilac,jade,,,sometimes
world,cup,a,a,never
smoke,machine,a,a,often
purple,dolphin,a,a,rarely
hot,pickle,a,a,almost always
pink,star,a,a,always
radio,repair,a,a,sometimes
purple,pillow,a,a,sometimes
basketball,hoop,a,a,often
swimming,teacher,a,a,always
round,field,a,a,often
taxi,driver,a,a,about half the time
yellow,squash,a,a,sometimes
blind,corner,a,a,often
pink,spider,a,a,never
red,worm,a,a,sometimes
baby,game,a,a,sometimes
chief,advisor,an,a,never
round,table,a,a,often
star,command,a,a,often
giant,worm,a,a,sometimes
dirty,panty,a,a,sometimes
chip,pan,a,a,sometimes
skittle,gum,a,a,almost always
singing,dog,a,a,never
dirty,slide,a,a,almost always
honey,bunny,a,a,almost always
gift,shop,a,a,about half the time
house,pig,a,a,rarely
coral,bed,a,a,rarely
puddle,boot,a,a,sometimes
green,bowl,a,a,never
wash,basin,a,a,about half the time
tar,pit,a,a,almost always
orange,cake,a,an,never
red,meat,,,almost always
bronze,sword,a,a,never
yellow,egg,an,a,never
circus,car,a,a,rarely
wet,rain,,,often
bedroom,bungalow,a,a,about half the time
pirate,girl,a,a,sometimes
wrist,watch,a,a,often
guy,scream,a,a,about half the time
snow,clothes,,,rarely
bottom,edge,an,a,always
pirate,show,a,a,rarely
purple,card,a,a,often
toy,car,a,a,never
pink,phone,a,a,about half the time
square,knot,a,a,often
worker,man,a,a,always
dragon,attack,an,a,never
apple,sauce,,,about half the time
cataract,operation,an,a,almost always
plastic,bowl,a,a,almost always
panda,bear,a,a,rarely
green,dinosaur,a,a,always
dinner,bowl,a,a,never
leather,coat,a,a,often
entrance,hall,a,an,sometimes
fruit,juice,,,about half the time
ocean,floor,a,an,sometimes
hot,muffin,a,a,often
dark,cloud,a,a,never
vitamin,drop,a,a,often
body,shop,a,a,almost always
pig,boil,a,a,often
garage,door,a,a,rarely
paddle,game,a,a,always
hot,spice,a,a,rarely
heart,plate,a,a,sometimes
brake,light,a,a,almost always
purple,spider,a,a,about half the time
giant,meteor,a,a,rarely
yellow,puppy,a,a,almost always
library,picture,a,a,almost always
sister,elephant,an,a,rarely
motor,caravan,a,a,rarely
dark,ceiling,a,a,rarely
red,basket,a,a,rarely
purple,hat,a,a,about half the time
lip,stick,a,a,never
green,card,a,a,about half the time
bus,ride,a,a,almost always
bug,bite,a,a,never
dog,dish,a,a,rarely
hot,body,a,a,almost always
baby,sweater,a,a,never
triceratops,sand,,,never
fare,crossing,a,a,almost always
coral,snake,a,a,rarely
fat,piece,a,a,almost always
green,cat,a,a,never
stone,wall,a,a,sometimes
furry,caterpillar,a,a,never
phone,bill,a,a,almost always
red,light,a,a,sometimes
money,tree,a,a,almost always
red,balloon,a,a,almost always
sunny,day,a,a,often
wall,tiling,,,often
wet,hair,,,often
cock,eye,an,a,almost always
foot,lounge,a,a,rarely
wedding,dress,a,a,rarely
nap,video,a,a,rarely
red,knight,a,a,almost always
book,paperback,a,a,almost always
bedroom,window,a,a,almost always
hillbilly,baby,a,a,almost always
quarter,past,a,a,almost always
red,tie,a,a,sometimes
skunk,burger,a,a,sometimes
blueberry,pie,a,a,rarely
chalk,board,a,a,often
baby,lion,a,a,about half the time
yellow,snow,,,never
carp,family,a,a,sometimes
herb,garden,a,an,rarely
alcove,bedroom,a,an,almost always
swimming,suit,a,a,never
fruit,tree,a,a,about half the time
note,card,a,a,never
yellow,screw,a,a,rarely
hash,brown,,,often
sugar,plum,a,a,about half the time
potato,skin,,,rarely
chamber,pot,a,a,sometimes
orange,beak,a,an,often
fairy,lady,a,a,never
rice,milk,,,rarely
grape,juice,,,often
round,edge,an,a,rarely
water,fountain,a,a,almost always
office,chair,a,an,often
foot,pool,a,a,never
yellow,tube,a,a,almost always
yellow,knight,a,a,rarely
day,pastor,a,a,never
whale,squirt,a,a,rarely
pink,paint,,,about half the time
cookie,sandwich,a,a,never
giant,truck,a,a,often
flower,bed,a,a,rarely
yellow,wheel,a,a,rarely
dark,side,a,a,often
gold,balloon,a,a,about half the time
lemon,soda,,,never
